analysis_id,observation_count,payload_group_count,analysis_unit,bootstrap_unit,bootstrap_resamples,q4_saved_id_successes,q8_saved_id_successes,q4_visible_successes,q8_visible_successes,q4_visible_recovery_rate,q4_visible_recovery_ci_low_95,q4_visible_recovery_ci_high_95,q8_visible_recovery_rate,q8_visible_recovery_ci_low_95,q8_visible_recovery_ci_high_95,paired_rate_difference_q8_minus_q4,paired_difference_ci_low_95,paired_difference_ci_high_95,both_visible_recover_count,q4_only_visible_recover_count,q8_only_visible_recover_count,neither_visible_recovers_count,q4_exact_retokenization_count,q8_exact_retokenization_count,q4_model_rank_replay_count,representation_name,payload_class,prompt_template_id
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,42,45,0.7777777777777778,0.6666666666666666,0.8703703703703703,0.8333333333333334,0.7037037037037037,0.9444444444444444,0.05555555555555555,-0.07453703703703701,0.2037037037037037,36,6,9,3,42,45,12,,,forum_learning_answer
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,29,38,0.5576923076923077,0.4230769230769231,0.6923076923076923,0.7307692307692307,0.5961538461538461,0.8461538461538461,0.17307692307692307,0.0,0.34615384615384615,23,6,15,8,29,38,23,,,forum_practical_answer
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,46,44,0.8518518518518519,0.7592592592592593,0.9259259259259259,0.8148148148148148,0.7037037037037037,0.9074074074074074,-0.037037037037037035,-0.12962962962962962,0.05555555555555555,37,9,7,1,46,44,8,,,forum_purchase_advice
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,45,45,0.8333333333333334,0.7407407407407407,0.9259259259259259,0.8333333333333334,0.7407407407407407,0.9259259259259259,0.0,-0.1111111111111111,0.1111111111111111,37,8,8,1,45,45,9,,,narrative_learning_moment
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,45,45,0.8333333333333334,0.7407407407407407,0.9074074074074074,0.8333333333333334,0.7222222222222222,0.9259259259259259,0.0,-0.12962962962962962,0.11157407407407154,38,7,7,2,45,45,9,,,narrative_local_walk
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,40,47,0.7692307692307693,0.6538461538461539,0.8846153846153846,0.9038461538461539,0.8269230769230769,0.9807692307692307,0.1346153846153846,-0.0004807692307692035,0.26971153846153584,37,3,10,2,40,47,12,,,narrative_small_discovery
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,40,40,0.7407407407407407,0.6111111111111112,0.8523148148148123,0.7407407407407407,0.6296296296296297,0.8518518518518519,0.0,-0.14814814814814814,0.14814814814814814,31,9,9,5,40,40,14,,,procedure_garden_task
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,33,33,0.6111111111111112,0.46296296296296297,0.7592592592592593,0.6111111111111112,0.48148148148148145,0.7407407407407407,0.0,-0.2222222222222222,0.2037037037037037,17,16,16,5,33,33,21,,,procedure_home_task
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,36,36,0.6923076923076923,0.5576923076923077,0.8076923076923077,0.6923076923076923,0.5576923076923077,0.8076923076923077,0.0,-0.19230769230769232,0.19230769230769232,25,11,11,5,36,36,16,,,procedure_simple_meal
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,40,46,0.7407407407407407,0.6111111111111112,0.8703703703703703,0.8518518518518519,0.7592592592592593,0.9259259259259259,0.1111111111111111,-0.018518518518518517,0.25925925925925924,34,6,12,2,40,46,14,,,professional_process_email
quantization_recovery_by_template,52,26,paired RankCloak quantization condition,payload_name,2000,52,52,45,42,0.8653846153846154,0.7692307692307693,0.9423076923076923,0.8076923076923077,0.6923076923076923,0.9038461538461539,-0.057692307692307696,-0.21153846153846154,0.07692307692307693,35,10,7,0,45,42,7,,,professional_project_update
quantization_recovery_by_template,54,27,paired RankCloak quantization condition,payload_name,2000,54,54,46,46,0.8518518518518519,0.7592592592592593,0.9259259259259259,0.8518518518518519,0.7592592592592593,0.9259259259259259,0.0,-0.09259259259259259,0.1111111111111111,40,6,6,2,46,46,8,,,professional_schedule_note
