stimulus_blind_id,condition,prompt_category,template_id,payload_class,availability_status,reason_code,message_text_available,counted_as_human_outcome
B0415,human_written_control,professional_communication,professional_communication_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0416,human_written_control,personal_narrative_blog,personal_narrative_blog_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0431,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0443,human_written_control,procedural_instructions,procedural_instructions_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0449,human_written_control,casual_conversation,casual_conversation_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0470,human_written_control,forum_question_answer,forum_question_answer_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0474,human_written_control,forum_question_answer,forum_question_answer_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0475,human_written_control,procedural_instructions,procedural_instructions_template_2,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0491,human_written_control,professional_communication,professional_communication_template_1,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0507,human_written_control,casual_conversation,casual_conversation_template_3,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0509,human_written_control,personal_narrative_blog,personal_narrative_blog_template_2,hmac_sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0514,human_written_control,forum_question_answer,forum_question_answer_template_1,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0515,human_written_control,personal_narrative_blog,personal_narrative_blog_template_3,nonce_96_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0525,human_written_control,casual_conversation,casual_conversation_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0530,human_written_control,factual_explanatory_prose,factual_explanatory_prose_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0531,human_written_control,forum_question_answer,forum_question_answer_template_3,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0535,human_written_control,procedural_instructions,procedural_instructions_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0536,human_written_control,forum_question_answer,forum_question_answer_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0551,human_written_control,casual_conversation,casual_conversation_template_2,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0554,human_written_control,personal_narrative_blog,personal_narrative_blog_template_2,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0559,human_written_control,casual_conversation,casual_conversation_template_1,token_128_bit_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
B0564,human_written_control,casual_conversation,casual_conversation_template_1,sha256_hex,unavailable,insufficient_licensed_coverage_and_manual_review_pending,False,False
