stimulus_blind_id,candidate_id,condition,prompt_category,template_id,prompt_id,payload_id,payload_class,model_id,presentation_scope,protocol_variant,topic_schedule,source_work_id,source_trial_id,source_file,source_row,source_record_sha256,text_sha256,language,license_status,safety_screen_status
B0015,C6daad48100f581599860a232,rankcloak_ascii_b16,procedural_instructions,procedural_instructions_template_3,procedure_garden_task,revision_v1_sha256_hex_019,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__8cfb7a92bd10449e1937,revision_v1_primary_v2_payload_fidelity_v2__8cfb7a92bd10449e1937,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,271,10c50e7512dc8b3c0d0c8a2407f4041e4a130762b0ef494f83c2fb6107b59d17,04ce2a283d728ef5e80659708c5482565af1572dc6184591049554385a8de325,en,experiment_generated_internal,not_manually_reviewed
B0016,C2cf81fe10f115068a9ae0d63,direct_subword_calgacus,forum_question_answer,forum_question_answer_template_1,forum_practical_answer,revision_v1_sha256_hex_042,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__a390eb0cf205359966ca,revision_v1_primary_v2_payload_fidelity_v2__a390eb0cf205359966ca,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,589,cf86fb971d084301e573381cbb7e19d3f342e1e31b590cb057f325efaec28057,c28d5e8e49af9cd35335f33047ffc7a0a86813188779d60c407fee57f19bd918,en,experiment_generated_internal,not_manually_reviewed
B0017,C6e6e5533709867e6c88cdcee,direct_subword_calgacus,forum_question_answer,forum_question_answer_template_3,forum_learning_answer,revision_v1_token_128_bit_hex_028,token_128_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__a8fe86e9dcd272fb6fcd,revision_v1_primary_v2_payload_fidelity_v2__a8fe86e9dcd272fb6fcd,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,2913,4d1e26164a6aa418b128dfaa5a1e7457c275e44a28e20ee80b9d2e10aaae53ce,4ed6e655e78de8ff94df5201d88e275ba3298213c2953d98628943be3c17d3bd,en,experiment_generated_internal,not_manually_reviewed
B0018,C3aa5c9bee475620bdca8b635,direct_subword_calgacus,professional_communication,professional_communication_template_3,professional_process_email,revision_v1_hmac_sha256_hex_059,hmac_sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__300442e2176efdb91f04,revision_v1_primary_v2_payload_fidelity_v2__300442e2176efdb91f04,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,1667,a6d35d4a03f830c6e6bc1568a1eecd474d08ec722b56278417d09b4ff17fe86a,f6338c36396a3ab7e14ad7f355dc0211e6385f47a750aa9c800b88160f278519,en,experiment_generated_internal,not_manually_reviewed
B0019,C4dbbb411ab22a98875647627,ordinary_llm_control,professional_communication,professional_communication_template_3,professional_process_email,revision_v1_hmac_sha256_hex_059,hmac_sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,ordinary_llm_control,,revision_v1_primary_v2_payload_fidelity_v2__017db1c61eb935b20667,revision_v1_primary_v2_payload_fidelity_v2__339ba03e74127c1632ff,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,1680,20efd86e3107604a9bdd87223054d2d17a7deb25a9cb471a229f8f184e6541df,12436c83537409d01116568c01bc8fc6faf4a1083725ccd5a6e7e770d3938863,en,experiment_generated_internal,not_manually_reviewed
B0020,C22307f46b1f0d3607503e6e8,rankcloak_hex_nibble,casual_conversation,casual_conversation_template_1,casual_weekend_chat,revision_v1_sha256_hex_018,sha256_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__87b39f104ef3ede291cd,revision_v1_primary_v2_payload_fidelity_v2__87b39f104ef3ede291cd,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,259,38508c81e09ff591623ae33c205435a8d196f8fe34008d9138b630defdc8de1d,5fb80f2b106f197155cad269b0056122d0dcb4d5ba87c5ba29f8b48bdd8a8c37,en,experiment_generated_internal,not_manually_reviewed
B0021,C8b1ad31c5951d5abdcf5cd1f,rankcloak_ascii_b8,forum_question_answer,forum_question_answer_template_2,forum_purchase_advice,revision_v1_token_128_bit_hex_029,token_128_bit_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__250e6b0d1016e3488e68,revision_v1_primary_v2_payload_fidelity_v2__250e6b0d1016e3488e68,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,2929,93b4ba8e502adbae742044ca61ece551d5958ab2e719e7c9160a2a2630046f92,84dcdadd268bdec3424150ebd13b989b8ee5c15a3fe9a1b54d1b6b3102e33cd7,en,experiment_generated_internal,not_manually_reviewed
B0023,C1d88d122f0f797f92bba7cb1,rankcloak_segmented_forced_span,factual_explanatory_prose,factual_explanatory_prose_template_1,explain_weather_pattern,revision_v1_sha256_hex_009,sha256_hex,mistral_7b_instruct_v0_3_q4_k_m,forced_span,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__6b06b5f1f00781101447,revision_v1_primary_v2_payload_fidelity_v2__6b06b5f1f00781101447,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,138,ebdb9d06b815c416586d925a40429df485554e777fbdf95ef9cc6a13d504fa0a,bb4e4e87f320df2ea6e8c43ea24a2cf836851007f9cd4d6eaa45d3ec0b9f580e,en,experiment_generated_internal,not_manually_reviewed
B0024,C18729e34d51c500c99e1bf7a,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_1,procedure_simple_meal,revision_v1_token_128_bit_hex_036,token_128_bit_hex,llama3_8b_instruct_q4_k_m,forced_span,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__7221171c7f1239e23988,revision_v1_primary_v2_payload_fidelity_v2__7221171c7f1239e23988,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,3036,d59331040d7f7fd55650c7ef79e7bee39f03f1a7c48b9a31b420ce83a481d160,ddfe5f4c3da9ee02e5cfda721d908543a6c172fb979efe7ca2531179f523d59f,en,experiment_generated_internal,not_manually_reviewed
B0025,C8d67bd52dcbf1b10c08848ec,direct_subword_calgacus,factual_explanatory_prose,factual_explanatory_prose_template_1,explain_weather_pattern,revision_v1_token_128_bit_hex_024,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,direct_subword_calgacus,None,revision_v1_primary_v2_payload_fidelity_v2__28135623acb98af221e1,revision_v1_primary_v2_payload_fidelity_v2__28135623acb98af221e1,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,2857,83ee2c992f4de0625dc070d6783f85ae548f26a2ca2f8f344645d86e63b37c96,d8fc7c6cd9135a05d86739f92f4735b9735b6279334e201928ce05963549db86,en,experiment_generated_internal,not_manually_reviewed
B0026,C7e4e60e4829353acc1df9e93,rankcloak_ascii_b16,procedural_instructions,procedural_instructions_template_1,procedure_simple_meal,revision_v1_nonce_96_bit_hex_017,nonce_96_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__bb83938d7bf93a4d123c,revision_v1_primary_v2_payload_fidelity_v2__bb83938d7bf93a4d123c,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,1923,55ae22f93972fce7b72fe2fd18179d0e89cda9284b9628870a6a47881aa191e8,9f761e67a8203c54c7309cd4f165c4772b8e7139e883424ca749307c9ac19e23,en,experiment_generated_internal,not_manually_reviewed
B0027,C9ae430e4ed3dc8c13d47291a,rankcloak_segmented_full_message,personal_narrative_blog,personal_narrative_blog_template_1,narrative_small_discovery,revision_v1_token_128_bit_hex_012,token_128_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__dfc60ae44870ce6d7d86,revision_v1_primary_v2_payload_fidelity_v2__dfc60ae44870ce6d7d86,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,2700,b3caaeb3ff7580e43c423c9ea60d406f73e63fc9fc6e944bd96d0e5a8aad859f,7fbdacfe42dcdd9106fbbc00b350ff5ec65d18c634dafb1181b51dc375ff5370,en,experiment_generated_internal,not_manually_reviewed
B0029,C4674ad0c30b3fe2b438480e4,rankcloak_ascii_b8,personal_narrative_blog,personal_narrative_blog_template_3,narrative_learning_moment,revision_v1_sha256_hex_034,sha256_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b8,None,revision_v1_primary_v2_payload_fidelity_v2__0bd33e234c8f65cf1a40,revision_v1_primary_v2_payload_fidelity_v2__0bd33e234c8f65cf1a40,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,479,ff99fab4b76a5ab85150756743f35d90e828256a849b5aea9e7abe7147ed0105,36c4c07c738393393a120964890d34afa662048213aa0f38ddbac7e06f96190f,en,experiment_generated_internal,not_manually_reviewed
B0030,Cf6ccafcd16608b68ac688d2f,rankcloak_ascii_b16,factual_explanatory_prose,factual_explanatory_prose_template_2,explain_everyday_system,revision_v1_nonce_96_bit_hex_001,nonce_96_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__d99e08b1883ab2a5fbb7,revision_v1_primary_v2_payload_fidelity_v2__d99e08b1883ab2a5fbb7,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,1699,bf821b94bc0dc7955923bf9b2695aa64783afcd18e7dedacc705b9f4dfcb4f68,895bacdb7200364d840d6fc9489fd874868a207cb2fb0ea1d32a1637653a3cde,en,experiment_generated_internal,not_manually_reviewed
B0031,C7c2b1bed1b513b7abfeb3ae7,rankcloak_ascii_b16,factual_explanatory_prose,factual_explanatory_prose_template_3,explain_biological_process,revision_v1_nonce_96_bit_hex_057,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__1d1048b0a5834cba742d,revision_v1_primary_v2_payload_fidelity_v2__1d1048b0a5834cba742d,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,2483,80ff1001d4175e05dcadb369e351068ba88df3f81777d9e541e9fd04156ceffa,9138a401a221c9a9463cc1a5ac0fe318cbce1952b2d44a3e3ded32c3a595a4f4,en,experiment_generated_internal,not_manually_reviewed
B0032,Ca4bfc8f43bb443875c930330,rankcloak_segmented_forced_span,procedural_instructions,procedural_instructions_template_3,procedure_garden_task,revision_v1_token_128_bit_hex_058,token_128_bit_hex,mistral_7b_instruct_v0_3_q4_k_m,forced_span,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__0a5603e59ef0eda24f99,revision_v1_primary_v2_payload_fidelity_v2__0a5603e59ef0eda24f99,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/mistral_7b_instruct_v0_3_q4_k_m/records.jsonl,3344,c4c92cdbcf2def415c807a6ff6b4123f4041a5a2c65b64b6a8e6c0719c2e4791,9895dc64092895d011fe0c40689ea3957fe2144bdf0ef920abb8edec0b806cf6,en,experiment_generated_internal,not_manually_reviewed
B0033,C88510df9246bb7db9ac748e7,rankcloak_hex_nibble,casual_conversation,casual_conversation_template_2,casual_hobby_chat,revision_v1_sha256_hex_041,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__e3ab391c2849a563e39a,revision_v1_primary_v2_payload_fidelity_v2__e3ab391c2849a563e39a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,581,c49027a7532b66972f2ff83fa0f61f518e89c3d893c59ac542ef820d439411eb,ce9b8129fc61491f9e81721be1e166fe0e539b78edde2c7147eedb7702f78bcd,en,experiment_generated_internal,not_manually_reviewed
B0035,C5edf326d55b7067399e5d038,rankcloak_ascii_b16,professional_communication,professional_communication_template_1,professional_project_update,revision_v1_sha256_hex_030,sha256_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_ascii_b16,None,revision_v1_primary_v2_payload_fidelity_v2__8b6b676c54b23f6839b9,revision_v1_primary_v2_payload_fidelity_v2__8b6b676c54b23f6839b9,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,425,4195a71021d4035a3f34bc87e4bb9796996e17541740c9f21979c4d4d1efdf2d,2b7b8a0b4f20eec8b5e2814817cd2c70a7820909bd38cd41e1a48f293ab149dd,en,experiment_generated_internal,not_manually_reviewed
B0036,Cb30baf7f7b4b0ffb08eb9d38,rankcloak_segmented_full_message,professional_communication,professional_communication_template_1,professional_project_update,revision_v1_nonce_96_bit_hex_011,nonce_96_bit_hex,llama3_8b_instruct_q4_k_m,full_message,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__8b7db71d4567202784f1,revision_v1_primary_v2_payload_fidelity_v2__8b7db71d4567202784f1,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1846,56bc39db947f843c3a381bc4bd1a101eb782a953bc9048470d4e238bfa19e37c,9e9bff2309cfcfd10c1c12ac2839cc09867dd8edd06a3e87cafaed0d3470c87f,en,experiment_generated_internal,not_manually_reviewed
B0037,Cf5a17f4d2a7b2f382b306108,rankcloak_segmented_full_message,professional_communication,professional_communication_template_1,professional_project_update,revision_v1_token_128_bit_hex_051,token_128_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,segmented_hex_multi_topic,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__82fd2a43651972791408,revision_v1_primary_v2_payload_fidelity_v2__82fd2a43651972791408,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,3246,523a7c2c17b1ea69b3246d5ea3066b10e8ca41447c22fa557bfe454c80e34f7e,17f3776939049bebec917289d44bdcd27b8e8d17c17c8918f52f3ba34faef5f0,en,experiment_generated_internal,not_manually_reviewed
B0038,C56b833d84845cac25bf5d3ac,rankcloak_segmented_forced_span,forum_question_answer,forum_question_answer_template_1,forum_practical_answer,revision_v1_hmac_sha256_hex_013,hmac_sha256_hex,llama3_8b_instruct_q4_k_m,forced_span,segmented_hex_single_topic,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__b8a8a774079b6847e853,revision_v1_primary_v2_payload_fidelity_v2__b8a8a774079b6847e853,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/llama3_8b_instruct_q4_k_m/records.jsonl,1031,9887b3aa2ed957590d238435fc2643b45022eb0791210f12c8521e947d1e92ba,3aca1b3bed4ef1be32f80914e2fa8d0673d55175c09691fe45a82624354b54c3,en,experiment_generated_internal,not_manually_reviewed
B0039,C81f420babbabe2135dae7f12,rankcloak_hex_nibble,factual_explanatory_prose,factual_explanatory_prose_template_3,explain_biological_process,revision_v1_token_128_bit_hex_007,token_128_bit_hex,qwen2_5_7b_instruct_q4_k_m,full_message,nonseg_hex_nibble_b16,None,revision_v1_primary_v2_payload_fidelity_v2__3bde8b40706b03edda4a,revision_v1_primary_v2_payload_fidelity_v2__3bde8b40706b03edda4a,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/primary_v2/qwen2_5_7b_instruct_q4_k_m/records.jsonl,2625,503a8d329c8a73cdd8b41658018b4407eed7098968f60babde3dbfa5194503f9,e62fa7b0fff9846ab3b1eacc974a77f99c5cd11112bdaf871692eb5d02b5c7d1,en,experiment_generated_internal,not_manually_reviewed
