contrast,metric,effect,ci_low,ci_high,payload_clusters,bootstrap_draws,nonempty_bootstrap_draws,class_counts,model_id
actual minus shuffled,context_gain,2.141422906166116,2.0640936296016563,2.2182294674258722,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
actual minus shuffled,conditional_logp,2.325668592562281,2.2619399599505923,2.3905408453572363,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
actual minus shuffled,conditional_logp,2.4069738967937386,2.320433734493696,2.5007000865546645,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
actual minus shuffled,conditional_logp,2.386468028667374,2.2535878773425915,2.52919894652357,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
actual minus shuffled,conditional_logp,2.1892840111012357,2.1062943742369495,2.2702899413806064,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
ordinary minus shuffled,context_gain,2.1690337045861754,2.1184947187031793,2.2215442831603665,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
ordinary minus shuffled,context_gain,2.127071110190977,2.040048937790016,2.213234907480602,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
ordinary minus shuffled,context_gain,2.341757110246904,2.2369213794403406,2.4575457327990886,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
ordinary minus shuffled,context_gain,2.043614254350295,1.9677614915842632,2.115991021607376,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
ordinary minus shuffled,conditional_logp,2.26376793657116,2.202405662954845,2.3294771035750417,92,2000,2000,"{'hmac_sha256_hex': 23, 'nonce_96_bit_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23}",all
ordinary minus shuffled,conditional_logp,2.235422777319318,2.1455356452913565,2.3300586939023145,92,2000,2000,"{'hmac_sha256_hex': 23, 'token_128_bit_hex': 23, 'sha256_hex': 23, 'nonce_96_bit_hex': 23}",llama3_8b_instruct_q4_k_m
ordinary minus shuffled,conditional_logp,2.395412460649616,2.256147816236589,2.5455773371136488,92,2000,2000,"{'nonce_96_bit_hex': 23, 'token_128_bit_hex': 23, 'hmac_sha256_hex': 23, 'sha256_hex': 23}",mistral_7b_instruct_v0_3_q4_k_m
ordinary minus shuffled,conditional_logp,2.1571202413123154,2.0711799393575467,2.2401168041783523,92,2000,2000,"{'hmac_sha256_hex': 23, 'sha256_hex': 23, 'token_128_bit_hex': 23, 'nonce_96_bit_hex': 23}",qwen2_5_7b_instruct_q4_k_m
