outcome,factor,level_first,level_second,analysis_unit,comparison_design,n_payloads_first,n_payloads_second,n_payloads_paired,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,confidence_level,bootstrap_unit,bootstrap_resamples,effect_type,risk_difference,risk_ratio,odds_ratio_haldane_anscombe,p_value_raw,test,p_value_holm,p_value_bh,hedges_g
mean_log_probability,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,-4.256407870014832,-3.8553492409930676,-0.40105862902176437,-0.8080127228909566,0.05741280504148881,0.95,payload,100,mean_difference,,,,0.22455897808766914,welch_t,1.0,0.5662210771499884,-0.9645155416903853
mean_log_probability,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,-4.256407870014832,-4.981815812836631,0.725407942821799,0.18334253632800804,1.1365375463021985,0.95,payload,100,mean_difference,,,,0.11325765257888466,welch_t,1.0,0.39954782993106536,1.4511999730131313
mean_log_probability,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,-4.256407870014832,-5.429904173489638,1.1734963034748063,0.8604037873089406,1.4727978035093128,0.95,payload,100,mean_difference,,,,0.0014357672328273378,welch_t,0.33884106694725175,0.01919394090200757,2.525961090125451
mean_log_probability,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,-4.256407870014832,-4.903355394330764,0.6469475243159319,0.38459244058831965,0.9555964252341246,0.95,payload,100,mean_difference,,,,0.03744629523708375,welch_t,1.0,0.19815331229623487,2.0025666062622114
mean_log_probability,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,-3.8553492409930676,-4.981815812836631,1.1264665718435634,0.491278836145526,1.7009963538122772,0.95,payload,100,mean_difference,,,,0.04073531694610263,welch_t,1.0,0.20693541008620134,1.9962498138989422
mean_log_probability,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,-3.8553492409930676,-5.429904173489638,1.5745549324965706,1.1934642365091301,1.9701668452558196,0.95,payload,100,mean_difference,,,,0.006592558954147488,welch_t,1.0,0.05980392765548078,3.291651807382069
mean_log_probability,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,-3.8553492409930676,-4.903355394330764,1.0480061533376963,0.640543523620519,1.5074881801234237,0.95,payload,100,mean_difference,,,,0.023816401497412907,welch_t,1.0,0.138030412578985,2.520204588228516
mean_log_probability,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,-4.981815812836631,-5.429904173489638,0.4480883606530073,0.04359031184881923,1.134451600185844,0.95,payload,100,mean_difference,,,,0.25766222856622906,welch_t,1.0,0.5933382509502345,0.9082503692591585
mean_log_probability,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,-4.981815812836631,-4.903355394330764,-0.07846041850586705,-0.49749926668311195,0.4636333315429457,0.95,payload,100,mean_difference,,,,0.8256527297988214,welch_t,1.0,1.0,-0.15695502743419776
mean_log_probability,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,independent_payload,14,3,0,-5.429904173489638,-4.903355394330764,-0.5265487791588743,-0.8558062080825138,-0.23511006832312856,0.95,payload,100,mean_difference,,,,0.03943354951093616,welch_t,1.0,0.20441064440362824,-1.1333892225994264
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,7.689979099815166,3.0,4.689979099815166,4.198471198471199,5.181487001159134,0.95,payload,100,mean_difference,,,,0.008187488176442244,welch_t,1.0,0.06708458054246226,7.1744624512514665
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,7.689979099815166,1.3333333333333333,6.356645766481833,5.585585585585586,7.060109289617487,0.95,payload,100,mean_difference,,,,0.004481964148894085,welch_t,1.0,0.047434120575795734,9.72403403020023
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,7.689979099815166,4.0,3.689979099815166,2.9189189189189193,4.181487001159134,0.95,payload,100,mean_difference,,,,0.013127619940855196,welch_t,1.0,0.09011933689127621,5.64471950388221
effective_payload_rate,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,7.689979099815166,1.298356037941182,6.391623061873984,5.752225330428038,7.4186249243989035,0.95,payload,100,mean_difference,,,,0.0003025818978143298,welch_t,0.07352740116888214,0.006209696589284816,6.242968125882911
effective_payload_rate,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,7.689979099815166,0.8629831359897503,6.826995963825416,6.14582129914272,7.543142141269802,0.95,payload,100,mean_difference,,,,0.00090896686718724,welch_t,0.21724308125775035,0.014429849016597435,9.41890299878036
effective_payload_rate,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.95,payload,100,mean_difference,,,,0.0,welch_t,0.0,0.0,
effective_payload_rate,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,3.0,4.0,-1.0,-1.0,-1.0,0.95,payload,100,mean_difference,,,,0.0,welch_t,0.0,0.0,
effective_payload_rate,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,3.0,1.298356037941182,1.701643962058818,1.2454513321960006,2.110616631139777,0.95,payload,100,mean_difference,,,,2.536627869576195e-05,welch_t,0.006290837116548964,0.0009204335412462194,1.7302246589986363
effective_payload_rate,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,3.0,0.8629831359897503,2.1370168640102496,1.9009038054400273,2.373129922580472,0.95,payload,100,mean_difference,,,,0.009034933736085417,welch_t,1.0,0.06749626967546164,6.825325919074564
effective_payload_rate,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,1.3333333333333333,4.0,-2.666666666666667,-2.666666666666667,-2.666666666666667,0.95,payload,100,mean_difference,,,,0.0,welch_t,0.0,0.0,
effective_payload_rate,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,1.3333333333333333,1.298356037941182,0.03497729539215122,-0.5242547633294693,0.4924289049090286,0.95,payload,100,mean_difference,,,,0.8981538212395838,welch_t,1.0,1.0,0.03556477168076807
effective_payload_rate,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,1.3333333333333333,0.8629831359897503,0.47035019734358297,0.12006319115323838,0.7704812891626067,0.95,payload,100,mean_difference,,,,0.1481672082651605,welch_t,1.0,0.47217876071479925,1.5022311929474768
effective_payload_rate,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,4.0,1.298356037941182,2.701643962058818,2.169278154689409,3.142806643044768,0.95,payload,100,mean_difference,,,,1.637796287287469e-07,welch_t,4.110868681091547e-05,1.0400006424275427e-05,2.747020591389358
effective_payload_rate,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,4.0,0.8629831359897503,3.1370168640102496,2.8409624829394633,3.495069033530572,0.95,payload,100,mean_difference,,,,0.004223436766542775,welch_t,0.9798373298379238,0.04664143211747238,10.019182754750815
effective_payload_rate,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,independent_payload,14,3,0,1.298356037941182,0.8629831359897503,0.43537290195143175,-0.10617644030499053,1.0589629458295615,0.95,payload,100,mean_difference,,,,0.22515090075649144,welch_t,1.0,0.5662210771499884,0.43849573420879395
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,39.56736635220128,66.9372547196292,-27.36988836742791,-45.23936071407151,-10.982439737143007,0.95,payload,100,mean_difference,,,,0.19149145870591475,welch_t,1.0,0.5119876895926563,-1.2255183076146212
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,39.56736635220128,42.24743134383243,-2.6800649916311485,-31.117431343832408,15.766172299052306,0.95,payload,100,mean_difference,,,,0.8769026140080036,welch_t,1.0,1.0,-0.11046809253732125
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,39.56736635220128,58.694878797672935,-19.127512445471652,-44.65229462900906,5.3788042447748445,0.95,payload,100,mean_difference,,,,0.32270210961840334,welch_t,1.0,0.6774077342402847,-0.76656778097758
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,ordinary_llm_control,payload,independent_payload,3,24,0,39.56736635220128,60.99350265641263,-21.426136304211347,-48.110079776998404,-3.88011232036918,0.95,payload,100,mean_difference,,,,0.27063707581358265,welch_t,1.0,0.6137662255058035,-1.4804685517196121
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,39.56736635220128,49.31990056101485,-9.752534208813564,-37.04381081989592,7.840368779335294,0.95,payload,100,mean_difference,,,,0.5708030707444876,welch_t,1.0,0.9517849972437974,-0.5362922466920389
flesch_reading_ease_heuristic,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,39.56736635220128,48.1291119439454,-8.561745591744113,-31.611404639007166,13.080368466149764,0.95,payload,100,mean_difference,,,,0.6309124210845588,welch_t,1.0,0.9966597105066789,-0.3485104511521915
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,66.9372547196292,42.24743134383243,24.689823375796763,7.694959568669496,34.51754289091858,0.95,payload,100,mean_difference,,,,0.05249772924184738,welch_t,1.0,0.25643121591210066,2.163692342233467
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,66.9372547196292,58.694878797672935,8.24237592195626,-2.3056659382946947,22.488540856059398,0.95,payload,100,mean_difference,,,,0.4087770045888857,welch_t,1.0,0.7806718734253908,0.6431816461582088
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,ordinary_llm_control,payload,independent_payload,3,24,0,66.9372547196292,60.99350265641263,5.943752063216564,-0.15142528901179442,11.928438699246513,0.95,payload,100,mean_difference,,,,0.17961061604301035,welch_t,1.0,0.5119876895926563,0.470577436080722
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,66.9372547196292,49.31990056101485,17.617354158614347,8.731813859700729,28.329508963891076,0.95,payload,100,mean_difference,,,,0.005415636148040254,welch_t,1.0,0.05502286326408898,1.1281574688267222
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,66.9372547196292,48.1291119439454,18.808142775683798,7.258283017623079,27.052890481376423,0.95,payload,100,mean_difference,,,,0.10886317413669236,welch_t,1.0,0.395017803295998,1.561196223282379
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,42.24743134383243,58.694878797672935,-16.447447453840503,-31.992945776550485,-1.0075302196471014,0.95,payload,100,mean_difference,,,,0.19056715343316957,welch_t,1.0,0.5119876895926563,-1.0319176512437493
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,ordinary_llm_control,payload,independent_payload,3,24,0,42.24743134383243,60.99350265641263,-18.7460713125802,-28.601160086991854,-8.79296991192263,0.95,payload,100,mean_difference,,,,0.09579118231680174,welch_t,1.0,0.3743224662841176,-1.4406532461794257
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,42.24743134383243,49.31990056101485,-7.072469217182416,-20.501718376675566,4.794095193679042,0.95,payload,100,mean_difference,,,,0.4325215830372725,welch_t,1.0,0.8019013291347972,-0.4378787428814307
flesch_reading_ease_heuristic,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,42.24743134383243,48.1291119439454,-5.881680600112965,-23.057272113943007,11.518915854703929,0.95,payload,100,mean_difference,,,,0.5885874037391955,welch_t,1.0,0.9534154787638603,-0.3837152446359169
flesch_reading_ease_heuristic,protocol_variant,nonseg_hex_nibble_b16,ordinary_llm_control,payload,independent_payload,3,24,0,58.694878797672935,60.99350265641263,-2.2986238587396954,-16.449952221347786,8.77789924659097,0.95,payload,100,mean_difference,,,,0.8024099506659099,welch_t,1.0,1.0,-0.17475025298520155
flesch_reading_ease_heuristic,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,58.694878797672935,49.31990056101485,9.374978236658087,-9.15402869210585,20.75323395322024,0.95,payload,100,mean_difference,,,,0.3635583454971111,welch_t,1.0,0.7271166909942222,0.5733959680607531
flesch_reading_ease_heuristic,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,58.694878797672935,48.1291119439454,10.565766853727538,-4.689584764058807,27.940251146362616,0.95,payload,100,mean_difference,,,,0.3800881833496868,welch_t,1.0,0.7426338351601574,0.6442430500040319
flesch_reading_ease_heuristic,protocol_variant,ordinary_llm_control,segmented_hex_multi_topic,payload,independent_payload,24,14,0,60.99350265641263,49.31990056101485,11.673602095397783,0.931183458713426,19.252222381950283,0.95,payload,100,mean_difference,,,,0.027376764487530722,welch_t,1.0,0.15116735173549573,0.8229923707476987
flesch_reading_ease_heuristic,protocol_variant,ordinary_llm_control,segmented_hex_single_topic,payload,independent_payload,24,3,0,60.99350265641263,48.1291119439454,12.864390712467234,3.174125788749471,23.62839404303801,0.95,payload,100,mean_difference,,,,0.2119125172980903,welch_t,1.0,0.5492426468746422,0.9839288676212654
flesch_reading_ease_heuristic,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,independent_payload,14,3,0,49.31990056101485,48.1291119439454,1.190788617069451,-12.315326164198837,14.654825665727113,0.95,payload,100,mean_difference,,,,0.8954627899220653,welch_t,1.0,1.0,0.07332911366743239
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,0.0,0.006611029291441639,-0.006611029291441639,-0.010047455408280115,-0.0031746031746031633,0.95,payload,100,mean_difference,,,,0.18414299350190197,welch_t,1.0,0.5119876895926563,-1.3033317657995926
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,0.0,0.010609857978279033,-0.010609857978279033,-0.01645781119465332,-0.0022619047619047944,0.95,payload,100,mean_difference,,,,0.18774772821694755,welch_t,1.0,0.5119876895926563,-1.2863336128940785
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0.0,0.0,0.0,0.0,0.0,0.95,payload,100,mean_difference,,,,,welch_t,,,
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,ordinary_llm_control,payload,independent_payload,3,24,0,0.0,0.04335783261483281,-0.04335783261483281,-0.0630892121675554,-0.022077021940198678,0.95,payload,100,mean_difference,,,,0.00015669798719115827,welch_t,0.038547704849024936,0.00398012887465542,-0.9313303431520396
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0.0,0.013281521063092012,-0.013281521063092012,-0.020555526311349086,-0.006871754548894721,0.95,payload,100,mean_difference,,,,0.005967944534388917,welch_t,1.0,0.056142885619806855,-0.8938827329955761
repeated_bigram_fraction,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,independent_payload,3,3,0,0.0,0.03313807633171795,-0.03313807633171795,-0.04678451178451178,-0.019491640878924115,0.95,payload,100,mean_difference,,,,0.10792841778779338,welch_t,1.0,0.395017803295998,-1.8235697247544238
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,independent_payload,3,3,0,0.006611029291441639,0.010609857978279033,-0.003998828686837394,-0.013853383458646664,0.005423007691048907,0.95,payload,100,mean_difference,,,,0.5680740188461415,welch_t,1.0,0.9517849972437974,-0.4129727931644731
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b16,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0.006611029291441639,0.0,0.006611029291441639,0.0031746031746031633,0.010184912452953651,0.95,payload,100,mean_difference,,,,0.18414299350190197,welch_t,1.0,0.5119876895926563,1.3033317657995926
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b16,ordinary_llm_control,payload,independent_payload,3,24,0,0.006611029291441639,0.04335783261483281,-0.03674680332339117,-0.059646918565651554,-0.020166752208085826,0.95,payload,100,mean_difference,,,,0.00133285198677696,welch_t,0.31588592086613954,0.01880802248007488,-0.788815087038727
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0.006611029291441639,0.013281521063092012,-0.006670491771650373,-0.01660064859620007,0.0015467099309356453,0.95,payload,100,mean_difference,,,,0.2333668320924231,welch_t,1.0,0.5699536091488026,-0.444066949074887
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,0.006611029291441639,0.03313807633171795,-0.026527047040276308,-0.04480641621169972,-0.0034073635810719944,0.95,payload,100,mean_difference,,,,0.14693405732440953,welch_t,1.0,0.47217876071479925,-1.406021064690357
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b8,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,0.010609857978279033,0.0,0.010609857978279033,0.004761904761904745,0.01754385964912286,0.95,payload,100,mean_difference,,,,0.18774772821694755,welch_t,1.0,0.5119876895926563,1.2863336128940785
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b8,ordinary_llm_control,payload,independent_payload,3,24,0,0.010609857978279033,0.04335783261483281,-0.032747974636553774,-0.05156689370003324,-0.013487834447350647,0.95,payload,100,mean_difference,,,,0.007944477134440178,welch_t,1.0,0.06708458054246226,-0.7022303922086461
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b8,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0.010609857978279033,0.013281521063092012,-0.002671663084812979,-0.013677219372252908,0.00683349350338802,0.95,payload,100,mean_difference,,,,0.7092581678029289,welch_t,1.0,1.0,-0.1747808661875931
repeated_bigram_fraction,protocol_variant,nonseg_ascii_b8,segmented_hex_single_topic,payload,independent_payload,3,3,0,0.010609857978279033,0.03313807633171795,-0.022528218353438913,-0.04156965488215489,-0.004119878138740337,0.95,payload,100,mean_difference,,,,0.18921877666571477,welch_t,1.0,0.5119876895926563,-1.128873547308008
repeated_bigram_fraction,protocol_variant,nonseg_hex_nibble_b16,ordinary_llm_control,payload,independent_payload,3,24,0,0.0,0.04335783261483281,-0.04335783261483281,-0.05947858668256518,-0.026943606674514835,0.95,payload,100,mean_difference,,,,0.00015669798719115827,welch_t,0.038547704849024936,0.00398012887465542,-0.9313303431520396
repeated_bigram_fraction,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_multi_topic,payload,independent_payload,3,14,0,0.0,0.013281521063092012,-0.013281521063092012,-0.021331192287317377,-0.006537400653735968,0.95,payload,100,mean_difference,,,,0.005967944534388917,welch_t,1.0,0.056142885619806855,-0.8938827329955761
repeated_bigram_fraction,protocol_variant,nonseg_hex_nibble_b16,segmented_hex_single_topic,payload,independent_payload,3,3,0,0.0,0.03313807633171795,-0.03313807633171795,-0.05249999999999999,-0.011560693641618491,0.95,payload,100,mean_difference,,,,0.10792841778779338,welch_t,1.0,0.395017803295998,-1.8235697247544238
repeated_bigram_fraction,protocol_variant,ordinary_llm_control,segmented_hex_multi_topic,payload,independent_payload,24,14,0,0.04335783261483281,0.013281521063092012,0.030076311551740797,0.013531136551315576,0.047913080352811,0.95,payload,100,mean_difference,,,,0.0071585277763562246,welch_t,1.0,0.06269882948946487,0.7607490477715313
repeated_bigram_fraction,protocol_variant,ordinary_llm_control,segmented_hex_single_topic,payload,independent_payload,24,3,0,0.04335783261483281,0.03313807633171795,0.010219756283114861,-0.014885757104797996,0.03338564940605324,0.95,payload,100,mean_difference,,,,0.531485317538013,welch_t,1.0,0.9183487799636415,0.217722489110754
repeated_bigram_fraction,protocol_variant,segmented_hex_multi_topic,segmented_hex_single_topic,payload,independent_payload,14,3,0,0.013281521063092012,0.03313807633171795,-0.019856555268625935,-0.0376763081358612,0.0003098218933641123,0.95,payload,100,mean_difference,,,,0.22964416085323258,welch_t,1.0,0.5699536091488026,-1.179671014671474
surface_flag_total,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,independent_payload,3,3,0,1.6666666666666667,2.0,-0.33333333333333326,-2.333333333333333,1.3333333333333335,0.95,payload,100,mean_difference,,,,0.797170958772964,welch_t,1.0,1.0,-0.18116432546313527
surface_flag_total,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,independent_payload,3,3,0,1.6666666666666667,1.6666666666666667,0.0,-1.0,1.3333333333333335,0.95,payload,100,mean_difference,,,,1.0,welch_t,1.0,1.0,0.0
surface_flag_total,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,independent_payload,3,3,0,1.6666666666666667,1.6666666666666667,0.0,-1.6833333333333318,1.3333333333333335,0.95,payload,100,mean_difference,,,,1.0,welch_t,1.0,1.0,0.0
surface_flag_total,protocol_variant,direct_subword_calgacus,ordinary_llm_control,payload,independent_payload,3,24,0,1.6666666666666667,1.4152777777777779,0.2513888888888889,-0.6211111111111112,1.4951041666666656,0.95,payload,100,mean_difference,,,,0.7481460461369243,welch_t,1.0,1.0,0.23516978747209025
