study_phase,model_id,protocol_variant,prompt_category,payload_class,replay_mode,transformation_id,mitigation_id,outcome,analysis_unit,mean,standard_deviation,median,n_payloads,bootstrap_resamples_requested,ci_low,ci_high,bootstrap_resamples_valid,confidence_level,view,hardware_id
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.408034335083492,,-4.408034335083492,1,100,-4.408034335083492,-4.408034335083492,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.892450590743378,,-4.892450590743378,1,100,-4.892450590743378,-4.892450590743378,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.892450590743378,,-4.892450590743378,1,100,-4.892450590743378,-4.892450590743378,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.892450590743378,,-4.892450590743378,1,100,-4.892450590743378,-4.892450590743378,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.272749145349974,,-5.272749145349974,1,100,-5.272749145349974,-5.272749145349974,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.272749145349974,,-5.272749145349974,1,100,-5.272749145349974,-5.272749145349974,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.272749145349974,,-5.272749145349974,1,100,-5.272749145349974,-5.272749145349974,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.656860724213452,,-6.656860724213452,1,100,-6.656860724213452,-6.656860724213452,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.656860724213452,,-6.656860724213452,1,100,-6.656860724213452,-6.656860724213452,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.656860724213452,,-6.656860724213452,1,100,-6.656860724213452,-6.656860724213452,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.637829738668866,,-6.637829738668866,1,100,-6.637829738668866,-6.637829738668866,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.637829738668866,,-6.637829738668866,1,100,-6.637829738668866,-6.637829738668866,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.637829738668866,,-6.637829738668866,1,100,-6.637829738668866,-6.637829738668866,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.911269899682133,,-4.911269899682133,1,100,-4.911269899682133,-4.911269899682133,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.911269899682133,,-4.911269899682133,1,100,-4.911269899682133,-4.911269899682133,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.911269899682133,,-4.911269899682133,1,100,-4.911269899682133,-4.911269899682133,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,professional_communication,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.328216427781193,,-5.328216427781193,1,100,-5.328216427781193,-5.328216427781193,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,professional_communication,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.328216427781193,,-5.328216427781193,1,100,-5.328216427781193,-5.328216427781193,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,professional_communication,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.328216427781193,,-5.328216427781193,1,100,-5.328216427781193,-5.328216427781193,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.42217622875533,,-4.42217622875533,1,100,-4.42217622875533,-4.42217622875533,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.42217622875533,,-4.42217622875533,1,100,-4.42217622875533,-4.42217622875533,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.42217622875533,,-4.42217622875533,1,100,-4.42217622875533,-4.42217622875533,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,hmac_sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.640531875542392,,-4.640531875542392,1,100,-4.640531875542392,-4.640531875542392,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,hmac_sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.640531875542392,,-4.640531875542392,1,100,-4.640531875542392,-4.640531875542392,0,0.95,,
smoke_v2_exploratory,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,hmac_sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.640531875542392,,-4.640531875542392,1,100,-4.640531875542392,-4.640531875542392,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.717450865051271,,-6.717450865051271,1,100,-6.717450865051271,-6.717450865051271,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.717450865051271,,-6.717450865051271,1,100,-6.717450865051271,-6.717450865051271,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.717450865051271,,-6.717450865051271,1,100,-6.717450865051271,-6.717450865051271,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.502629656289923,,-4.502629656289923,1,100,-4.502629656289923,-4.502629656289923,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.502629656289923,,-4.502629656289923,1,100,-4.502629656289923,-4.502629656289923,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,forum_question_answer,aes256_gcm_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.502629656289923,,-4.502629656289923,1,100,-4.502629656289923,-4.502629656289923,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-3.82638644903491,,-3.82638644903491,1,100,-3.82638644903491,-3.82638644903491,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-3.82638644903491,,-3.82638644903491,1,100,-3.82638644903491,-3.82638644903491,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,saved_token_ids,unmodified,none,mean_log_probability,payload,-3.82638644903491,,-3.82638644903491,1,100,-3.82638644903491,-3.82638644903491,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.347011722915165,,-5.347011722915165,1,100,-5.347011722915165,-5.347011722915165,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.347011722915165,,-5.347011722915165,1,100,-5.347011722915165,-5.347011722915165,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.347011722915165,,-5.347011722915165,1,100,-5.347011722915165,-5.347011722915165,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.371469251515552,,-5.371469251515552,1,100,-5.371469251515552,-5.371469251515552,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.371469251515552,,-5.371469251515552,1,100,-5.371469251515552,-5.371469251515552,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.371469251515552,,-5.371469251515552,1,100,-5.371469251515552,-5.371469251515552,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.302126682665638,,-5.302126682665638,1,100,-5.302126682665638,-5.302126682665638,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.302126682665638,,-5.302126682665638,1,100,-5.302126682665638,-5.302126682665638,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.302126682665638,,-5.302126682665638,1,100,-5.302126682665638,-5.302126682665638,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.427254824048108,,-6.427254824048108,1,100,-6.427254824048108,-6.427254824048108,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.427254824048108,,-6.427254824048108,1,100,-6.427254824048108,-6.427254824048108,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,factual_explanatory,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.427254824048108,,-6.427254824048108,1,100,-6.427254824048108,-6.427254824048108,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,forum_question_answer,sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.577981935121049,,-6.577981935121049,1,100,-6.577981935121049,-6.577981935121049,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,forum_question_answer,sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.577981935121049,,-6.577981935121049,1,100,-6.577981935121049,-6.577981935121049,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,forum_question_answer,sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.577981935121049,,-6.577981935121049,1,100,-6.577981935121049,-6.577981935121049,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.069214422561667,,-5.069214422561667,1,100,-5.069214422561667,-5.069214422561667,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.069214422561667,,-5.069214422561667,1,100,-5.069214422561667,-5.069214422561667,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.069214422561667,,-5.069214422561667,1,100,-5.069214422561667,-5.069214422561667,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.598775760408845,,-4.598775760408845,1,100,-4.598775760408845,-4.598775760408845,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.598775760408845,,-4.598775760408845,1,100,-4.598775760408845,-4.598775760408845,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,recipe_procedure,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.598775760408845,,-4.598775760408845,1,100,-4.598775760408845,-4.598775760408845,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.912280988133592,,-4.912280988133592,1,100,-4.912280988133592,-4.912280988133592,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.912280988133592,,-4.912280988133592,1,100,-4.912280988133592,-4.912280988133592,0,0.95,,
smoke_v2_exploratory,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,personal_narrative_blog,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.912280988133592,,-4.912280988133592,1,100,-4.912280988133592,-4.912280988133592,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-6.665950108793214,,-6.665950108793214,1,100,-6.665950108793214,-6.665950108793214,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-6.665950108793214,,-6.665950108793214,1,100,-6.665950108793214,-6.665950108793214,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,casual_conversation,ed25519_signature_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-6.665950108793214,,-6.665950108793214,1,100,-6.665950108793214,-6.665950108793214,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,chacha20_poly1305_base64,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.279280436056285,,-4.279280436056285,1,100,-4.279280436056285,-4.279280436056285,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,chacha20_poly1305_base64,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.279280436056285,,-4.279280436056285,1,100,-4.279280436056285,-4.279280436056285,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,forum_question_answer,chacha20_poly1305_base64,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.279280436056285,,-4.279280436056285,1,100,-4.279280436056285,-4.279280436056285,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.262136616009382,,-4.262136616009382,1,100,-4.262136616009382,-4.262136616009382,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.262136616009382,,-4.262136616009382,1,100,-4.262136616009382,-4.262136616009382,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,professional_communication,uuid_v4,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.262136616009382,,-4.262136616009382,1,100,-4.262136616009382,-4.262136616009382,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.190401380511235,,-5.190401380511235,1,100,-5.190401380511235,-5.190401380511235,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.190401380511235,,-5.190401380511235,1,100,-5.190401380511235,-5.190401380511235,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,recipe_procedure,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.190401380511235,,-5.190401380511235,1,100,-5.190401380511235,-5.190401380511235,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.788852570168564,,-5.788852570168564,1,100,-5.788852570168564,-5.788852570168564,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.788852570168564,,-5.788852570168564,1,100,-5.788852570168564,-5.788852570168564,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,casual_conversation,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.788852570168564,,-5.788852570168564,1,100,-5.788852570168564,-5.788852570168564,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,hmac_sha256_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-4.966190287143553,,-4.966190287143553,1,100,-4.966190287143553,-4.966190287143553,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,hmac_sha256_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-4.966190287143553,,-4.966190287143553,1,100,-4.966190287143553,-4.966190287143553,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,hmac_sha256_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-4.966190287143553,,-4.966190287143553,1,100,-4.966190287143553,-4.966190287143553,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.2515929364752125,,-5.2515929364752125,1,100,-5.2515929364752125,-5.2515929364752125,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.2515929364752125,,-5.2515929364752125,1,100,-5.2515929364752125,-5.2515929364752125,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,factual_explanatory,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.2515929364752125,,-5.2515929364752125,1,100,-5.2515929364752125,-5.2515929364752125,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,token_128_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.091620588175074,,-5.091620588175074,1,100,-5.091620588175074,-5.091620588175074,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,token_128_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.091620588175074,,-5.091620588175074,1,100,-5.091620588175074,-5.091620588175074,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,forum_question_answer,token_128_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.091620588175074,,-5.091620588175074,1,100,-5.091620588175074,-5.091620588175074,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.492607651336893,,-5.492607651336893,1,100,-5.492607651336893,-5.492607651336893,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,greedy_leadin_regeneration,unmodified,none,mean_log_probability,payload,-5.492607651336893,,-5.492607651336893,1,100,-5.492607651336893,-5.492607651336893,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,personal_narrative_blog,nonce_96_bit_hex,saved_token_ids,unmodified,none,mean_log_probability,payload,-5.492607651336893,,-5.492607651336893,1,100,-5.492607651336893,-5.492607651336893,0,0.95,,
smoke_v2_exploratory,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,professional_communication,nonce_96_bit_hex,detokenized_text_retokenized,unmodified,none,mean_log_probability,payload,-5.101800560175247,,-5.101800560175247,1,100,-5.101800560175247,-5.101800560175247,0,0.95,,
