language,payload_name,payload_class,trial_count,model_count,prompt_template_count,protocol_variant_count,exact_payload_recovery_all,exact_rank_replay_all
zh_hans,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,6,3,3,2,1,1
zh_hans,revision_v1_ed25519_signature_base64_004,ed25519_signature_base64,6,3,3,2,1,1
zh_hans,revision_v1_ed25519_signature_base64_005,ed25519_signature_base64,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_000,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_001,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_004,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_000,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_001,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_002,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_004,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_nonce_96_bit_hex_005,nonce_96_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_000,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_001,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_002,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_003,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_004,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_sha256_hex_005,sha256_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_000,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_001,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_002,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_003,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_004,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_token_128_bit_hex_005,token_128_bit_hex,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_000,uuid_v4,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_001,uuid_v4,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_002,uuid_v4,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_003,uuid_v4,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_004,uuid_v4,6,3,3,2,1,1
zh_hans,revision_v1_uuid_v4_005,uuid_v4,6,3,3,2,1,1
