payload_name,payload_class,primary_trial_count,model_count,prompt_template_count,protocol_variant_count,exact_payload_recovery_all,exact_rank_replay_all
revision_v1_chacha20_poly1305_base64_036,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_037,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_038,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_039,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_040,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_042,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_043,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_044,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_045,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_046,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_047,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_048,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_049,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_050,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_051,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_052,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_053,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_054,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_055,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_056,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_057,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_058,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_chacha20_poly1305_base64_059,chacha20_poly1305_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_000,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_001,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_002,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_004,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_005,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_006,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_007,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_008,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_009,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_010,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_011,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_012,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_013,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_014,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_015,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_016,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_017,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_018,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_019,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_020,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_021,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_022,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_023,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_024,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_025,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_026,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_027,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_028,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_029,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_030,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_031,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_032,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_033,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_034,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_035,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_036,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_037,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_038,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_039,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_040,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_042,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_043,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_044,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_045,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_046,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_047,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_048,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_049,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_050,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_051,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_052,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_053,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_054,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_055,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_056,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_057,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_058,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_ed25519_signature_base64_059,ed25519_signature_base64,9,3,3,3,1,1
revision_v1_hmac_sha256_hex_000,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_001,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_004,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_006,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_007,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_008,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_009,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_010,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_011,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_012,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_013,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_014,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_015,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_016,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_017,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_018,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_019,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_020,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_021,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_022,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_023,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_024,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_025,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_026,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_027,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_028,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_029,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_030,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_031,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_032,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_033,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_034,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_035,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_036,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_037,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_038,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_039,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_040,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_042,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_043,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_044,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_045,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_046,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_047,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_048,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_049,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_050,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_051,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_052,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_053,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_054,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_055,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_056,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_057,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_058,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_hmac_sha256_hex_059,hmac_sha256_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_000,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_001,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_002,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_004,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_005,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_006,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_007,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_008,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_009,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_010,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_011,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_012,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_013,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_014,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_015,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_016,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_017,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_018,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_019,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_020,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_021,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_022,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_023,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_024,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_025,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_026,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_028,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_029,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_030,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_031,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_032,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_033,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_034,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_035,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_036,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_037,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_038,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_039,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_040,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_042,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_043,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_044,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_045,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_046,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_047,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_048,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_049,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_050,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_051,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_052,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_053,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_054,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_055,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_056,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_057,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_058,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_nonce_96_bit_hex_059,nonce_96_bit_hex,18,3,3,6,1,1
revision_v1_sha256_hex_000,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_001,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_002,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_003,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_004,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_005,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_006,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_007,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_008,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_009,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_010,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_011,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_012,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_013,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_014,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_015,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_016,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_017,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_018,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_019,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_020,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_021,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_022,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_023,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_024,sha256_hex,18,3,3,6,1,1
revision_v1_sha256_hex_025,sha256_hex,18,3,3,6,1,1
