payload_name,payload_kind,payload_byte_length,encoding_name,alphabet_size,rank_count,exact_roundtrip,notes
synthetic_hmac_like_tag,hmac_like,81,fixed_radix_bits,64,108,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,hex_character,16,406,True,lowercase hex characters map directly to ranks 1..16
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,2,1624,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,4,812,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,8,542,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,16,406,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,32,325,True,metadata stores original byte length and padding bits
synthetic_jwt_like_invalid_signature,jwt_like,203,fixed_radix_bits,64,271,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,hex_character,16,128,True,lowercase hex characters map directly to ranks 1..16
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,2,512,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,4,256,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,8,171,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,16,128,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,32,103,True,metadata stores original byte length and padding bits
synthetic_ciphertext_like_base64,ciphertext_like,64,fixed_radix_bits,64,86,True,metadata stores original byte length and padding bits
