trial_id,model_id,protocol_variant,payload_name,representation_name,H_bits,alphabet_size_B,theoretical_n_B,observed_n_forced,observed_n_tail,R_B_bits_per_forced_token,observed_rate_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,rate_upper_bound_bits_per_forced_token,code_space_slack_bits,literal_padding_bits
revision_v1_primary_v2_payload_fidelity_v2__7a5d5f22b84f252350cf,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_002,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__c401ea7107ff1220fd41,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_002,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__01e40a98bc77a3e51811,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_002,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__7d79ac4d3abd2d1a1323,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_002,hex_nibble,256.0,16,64,64,847,4.0,4.0,0.2810098792535675,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_002,hex_nibble,256.0,16,64,64,397,4.0,4.0,0.5553145336225597,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__e0706e88a3a9a987e31f,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_003,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__b62550f4b82bfab09013,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_003,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4824010e40a51e03ded5,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_003,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__1de2cc5cb285cca44832,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_003,hex_nibble,256.0,16,64,64,870,4.0,4.0,0.2740899357601713,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_003,hex_nibble,256.0,16,64,64,371,4.0,4.0,0.5885057471264368,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__c431dfdb876202416f29,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_004,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__5ff0412a79be126daf4c,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_004,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__a82259799efcbdddcd9b,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_004,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4dfb7404c05c64df5b2e,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_004,hex_nibble,256.0,16,64,64,378,4.0,4.0,0.579185520361991,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_004,hex_nibble,256.0,16,64,64,409,4.0,4.0,0.5412262156448203,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__8871e77adf343614010c,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_005,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__d1fff677635f27d056cc,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_005,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__38158304c7b1959feedb,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_005,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__d921123945884bf38110,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_005,hex_nibble,256.0,16,64,64,873,4.0,4.0,0.27321237993596587,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4e5fb75f4b18f8f1df5d,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_005,hex_nibble,256.0,16,64,64,617,4.0,4.0,0.37591776798825255,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__c4bd617286498c045d65,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_006,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__1781b8ab20cff7a71791,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_006,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__1dd244ea4101c83c0341,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_006,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__c5275532e9df6444f16b,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_006,hex_nibble,256.0,16,64,64,363,4.0,4.0,0.5995316159250585,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__3ef7bc65f5d9ddc24c8a,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_006,hex_nibble,256.0,16,64,64,138,4.0,4.0,1.2673267326732673,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__90c5aeddaae994a8a82d,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_007,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__0faf2b4ddc4b5455d2ec,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_007,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__c10e3fcaba2b13e912c0,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_007,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__cbaec3f13830b669b4eb,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_007,hex_nibble,256.0,16,64,64,508,4.0,4.0,0.44755244755244755,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_007,hex_nibble,256.0,16,64,64,705,4.0,4.0,0.3328998699609883,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__6f5a463ff287cb75a7cf,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_008,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__0abdc257a7bda55d1389,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_008,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__daddec589fb94902131a,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_008,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__e686e27f540fde757339,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_008,hex_nibble,256.0,16,64,64,718,4.0,4.0,0.3273657289002558,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__63a0fe567cd81f84598b,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_008,hex_nibble,256.0,16,64,64,563,4.0,4.0,0.4082934609250399,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__ea105e5a1f1d55b7ddfa,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_009,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__c6d595c204e6ef5b263a,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_009,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__d3fa43953d37c5dc6b62,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_009,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__2f397ac99dd17c0839bc,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_009,hex_nibble,256.0,16,64,64,582,4.0,4.0,0.39628482972136225,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__8d0141edfe25fc28034a,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_009,hex_nibble,256.0,16,64,64,374,4.0,4.0,0.5844748858447488,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__df7415d2b99563811fcb,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_010,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__b165031c37575610a66f,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_010,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__a13d1da0d91a1210b1bf,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_010,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__dabe06124727133e5d15,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_010,hex_nibble,256.0,16,64,64,206,4.0,4.0,0.9481481481481482,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__6435b712f9f0f3e3dd4b,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_010,hex_nibble,256.0,16,64,64,208,4.0,4.0,0.9411764705882353,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__2be8c7ecd90c3813db3d,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_011,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__a92711070f4a8248a887,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_011,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4e9c03e880c21ba11a23,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_011,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__f1013ef14db29119ce63,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_011,hex_nibble,256.0,16,64,64,397,4.0,4.0,0.5553145336225597,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__3fc2ea1b4d1338c6ab49,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_011,hex_nibble,256.0,16,64,64,367,4.0,4.0,0.5939675174013921,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__6fa7d4421d36d20d6ccc,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_012,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__5bfd1ebdd37f517ac335,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_012,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__5d682913faacb852175f,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_012,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__69dbb1256ade7ac86c37,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_012,hex_nibble,256.0,16,64,64,452,4.0,4.0,0.49612403100775193,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__ba7788f4eda3a515dd66,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_012,hex_nibble,256.0,16,64,64,144,4.0,4.0,1.2307692307692308,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__288e3db1f73e70644211,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_013,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__05911068c21a36d177d6,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_013,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__d7e05505700d2181601c,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_013,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__db1f95dae1aef4f8346d,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_013,hex_nibble,256.0,16,64,64,261,4.0,4.0,0.7876923076923077,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__eff631aa737b53a9ae3b,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_013,hex_nibble,256.0,16,64,64,574,4.0,4.0,0.4012539184952978,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__542b11905bdf31b4b0c3,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_014,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__ebed6deb36ab196c9ee5,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_014,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4546ad9a138956a469be,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_014,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__648ff2075dd97da6472d,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_014,hex_nibble,256.0,16,64,64,189,4.0,4.0,1.0118577075098814,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__45874ae782fdc31a6526,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_014,hex_nibble,256.0,16,64,64,680,4.0,4.0,0.34408602150537637,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__aa8012cef2d8ad688bae,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_015,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__413b3ab614ae42efdf0e,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_015,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4bc27f26a52f9326e345,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_015,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__45763cf49a92163123c3,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_015,hex_nibble,256.0,16,64,64,168,4.0,4.0,1.103448275862069,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__b9405736c47cb9d86c31,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_015,hex_nibble,256.0,16,64,64,132,4.0,4.0,1.3061224489795917,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__35811c87cfc62184b86b,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_016,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__701d61288bb703ec12ce,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_016,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__db0663d427e33181bad6,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_016,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__1e783bcbf01daee3f203,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_016,hex_nibble,256.0,16,64,64,359,4.0,4.0,0.6052009456264775,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__955e971080754bbe5f5e,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_016,hex_nibble,256.0,16,64,64,375,4.0,4.0,0.5831435079726651,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__fb1e4899dd0918163f73,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_017,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__2b6f7f95d518afccb711,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_017,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__b49ac9f0342d8282cb0f,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_017,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__361d8f6efdee166acce1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_017,hex_nibble,256.0,16,64,64,192,4.0,4.0,1.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__efc0f9f17020175d5fcc,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_017,hex_nibble,256.0,16,64,64,241,4.0,4.0,0.839344262295082,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__39c8d6efd714a7dcb99d,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_018,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__03d136f69363d016d306,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_018,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__87b39f104ef3ede291cd,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_018,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__a7da69871e7efaf3512a,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_018,hex_nibble,256.0,16,64,64,842,4.0,4.0,0.282560706401766,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__c25d7bd4230e84948aab,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_018,hex_nibble,256.0,16,64,64,1106,4.0,4.0,0.2188034188034188,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__2230a9ad551e7f874283,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_019,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__c95a8af1e6c13abece5c,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_019,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__15eb40c7c4920fdc3266,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_019,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__1f1fdb5c343914636e08,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_019,hex_nibble,256.0,16,64,64,942,4.0,4.0,0.2544731610337972,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__293be42c8e8633ab1759,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_019,hex_nibble,256.0,16,64,64,1083,4.0,4.0,0.22319093286835223,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__43dbc565daebb908645b,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_020,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
revision_v1_primary_v2_payload_fidelity_v2__e29a06fad5e074269704,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,revision_v1_sha256_hex_020,ascii_b16,512.0,16,128,128,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__a3d261f06577fdd42e92,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,revision_v1_sha256_hex_020,hex_nibble,256.0,16,64,64,0,4.0,4.0,4.0,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__4332f68bc94f83bfa10b,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,revision_v1_sha256_hex_020,hex_nibble,256.0,16,64,64,640,4.0,4.0,0.36363636363636365,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__b44c2c018607e03e1261,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,revision_v1_sha256_hex_020,hex_nibble,256.0,16,64,64,862,4.0,4.0,0.27645788336933047,4.0,0.0,0
revision_v1_primary_v2_payload_fidelity_v2__a333963846bd5e2e9434,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,revision_v1_sha256_hex_021,ascii_b8,512.0,8,171,171,0,2.9941520467836256,2.9941520467836256,2.9941520467836256,3.0,1.0,1
