evidence_domain,source_stage,study_phase,language,model_id,protocol_variant,representation_name,alphabet_size_B,segmented,tail_policy,token_filter,leadin_tokens,topic_schedule,outcome,group_record_count,n,missing_n,payload_units,mean,standard_deviation,median,minimum,maximum,ci_low,ci_high,confidence_level,interval_method,bootstrap_resamples,bootstrap_seed
quality_penalty,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,Delta_B_nats_per_forced_token,48,48,0,48,3.6869266958286366,0.4440754278061675,3.739903002977371,2.682993491490682,4.704008996486664,3.5583310401765633,3.810805243442559,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,minimum_lower_margin_nats,48,48,0,48,0.05122870206832886,0.17256621012244908,0.0,0.0,0.9834280014038086,0.012053966522216797,0.10350881765286127,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,none,0,deterministic_six_category_rotation,minimum_upper_margin_nats,48,48,0,48,0.007496436436971028,0.024884595266030967,0.0,0.0,0.11225223541259766,0.0016288310289382974,0.015076612432797749,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_residual,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,forced_position_residual_tokens,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_tail_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,tail_overhead_tokens,48,48,0,48,297.0416666666667,199.37540324332818,311.0,32.0,705.0,242.13958333333335,354.90624999999994,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_total_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,cover_length_residual_tokens,48,48,0,48,297.0416666666667,199.37540324332818,311.0,32.0,705.0,239.00833333333335,357.0270833333333,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,observed_rate_bits_per_forced_token,48,48,0,48,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_effective_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,R_effective_bits_per_forced_plus_tail_token,48,48,0,48,0.7493381527349326,0.41853637803222205,0.5638875950939295,0.1708185053380783,1.7142857142857142,0.6386825363570685,0.8681805901156221,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,code_space_utilization,48,48,0,48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,unused_codeword_fraction,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_surprisal,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,Q_B_nats_per_forced_token,48,48,0,48,4.786449334482833,0.3557065819510095,4.842518804949049,3.9027938959853166,5.640378901386583,4.685139171112248,4.883755129088616,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_greedy_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,Q_greedy_nats_per_forced_token,48,48,0,48,1.072562036830999,0.10480763807363178,1.0625468838507584,0.8668841066142012,1.3049426450833712,1.0447888217289747,1.1022358466986708,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_rank_B_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,Q_rank_B_nats_per_forced_token,48,48,0,48,6.319011607933856,0.29212476483570876,6.362439938418964,5.638346582269048,6.892417981443811,6.237963520249302,6.400280333159716,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_penalty,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,Delta_B_nats_per_forced_token,48,48,0,48,3.7138872976518336,0.3897557443147984,3.787933746973674,2.8344931602478027,4.539306968450546,3.6000001250843825,3.824675855317359,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,minimum_lower_margin_nats,48,48,0,48,0.02691429853439331,0.08818175149739914,0.0,0.0,0.4914379119873047,0.005383352438608806,0.054097157220045725,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,roundtrip_stable_filter_v1,0,deterministic_six_category_rotation,minimum_upper_margin_nats,48,48,0,48,0.007397393385569255,0.02365705875180516,0.0,0.0,0.1080780029296875,0.0014660954475402832,0.014492997030417124,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_residual,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,forced_position_residual_tokens,144,144,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_tail_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,tail_overhead_tokens,144,144,0,48,311.0625,345.3381684840066,256.0,8.0,1830.0,269.14496527777777,355.7059027777778,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_total_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,cover_length_residual_tokens,144,144,0,48,311.0625,345.3381684840066,256.0,8.0,1830.0,267.99895833333335,352.58697916666665,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,observed_rate_bits_per_forced_token,144,144,0,48,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_effective_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,R_effective_bits_per_forced_plus_tail_token,144,144,0,48,1.1751430470471096,0.9449279074055015,0.6947197879077989,0.11294117647058824,3.1219512195121952,1.0599685739944302,1.284763707090397,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,code_space_utilization,144,144,0,48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,unused_codeword_fraction,144,144,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_surprisal,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,Q_B_nats_per_forced_token,144,144,0,48,4.681185139955971,0.34158204061712594,4.655769025314159,3.97307884867172,5.532292098589592,4.610594738514809,4.753536308714451,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_greedy_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,Q_greedy_nats_per_forced_token,144,144,0,48,1.0888264199845272,0.1717493924342216,1.0906074449448147,0.6257448325711561,1.4800875973654266,1.0627562966513637,1.114850277085716,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_rank_B_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,Q_rank_B_nats_per_forced_token,144,144,0,48,6.226151351084537,0.4264956392141069,6.146644858157849,5.4555245363589195,7.4294164296654674,6.142862701387164,6.304871995886623,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_penalty,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,Delta_B_nats_per_forced_token,144,144,0,48,3.592358719971445,0.44787733425265563,3.5549170151352882,2.6188915967941284,4.605748693148295,3.5138997469718256,3.670957186687048,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,minimum_lower_margin_nats,144,144,0,48,0.040578226248423256,0.1318146848482331,0.0,0.0,0.8719015121459961,0.009720649984147813,0.07603861391544335,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,minimum_upper_margin_nats,144,144,0,48,0.0055734846327039934,0.022688258808798198,0.0,0.0,0.23925209045410156,0.001431334349844191,0.011598474780718484,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_residual,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,forced_position_residual_tokens,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_tail_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,tail_overhead_tokens,48,48,0,48,295.2083333333333,214.4315551498231,298.0,39.0,870.0,236.31041666666667,360.3421874999999,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_total_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,cover_length_residual_tokens,48,48,0,48,295.2083333333333,214.4315551498231,298.0,39.0,870.0,235.47239583333334,355.1078125,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,observed_rate_bits_per_forced_token,48,48,0,48,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_effective_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,R_effective_bits_per_forced_plus_tail_token,48,48,0,48,0.7348303348424752,0.38284715467399943,0.5779517286366601,0.2740899357601713,1.5238095238095237,0.6277185198192929,0.8437166279361225,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,code_space_utilization,48,48,0,48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,unused_codeword_fraction,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_surprisal,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,Q_B_nats_per_forced_token,48,48,0,48,6.066236433686292,0.41514854181141536,6.042531544013105,5.1636416252749635,7.157470582212952,5.949420837212215,6.189968205212862,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_greedy_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,Q_greedy_nats_per_forced_token,48,48,0,48,0.5854907671294045,0.10187218829463743,0.5777712408443915,0.4013151639927988,0.7888138850846736,0.5567667512881218,0.6152139051530036,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_rank_B_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,Q_rank_B_nats_per_forced_token,48,48,0,48,8.268609433237687,0.4942180278702135,8.296783365066695,6.7118234330890765,9.512790121777575,8.122823359035355,8.39770168595966,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_penalty,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,Delta_B_nats_per_forced_token,48,48,0,48,5.480745666556888,0.4636083707146945,5.427386619150639,4.407242616017659,6.738188028335571,5.351588878759907,5.616971821945884,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,minimum_lower_margin_nats,48,48,0,48,0.052099923292795815,0.20972421032354,0.0,0.0,1.3467140197753906,0.008387545744578043,0.11969754099845883,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,16,deterministic_six_category_rotation,minimum_upper_margin_nats,48,48,0,48,0.013218839963277182,0.043750434116206716,0.0,0.0,0.2521800994873047,0.0031988024711608887,0.02702657878398895,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_residual,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,forced_position_residual_tokens,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_tail_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,tail_overhead_tokens,48,48,0,48,274.6666666666667,166.85556670918706,266.0,37.0,643.0,228.37239583333334,322.06510416666663,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_total_overhead,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,cover_length_residual_tokens,48,48,0,48,274.6666666666667,166.85556670918706,266.0,37.0,643.0,229.0385416666667,321.77864583333326,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,observed_rate_bits_per_forced_token,48,48,0,48,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_effective_rate,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,R_effective_bits_per_forced_plus_tail_token,48,48,0,48,0.7322141874804178,0.3778099936263851,0.5664160401002506,0.17422867513611615,1.6623376623376624,0.6267095913681068,0.8408172307078526,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,code_space_utilization,48,48,0,48,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
capacity_code_space,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,unused_codeword_fraction,48,48,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_surprisal,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,Q_B_nats_per_forced_token,48,48,0,48,5.2627868386082755,0.36160571551473425,5.198132035548345,4.524062413119282,5.9051690898812454,5.159450227217907,5.3591069275003385,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_greedy_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,Q_greedy_nats_per_forced_token,48,48,0,48,0.7678029032935277,0.1205360253995342,0.7765671474683573,0.513321360198323,1.1065582965279248,0.7351383488681653,0.801108379632562,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_rank_B_endpoint,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,Q_rank_B_nats_per_forced_token,48,48,0,48,7.096333818788949,0.45098055203398135,7.055746741411503,6.102602897229796,8.21802572433915,6.9722862127732,7.226363957336219,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_penalty,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,Delta_B_nats_per_forced_token,48,48,0,48,4.494983935314748,0.42871148928578756,4.494845623771349,3.526702801386515,5.391847729682922,4.378046877865886,4.611616077325825,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,minimum_lower_margin_nats,48,48,0,48,0.04574582974116007,0.15448340829674753,0.0,0.0,0.7313022613525391,0.008880376815795898,0.08970764080683388,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
quality_bound_margin,ablation_v2,ablation_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,2,deterministic_six_category_rotation,minimum_upper_margin_nats,48,48,0,48,0.012717902660369873,0.03581838486838717,0.0,0.0,0.16061687469482422,0.003870228926340739,0.023496364057064033,0.95,payload_cluster_percentile_bootstrap,2000,2026080801
