source_stage,study_phase,language,model_id,protocol_variant,representation_name,alphabet_size_B,segmented,tail_policy,token_filter,leadin_tokens,topic_schedule,trial_id,payload_name,payload_class,H_bits,theoretical_n_B,observed_n_forced,observed_n_tail,forced_position_residual_tokens,cover_length_residual_tokens,observed_rate_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,Q_B_nats_per_forced_token,Delta_B_nats_per_forced_token
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__7a5d5f22b84f252350cf,revision_v1_sha256_hex_002,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.5131969587556853,2.6738280134591443
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__c401ea7107ff1220fd41,revision_v1_sha256_hex_002,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.8318383798952573,2.7585763186216354
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__01e40a98bc77a3e51811,revision_v1_sha256_hex_002,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.390389144900154,3.1708851605653763
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__7d79ac4d3abd2d1a1323,revision_v1_sha256_hex_002,sha256_hex,256.0,64.0,64.0,847.0,0.0,847.0,4.0,0.2810098792535675,4.740345464059692,3.6489618718624115
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__bbcfb4a8110ef560a3cd,revision_v1_sha256_hex_002,sha256_hex,256.0,64.0,64.0,397.0,0.0,397.0,4.0,0.5553145336225597,4.749835103684914,3.6818628907203674
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__e0706e88a3a9a987e31f,revision_v1_sha256_hex_003,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.339978406356669,2.2308236618488158
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__b62550f4b82bfab09013,revision_v1_sha256_hex_003,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.619285044543577,2.242533192038536
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__4824010e40a51e03ded5,revision_v1_sha256_hex_003,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.408034335083491,3.3256682455539703
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__1de2cc5cb285cca44832,revision_v1_sha256_hex_003,sha256_hex,256.0,64.0,64.0,870.0,0.0,870.0,4.0,0.2740899357601713,5.096309397129038,4.053596764802933
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__b966824d49f467a34d38,revision_v1_sha256_hex_003,sha256_hex,256.0,64.0,64.0,371.0,0.0,371.0,4.0,0.5885057471264368,4.905898816955924,3.9128696620464325
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__c431dfdb876202416f29,revision_v1_sha256_hex_004,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.468423458535125,2.3620485729641385
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__5ff0412a79be126daf4c,revision_v1_sha256_hex_004,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,4.284195826714589,3.17498442530632
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__a82259799efcbdddcd9b,revision_v1_sha256_hex_004,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.718841548036029,3.7062908113002777
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__4dfb7404c05c64df5b2e,revision_v1_sha256_hex_004,sha256_hex,256.0,64.0,64.0,378.0,0.0,378.0,4.0,0.579185520361991,5.148605667099849,4.122151702642441
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__3689081bb5c4511b1c87,revision_v1_sha256_hex_004,sha256_hex,256.0,64.0,64.0,409.0,0.0,409.0,4.0,0.5412262156448203,4.911269899682134,3.8014817237854004
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__8871e77adf343614010c,revision_v1_sha256_hex_005,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.276122014634766,2.0727055365579172
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__d1fff677635f27d056cc,revision_v1_sha256_hex_005,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.6905276140846075,2.6632856354117393
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__38158304c7b1959feedb,revision_v1_sha256_hex_005,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.646888554783613,3.4233341813087463
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__d921123945884bf38110,revision_v1_sha256_hex_005,sha256_hex,256.0,64.0,64.0,873.0,0.0,873.0,4.0,0.27321237993596587,4.51575964459151,3.4712081253528595
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__4e5fb75f4b18f8f1df5d,revision_v1_sha256_hex_005,sha256_hex,256.0,64.0,64.0,617.0,0.0,617.0,4.0,0.37591776798825255,4.375877188881439,3.256272256374359
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__c4bd617286498c045d65,revision_v1_sha256_hex_006,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.502867465723776,2.6128173515810604
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__1781b8ab20cff7a71791,revision_v1_sha256_hex_006,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.607156494459345,2.39921448379755
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__1dd244ea4101c83c0341,revision_v1_sha256_hex_006,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.290491578583207,3.2062220126390457
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__c5275532e9df6444f16b,revision_v1_sha256_hex_006,sha256_hex,256.0,64.0,64.0,363.0,0.0,363.0,4.0,0.5995316159250585,4.976384688858097,3.887801229953766
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__3ef7bc65f5d9ddc24c8a,revision_v1_sha256_hex_006,sha256_hex,256.0,64.0,64.0,138.0,0.0,138.0,4.0,1.2673267326732673,4.3788469939335934,3.0984265357255936
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__90c5aeddaae994a8a82d,revision_v1_sha256_hex_007,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.2701310535343393,2.3292243745591907
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__0faf2b4ddc4b5455d2ec,revision_v1_sha256_hex_007,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.5898836540760675,2.47194754332304
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__c10e3fcaba2b13e912c0,revision_v1_sha256_hex_007,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.5539900068503885,3.5877483785152435
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__cbaec3f13830b669b4eb,revision_v1_sha256_hex_007,sha256_hex,256.0,64.0,64.0,508.0,0.0,508.0,4.0,0.44755244755244755,4.70825504633916,3.509045109152794
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__e7c7250a52cedb2c9667,revision_v1_sha256_hex_007,sha256_hex,256.0,64.0,64.0,705.0,0.0,705.0,4.0,0.3328998699609883,4.855164835137626,3.7304508686065674
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__6f5a463ff287cb75a7cf,revision_v1_sha256_hex_008,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.2290206825561,2.0341918900696156
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__0abdc257a7bda55d1389,revision_v1_sha256_hex_008,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.8072840994404222,2.754549339413643
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__daddec589fb94902131a,revision_v1_sha256_hex_008,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.719724591246395,3.6092727929353714
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__e686e27f540fde757339,revision_v1_sha256_hex_008,sha256_hex,256.0,64.0,64.0,718.0,0.0,718.0,4.0,0.3273657289002558,4.860187884348706,3.6677751541137695
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__63a0fe567cd81f84598b,revision_v1_sha256_hex_008,sha256_hex,256.0,64.0,64.0,563.0,0.0,563.0,4.0,0.4082934609250399,5.27959858600631,4.183442935347557
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__ea105e5a1f1d55b7ddfa,revision_v1_sha256_hex_009,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.5761320444991775,2.6358893377739085
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__c6d595c204e6ef5b263a,revision_v1_sha256_hex_009,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.8039474228342853,2.7538379952311516
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__d3fa43953d37c5dc6b62,revision_v1_sha256_hex_009,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.5035581670258615,3.4786112010478973
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__2f397ac99dd17c0839bc,revision_v1_sha256_hex_009,sha256_hex,256.0,64.0,64.0,582.0,0.0,582.0,4.0,0.39628482972136225,5.0612514519272755,4.218101650476456
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__8d0141edfe25fc28034a,revision_v1_sha256_hex_009,sha256_hex,256.0,64.0,64.0,374.0,0.0,374.0,4.0,0.5844748858447488,4.809419755438436,3.8142197877168655
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__df7415d2b99563811fcb,revision_v1_sha256_hex_010,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.4180977742581895,2.240217671756856
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__b165031c37575610a66f,revision_v1_sha256_hex_010,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.9752197065647406,2.9380065202713013
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__a13d1da0d91a1210b1bf,revision_v1_sha256_hex_010,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.65921190262739,3.771279275417328
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__dabe06124727133e5d15,revision_v1_sha256_hex_010,sha256_hex,256.0,64.0,64.0,206.0,0.0,206.0,4.0,0.9481481481481482,4.845769359761454,3.9594854563474655
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__6435b712f9f0f3e3dd4b,revision_v1_sha256_hex_010,sha256_hex,256.0,64.0,64.0,208.0,0.0,208.0,4.0,0.9411764705882353,5.2252204776378575,4.2416252344846725
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__2be8c7ecd90c3813db3d,revision_v1_sha256_hex_011,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.3013959089292455,2.233559970967254
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__a92711070f4a8248a887,revision_v1_sha256_hex_011,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,4.35610098251528,3.4717791080474854
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__4e9c03e880c21ba11a23,revision_v1_sha256_hex_011,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.085057884391587,2.775738075375557
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__f1013ef14db29119ce63,revision_v1_sha256_hex_011,sha256_hex,256.0,64.0,64.0,397.0,0.0,397.0,4.0,0.5553145336225597,5.1466106356019425,4.046026214957237
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__3fc2ea1b4d1338c6ab49,revision_v1_sha256_hex_011,sha256_hex,256.0,64.0,64.0,367.0,0.0,367.0,4.0,0.5939675174013921,5.000625442686253,3.8764568716287613
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__6fa7d4421d36d20d6ccc,revision_v1_sha256_hex_012,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,2.9677381353785406,1.9259380318268
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__5bfd1ebdd37f517ac335,revision_v1_sha256_hex_012,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,3.511486631709501,2.3809002116322517
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__5d682913faacb852175f,revision_v1_sha256_hex_012,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.337671042557471,3.474198341369629
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,single_assigned_prompt,revision_v1_primary_v2_payload_fidelity_v2__69dbb1256ade7ac86c37,revision_v1_sha256_hex_012,sha256_hex,256.0,64.0,64.0,452.0,0.0,452.0,4.0,0.49612403100775193,4.058546017797787,3.008552759885788
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,hex_nibble,16.0,True,dynamic_completion_v1,safe_text_filter_v1,0,deterministic_six_category_rotation,revision_v1_primary_v2_payload_fidelity_v2__ba7788f4eda3a515dd66,revision_v1_sha256_hex_012,sha256_hex,256.0,64.0,64.0,144.0,0.0,144.0,4.0,1.2307692307692308,3.964639058253975,2.8180954456329346
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,ascii_b8,8.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__288e3db1f73e70644211,revision_v1_sha256_hex_013,sha256_hex,512.0,171.0,171.0,0.0,0.0,0.0,2.9941520467836256,2.9941520467836256,3.4069175503654767,2.5165722830253734
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ascii_b16,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__05911068c21a36d177d6,revision_v1_sha256_hex_013,sha256_hex,512.0,128.0,128.0,0.0,0.0,0.0,4.0,4.0,4.108755742193364,3.2039926052093506
primary_v2,primary_v2_confirmatory,en,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,hex_nibble,16.0,False,none,none,0,not_applicable,revision_v1_primary_v2_payload_fidelity_v2__d7e05505700d2181601c,revision_v1_sha256_hex_013,sha256_hex,256.0,64.0,64.0,0.0,0.0,0.0,4.0,4.0,4.134351712350728,2.799073949456215
