path,size_bytes,sha256,row_count
source_tables/deberta__leave_one_model__llama3_8b_instruct_q4_k_m__subgroups.csv,3728,796e235de1b907a95146192faeaebbfb1641740767d87af93fa412002532ad17,14.0
source_tables/deberta__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__subgroups.csv,3608,7525a81295e9a3575c0b0f62d7c38eeb01ff4b0660b3595b9d2c61b56839ce70,14.0
source_tables/deberta__leave_one_model__qwen2_5_7b_instruct_q4_k_m__subgroups.csv,3694,e8ee90c77ba048400f2b4adcca7e09f0b8f224dba84abf3be249d877a81d9033,14.0
source_tables/deberta__matched__subgroups.csv,3385,0e5cb3317cee7262308199874d462a2c7dff5f805dffb9d82d7ebe97cd64f02a,14.0
source_tables/detector_holdout_macro.csv,953,35344e6caa56e57dc6bf2a8f9133558690751c0d1aebadaeac41e647266d711c,3.0
source_tables/detector_human_metrics.csv,1320,d27e453a0ec7c26a447207cef4023a73dd1467eaf766e0dca80bb7f79e328135,2.0
source_tables/detector_main_metrics.csv,9253,4f903488b2945d571c293a8986dbd1c18702a61f9d4e90604e5e4d6d2bbe38c2,12.0
source_tables/detector_subgroup_metrics.csv,47975,f08a249a3561b815bcc4e82d0f929311a69c8039e1dd452438e15e39d11914c8,168.0
source_tables/human_control_length_matches.csv,47178,8a2529e7f393a1d2068d0163fdf9e32a224c7ee39d1c3abbbad0c085a74ac2b4,250.0
source_tables/human_control_template_coverage.csv,612,151f0872d5c4347c76a19efedb3e6153e377393f40f544ef5dceb2736a8dbc4c,18.0
source_tables/rank_pressure_descriptive.csv,1120380,b16ab1f911b255cda332d13b1f2f1eb0111f15612969e6b5846a8aa02598b558,6480.0
source_tables/recovery_mode_comparison.csv,1001,5173f66501e679e9af33b70d59023c6dba9c0bd5e2729e69bfffa264865cac4c,3.0
source_tables/surprisal__leave_one_model__llama3_8b_instruct_q4_k_m__subgroups.csv,3632,0a41a2d25b5a59b490e1903197fbb501a2febb4c9db9ce0916cea5c7512b3e54,14.0
source_tables/surprisal__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__subgroups.csv,3608,7525a81295e9a3575c0b0f62d7c38eeb01ff4b0660b3595b9d2c61b56839ce70,14.0
source_tables/surprisal__leave_one_model__qwen2_5_7b_instruct_q4_k_m__subgroups.csv,3608,7525a81295e9a3575c0b0f62d7c38eeb01ff4b0660b3595b9d2c61b56839ce70,14.0
source_tables/surprisal__matched__subgroups.csv,3318,e3ed4161c6e09bf9d75f9fb1a52c14edddb76e3f49239b5162329b57ee8fe044,14.0
source_tables/textcnn__leave_one_model__llama3_8b_instruct_q4_k_m__subgroups.csv,3771,eac10f9b477469fd5c4cd0bd80042b22b27637c919b8a5af1a3c53cb3094cbdd,14.0
source_tables/textcnn__leave_one_model__mistral_7b_instruct_v0_3_q4_k_m__subgroups.csv,3773,08c9f7085218b5a28d83e8c6fedecf1860917f17523f71961deef23221d63111,14.0
source_tables/textcnn__leave_one_model__qwen2_5_7b_instruct_q4_k_m__subgroups.csv,3743,2ab79910480134aaaa7a66846dd2103ee319592b7ef22f92cd04a19ec43b152e,14.0
source_tables/textcnn__matched__subgroups.csv,4038,eb8ff83497c2af5c7222801965ca2e9fbeeb6b7003c353a31949f2a5e3ae85ac,14.0
source_tables/topic_variability_examples.csv,4450,f89ca3f6623f9dc97788522df7857b6fb948f20cf608a2f17e9d18bbf9aff99b,3.0
source_tables/topic_variability_pairs.csv,369741,9bf04b232f61a7dd9ad3a1cbe3ad3a900101c2347ef1706abd3833ff078af4c9,720.0
test_report.md,1149,a0bf7bfab44ae02d6fa50ec5695a8ff364b810e54af857e1128f8bbb6abe8478,
