detector,detector_label,generation_study,evaluation_id,dimension,level,row_count,positive_count,negative_count,group_count,available,roc_auc,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
textcnn,TextCNN,entropy,entropy_gates,payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9513314967860422,0.8828125,1.0,0.9090909090909092,0.8125,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,ed25519_signature_base64,68,34,34,2,True,0.9714532871972318,0.96875,0.9722222222222222,0.8529411764705882,0.8529411764705882,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,hmac_sha256_hex,104,52,52,2,True,0.9767011834319528,0.9497041420118344,1.0,0.7115384615384616,0.6153846153846154,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,nonce_96_bit_hex,104,52,52,2,True,0.9071745562130178,0.879286694101509,0.9344,0.4807692307692308,0.4807692307692308,0.52,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,sha256_hex,106,53,53,2,True,0.9362762548949805,0.9275147928994084,0.9423868312757202,0.7924528301886793,0.7777777777777778,0.8076923076923077,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,token_128_bit_hex,104,52,52,2,True,0.966346153846154,0.9541420118343196,0.9896449704142012,0.5,0.5,0.7692307692307693,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,payload_class,uuid_v4,72,36,36,2,True,0.9629629629629628,0.9598765432098766,0.9783950617283952,0.7222222222222222,0.7222222222222222,0.7777777777777778,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,representation_name,ascii_b16,288,144,144,16,True,0.953173225308642,0.921729118441358,0.9789279513888888,0.6847993827160495,0.625,0.8541666666666666,0.9073792695999146,0.7291666666666666,0.0208333333333333,3.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,representation_name,direct_subword,262,131,131,16,True,0.9607248994813822,0.9280846616832916,0.983086863770206,0.7077093409474973,0.5894750869711592,0.8475457017480826,0.9073792695999146,0.7251908396946565,0.0076335877862595,1.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,entropy,entropy_gates,representation_name,hex_nibble,142,71,71,8,True,0.9583415988891092,0.9365106129736164,0.9810222899344924,0.6619718309859155,0.5416666666666666,0.8732394366197183,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,gate_level,moderate,226,113,113,16,True,0.9784634662072206,0.958798271664572,0.9945572118749962,0.687837732007205,0.5675450450450449,0.9423214285714284,0.0008289444376714,0.8495575221238938,0.0176991150442477,2.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,gate_level,strict,232,116,116,16,True,0.8893430439952438,0.853727690798289,0.9311784757730704,0.3483947681331748,0.244052732044858,0.5697836643232865,0.0008289444376714,0.4913793103448275,0.0258620689655172,3.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,gate_level,ungated,234,117,117,16,True,0.9998538972897948,0.9986143428867827,1.0,0.9853897289794724,0.947356776897997,1.0,0.0008289444376714,1.0,0.0085470085470085,1.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9734474626604944,0.9488175005435848,0.9914298497717026,0.7476635514018691,0.6666666666666666,0.908165605691818,0.0008289444376714,0.8317757009345794,0.0373831775700934,4.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9788194444444444,0.9629113728696568,0.9927670052323792,0.8347222222222221,0.7863247863247862,0.9263888888888888,0.0008289444376714,0.775,0.0,0.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.957912576795424,0.9374460743446084,0.9801302528490028,0.6722689075630254,0.5912944664031621,0.8517528727107312,0.0008289444376714,0.7394957983193278,0.0168067226890756,2.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,codec_id,direct_subword_calgacus,262,131,131,16,True,0.9863644309772158,0.972483090640498,0.9964734390671108,0.7840452188100927,0.6915937945831386,0.9389371245417394,0.0008289444376714,0.900763358778626,0.0381679389312977,5.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,codec_id,nonseg_ascii_b16,288,144,144,16,True,0.9496045524691358,0.9232204861111112,0.9702449845679012,0.6327160493827161,0.5276041666666667,0.8134789737654321,0.0008289444376714,0.6805555555555556,0.0069444444444444,1.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9517952787145408,0.9228571428571428,0.980131172839506,0.7887323943661971,0.7101449275362319,0.902777777777778,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,aes256_gcm_base64,68,34,34,2,True,0.9801038062283736,0.9757785467128028,0.986159169550173,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9963269054178144,0.9921875,1.0,0.9696969696969696,0.9375,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,ed25519_signature_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,hmac_sha256_hex,104,52,52,2,True,0.9918639053254438,0.9866863905325444,0.9970414201183432,0.8653846153846154,0.8653846153846154,0.9615384615384616,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,nonce_96_bit_hex,104,52,52,2,True,0.9367603550295858,0.9286694101508915,0.944,0.5192307692307693,0.4814814814814814,0.8,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,sha256_hex,106,53,53,2,True,0.9807760768956924,0.9807760768956924,0.9866863905325444,0.8490566037735848,0.8490566037735848,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,token_128_bit_hex,104,52,52,2,True,0.9378698224852072,0.9260355029585798,0.9467455621301776,0.5769230769230769,0.5769230769230769,0.8076923076923077,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,payload_class,uuid_v4,72,36,36,2,True,0.9683641975308642,0.9537037037037036,0.984567901234568,0.7222222222222222,0.7222222222222222,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,representation_name,ascii_b16,288,144,144,16,True,0.9496045524691358,0.9247166763117284,0.9698615933641976,0.6327160493827161,0.5277777777777778,0.8183015046296296,0.0008289444376714,0.6805555555555556,0.0069444444444444,1.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,representation_name,direct_subword,262,131,131,16,True,0.9863644309772158,0.97311330688505,0.9964418899864704,0.7840452188100927,0.6934306569343067,0.9366324813235504,0.0008289444376714,0.900763358778626,0.0381679389312977,5.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,entropy,entropy_gates,representation_name,hex_nibble,142,71,71,8,True,0.9517952787145408,0.9242777102649504,0.980324074074074,0.7887323943661971,0.7142857142857143,0.9142857142857144,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,gate_level,moderate,226,113,113,16,True,0.9999216853316626,0.9995763011086788,1.0,0.992168533166262,0.9756047580967612,1.0,0.4443112302088031,0.9380530973451328,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,gate_level,strict,232,116,116,16,True,0.9904131985731272,0.9832753125237672,0.9962673733869004,0.7844827586206896,0.7118619513090861,0.905623565994445,0.4443112302088031,0.6551724137931034,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,gate_level,ungated,234,117,117,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.4443112302088031,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,model_id,llama3_8b_instruct_q4_k_m,214,107,107,16,True,0.9969429644510438,0.9917224234090768,1.0,0.9538824351471744,0.9224117007030465,1.0,0.4443112302088031,0.9158878504672896,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,16,True,0.9996527777777776,0.9989772810285632,1.0,0.9847222222222224,0.9666666666666668,1.0,0.4443112302088031,0.8666666666666667,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,16,True,0.997810889061507,0.994624,0.9998587670362262,0.9425181837440856,0.9171200543907284,0.9915983893557424,0.4443112302088031,0.8151260504201681,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,codec_id,direct_subword_calgacus,262,131,131,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.4443112302088031,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,codec_id,nonseg_ascii_b16,288,144,144,16,True,0.996238425925926,0.992476851851852,0.9989872685185184,0.9166666666666666,0.8680555555555556,0.9743441358024691,0.4443112302088031,0.7430555555555556,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,codec_id,nonseg_hex_nibble_b16,142,71,71,8,True,0.9982146399523903,0.9930555555555556,1.0,0.9577464788732394,0.9142857142857144,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,aes256_gcm_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,chacha20_poly1305_base64,66,33,33,2,True,0.9981634527089072,0.9981634527089072,1.0,0.9696969696969696,0.9696969696969696,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,ed25519_signature_base64,68,34,34,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,hmac_sha256_hex,104,52,52,2,True,0.9955621301775148,0.9911242603550297,1.0,0.8846153846153846,0.8846153846153846,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,nonce_96_bit_hex,104,52,52,2,True,0.992603550295858,0.9849108367626886,1.0,0.8461538461538461,0.8148148148148148,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,sha256_hex,106,53,53,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,token_128_bit_hex,104,52,52,2,True,0.992603550295858,0.992603550295858,1.0,0.9230769230769232,0.9230769230769232,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,payload_class,uuid_v4,72,36,36,2,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,representation_name,ascii_b16,288,144,144,16,True,0.996238425925926,0.992476851851852,0.9988920235339506,0.9166666666666666,0.8673562885802469,0.9722222222222222,0.4443112302088031,0.7430555555555556,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,representation_name,direct_subword,262,131,131,16,True,1.0,1.0,1.0,1.0,1.0,1.0,0.4443112302088031,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,entropy,entropy_gates,representation_name,hex_nibble,142,71,71,8,True,0.9982146399523903,0.9930555555555556,1.0,0.9577464788732394,0.9154929577464788,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,model_id,qwen2_5_7b_instruct_q8_0,384,192,192,96,True,0.9927029079861112,0.9857835557725696,0.9978298611111112,0.75390625,0.6666666666666666,0.9010416666666666,0.6581659317016602,0.9375,0.0364583333333333,7.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,codec_id,nonseg_ascii_b16,192,96,96,96,True,0.9958767361111112,0.9890407986111112,0.9998914930555556,0.8541666666666666,0.78125,0.9895833333333336,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,codec_id,nonseg_ascii_b8,192,96,96,96,True,0.9886067708333334,0.9761284722222222,0.9975043402777778,0.6979166666666666,0.6145833333333334,0.9270833333333334,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,aes256_gcm_base64,48,24,24,12,True,0.9947916666666666,0.9826388888888888,1.0,0.8750000000000001,0.75,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,chacha20_poly1305_base64,48,24,24,12,True,0.9982638888888888,0.9912760416666666,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,ed25519_signature_base64,48,24,24,12,True,0.9965277777777778,0.9791666666666666,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,hmac_sha256_hex,48,24,24,12,True,0.9982638888888888,0.9895833333333334,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,nonce_96_bit_hex,48,24,24,12,True,0.9791666666666666,0.921875,1.0,0.5,0.2916666666666667,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,sha256_hex,48,24,24,12,True,0.9947916666666666,0.9826388888888888,1.0,0.9166666666666666,0.8333333333333333,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,token_128_bit_hex,48,24,24,12,True,0.9826388888888888,0.9375,1.0,0.5833333333333334,0.375,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,payload_class,uuid_v4,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,representation_name,ascii_b16,192,96,96,96,True,0.9958767361111112,0.9890407986111112,0.9997829861111112,0.8541666666666666,0.78125,0.9791666666666669,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q4_to_q8,representation_name,ascii_b8,192,96,96,96,True,0.9886067708333334,0.9755832248263888,0.9977213541666666,0.6979166666666666,0.6041666666666666,0.9166666666666666,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,model_id,qwen2_5_7b_instruct_q8_0,384,192,192,96,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0737050250172615,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,codec_id,nonseg_ascii_b16,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,codec_id,nonseg_ascii_b8,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,aes256_gcm_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,chacha20_poly1305_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,ed25519_signature_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,hmac_sha256_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,nonce_96_bit_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,sha256_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,token_128_bit_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,payload_class,uuid_v4,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,representation_name,ascii_b16,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,DeBERTa-v3-base,quantization,q4_to_q8,representation_name,ascii_b8,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,model_id,qwen2_5_7b_instruct_q8_0,384,192,192,96,True,1.0,1.0,1.0,1.0,1.0,1.0,0.8014620251364444,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,codec_id,nonseg_ascii_b16,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,codec_id,nonseg_ascii_b8,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,aes256_gcm_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,chacha20_poly1305_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,ed25519_signature_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,hmac_sha256_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,nonce_96_bit_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,sha256_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,token_128_bit_hex,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,payload_class,uuid_v4,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,representation_name,ascii_b16,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
surprisal,Model-aware surprisal,quantization,q4_to_q8,representation_name,ascii_b8,192,96,96,96,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,model_id,qwen2_5_7b_instruct_q4_k_m,384,192,192,96,True,0.9944118923611112,0.9899631076388888,0.9977762858072916,0.8297526041666666,0.7708333333333334,0.9427083333333334,0.5067657828330994,0.9479166666666666,0.0260416666666666,5.0,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,codec_id,nonseg_ascii_b16,192,96,96,96,True,0.9976128472222222,0.9932725694444444,1.0,0.8958333333333334,0.84375,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,codec_id,nonseg_ascii_b8,192,96,96,96,True,0.9887152777777778,0.9778618706597224,0.9963107638888888,0.75,0.6770833333333334,0.9270833333333334,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,aes256_gcm_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,chacha20_poly1305_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,ed25519_signature_base64,48,24,24,12,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,hmac_sha256_hex,48,24,24,12,True,0.9930555555555556,0.9739583333333334,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,nonce_96_bit_hex,48,24,24,12,True,0.9861111111111112,0.9565538194444444,1.0,0.8750000000000001,0.75,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,sha256_hex,48,24,24,12,True,0.9722222222222222,0.9427083333333334,1.0,0.7083333333333334,0.5416666666666666,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,token_128_bit_hex,48,24,24,12,True,0.9878472222222222,0.9583333333333334,1.0,0.8333333333333333,0.7083333333333334,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,payload_class,uuid_v4,48,24,24,12,True,0.9930555555555556,0.9791666666666666,1.0,0.9583333333333334,0.8750000000000001,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,representation_name,ascii_b16,192,96,96,96,True,0.9976128472222222,0.9930555555555556,1.0,0.8958333333333334,0.8333333333333333,1.0,,,,,False,test negatives do not support the requested empirical resolution
textcnn,TextCNN,quantization,q8_to_q4,representation_name,ascii_b8,192,96,96,96,True,0.9887152777777778,0.9780815972222222,0.9962022569444444,0.75,0.6666666666666666,0.9166666666666666,,,,,False,test negatives do not support the requested empirical resolution
