plan_id,pairing_unit_id,model_id,base_model,model_revision,quantization,population,label,payload_name,payload_class,payload_split,representation_name,codec_id,reference_q4_pair_id,reference_q4_row_id,prompt_template_id,target_token_count,generated_token_count,sampling_seed,saved_id_exact_payload_recovery,visible_text_exact_payload_recovery,mean_entropy_bits,mean_observed_rank,mean_token_surprisal_nats,mean_rank_pressure_log_probability_gap_nats,tail_rank_frequency_gt_100,text_sha256,execution_seconds,gpu_memory_peak_mib,new_generation_performed,word_count,sentence_count,character_count,flesch_reading_ease_heuristic,flesch_kincaid_grade_heuristic,coleman_liau_index,unique_word_fraction,repeated_bigram_fraction,repeated_trigram_fraction,maximum_identical_word_run,artifact_like_fragment_count,surface_flag_total,tfidf_prompt_similarity
quantization_trial__c904843c92e3f730468734d8,quantization_pair__0121d88052358713db3a6157,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_aes256_gcm_base64_047,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__a6d21c29b8f5e12436420d5b,detector_pair__a6d21c29b8f5e12436420d5b__rankcloak,explain_everyday_system,128,128,2871897041526839511,True,,3.8605905337897255,7.1484375,4.069571415418271,2.8959076702594757,0.0,2184fdc398789ecc15e198e2bc4f40618d420359a3245199879572ca0b50ed81,5.175788031992852,4757,False,113,9,690,51.843323500491664,9.147374631268438,10.878230088495574,0.6371681415929203,0.0,0.0,1,0,2,0.05842976157322137
quantization_trial__776f2de59795594d2d7a0cfe,quantization_pair__0121d88052358713db3a6157,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_aes256_gcm_base64_047,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__a6d21c29b8f5e12436420d5b,detector_pair__a6d21c29b8f5e12436420d5b__rankcloak,explain_everyday_system,128,128,2871897041526839511,True,False,3.441226291821252,7.1484375,4.3796961625478135,3.4061170890927315,0.0,918cc49231014e28497f9f9aa692b96d3cf95f256f95c22fb364a5e88c57e52e,25.107892615007586,7753,True,103,3,702,14.28569579288029,19.79611650485437,16.27728155339806,0.7087378640776699,0.039215686274509776,0.00990099009900991,1,0,4,0.057763947844471863
quantization_trial__fd9be35d1d657f20442f5f66,quantization_pair__0166ee1870f36e77f72fa4a4,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__5356865cb4105a53ddf8a1ee,detector_pair__5356865cb4105a53ddf8a1ee__rankcloak,casual_hobby_chat,48,48,2380451683208246800,True,,2.1952828131119504,5.395833333333333,4.274273087816902,3.6404475569725037,0.0,b36097d922799327df881c9f46df37b30894156c9bc5291819609b1a403eda1d,2.291151440993417,4757,False,44,3,238,70.81651515151518,7.025454545454547,7.5727272727272705,0.8409090909090909,0.0,0.0,1,0,1,0.05477574703140685
quantization_trial__0295c7fb4593614a7fcf21b8,quantization_pair__0166ee1870f36e77f72fa4a4,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_nonce_96_bit_hex_027,nonce_96_bit_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__5356865cb4105a53ddf8a1ee,detector_pair__5356865cb4105a53ddf8a1ee__rankcloak,casual_hobby_chat,48,48,2380451683208246800,True,True,2.7572304255787454,5.395833333333333,3.918150504770215,3.0732851227124534,0.0,24c47c4c408ee16461da432844258694a22047cac54e32d699b11a1e348934dd,11.218454514993937,7753,True,42,4,227,77.33464285714288,5.081190476190475,6.440952380952378,0.9523809523809523,0.0,0.0,1,0,1,0.059666415038060285
quantization_trial__a0a4431fdd01954e78a1e626,quantization_pair__016d3578d4474508e87dbf1b,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_hmac_sha256_hex_054,hmac_sha256_hex,test,ascii_b16,nonseg_ascii_b16,detector_pair__2492e5921c4f3248b3f2e259,detector_pair__2492e5921c4f3248b3f2e259__rankcloak,forum_learning_answer,128,128,8059400975176834898,True,,2.3572361796310224,5.234375,4.309616632625238,3.6474586129188538,0.0,62211dfa4ea6daa84e2bcfb330296ec464ea9f2d947cb1325be353289878c6c9,5.11372791499889,4757,False,104,5,566,74.27876923076926,8.06623076923077,7.371153846153845,0.7692307692307693,0.0,0.0,1,0,2,0.0418024956255789
quantization_trial__f71c787e67a5fd85e07e61ae,quantization_pair__016d3578d4474508e87dbf1b,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_hmac_sha256_hex_054,hmac_sha256_hex,test,ascii_b16,nonseg_ascii_b16,detector_pair__2492e5921c4f3248b3f2e259,detector_pair__2492e5921c4f3248b3f2e259__rankcloak,forum_learning_answer,128,128,8059400975176834898,True,True,2.5446324570291528,5.234375,4.592861565366054,3.9006510004401207,0.0,b01a23b9be5029f730051a7d2970d01378535db6ed064f41ed8ee36677b5fd50,24.92615061199467,7753,True,100,8,618,55.40350000000004,8.637,10.7028,0.84,0.010101010101010055,0.0,1,0,1,0.05375752065453632
quantization_trial__ed2478d470f2c6192fdb8229,quantization_pair__0172152fdeb6a84b919bff38,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__b6f256430e3fc0e71db40913,detector_pair__b6f256430e3fc0e71db40913__rankcloak,casual_weekend_chat,64,64,17539898386013104676,True,,2.581570630834801,3.859375,3.2432036296396705,2.5285123735666275,0.0,e34d20c99c50ceaea302c1ee89485c9e1389e537c66e0e9978b91835e280e2f1,2.8559244810021482,4757,False,54,4,285,74.06583333333336,6.282407407407408,5.962962962962962,0.8148148148148148,0.0,0.0,1,0,1,0.06334648254933135
quantization_trial__11f607bb2ebc9fd2b20bbfbd,quantization_pair__0172152fdeb6a84b919bff38,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__b6f256430e3fc0e71db40913,detector_pair__b6f256430e3fc0e71db40913__rankcloak,casual_weekend_chat,64,64,17539898386013104676,True,True,2.336907729229446,3.859375,3.3741722776467222,2.6808130145072937,0.0,112c82b3947bcef6f8cbfa1fb89a1388584183cd997e0bd0e2658e05c8b8e985,13.833371544998954,7753,True,56,3,325,62.499047619047644,9.179285714285719,9.809285714285714,0.8392857142857143,0.0,0.0,1,0,2,0.08725370359962918
quantization_trial__09956b89b35b1f6bb8ff90ca,quantization_pair__0197c21d2188c7345e816bfb,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__cbc244cfbf0466adb6a69abc,detector_pair__cbc244cfbf0466adb6a69abc__ordinary_control,narrative_learning_moment,171,171,6257525372243705948,,,2.24164901123883,1.9883040935672514,1.021898855466031,0.344119730051498,0.0,5fbfea36e9d45846c578c0b21b032445626fcbd6e0061855480ebb4137ce9f44,6.974102801992558,4757,False,151,11,871,57.31771222155331,8.674894641782057,9.301986754966883,0.6622516556291391,0.00666666666666671,0.0,1,0,1,0.026588627616196694
quantization_trial__bfa9d06b43301bd63f580701,quantization_pair__0197c21d2188c7345e816bfb,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_hmac_sha256_hex_002,hmac_sha256_hex,train,ascii_b8,nonseg_ascii_b8,detector_pair__cbc244cfbf0466adb6a69abc,detector_pair__cbc244cfbf0466adb6a69abc__ordinary_control,narrative_learning_moment,171,171,6257525372243705948,,,2.2353393073840246,1.7719298245614035,1.006366890340325,0.3607151968437329,0.0,7a54b0643aca0419a36f9a4386c4f21aa7d2a0bfd618ffb58938125e7712aa7a,18.038565176990232,7753,True,140,8,773,62.77678571428574,8.850714285714286,8.254571428571431,0.7071428571428572,0.021582733812949617,0.007246376811594235,1,0,0,0.01440139315407958
quantization_trial__c2d3cb3dfc7c3a5ad1deb8c9,quantization_pair__01cd62546103eb5c19e3657b,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_aes256_gcm_base64_037,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__9eaea88ca9078d8f57b3ad7b,detector_pair__9eaea88ca9078d8f57b3ad7b__ordinary_control,professional_project_update,128,128,8712823369956611483,,,1.403575711274777,1.4375,0.6901630607615563,0.2539210766553879,0.0,5a37941075413173609d4e6ba7f0f13245b93377ae45db01038bdaa12360fb26,5.2182380050071515,4757,False,114,6,713,45.807894736842115,11.590175438596493,12.661052631578947,0.6842105263157895,0.026548672566371723,0.0,1,0,1,0.16603630994287386
quantization_trial__fe3c98a610997ff669623359,quantization_pair__01cd62546103eb5c19e3657b,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_aes256_gcm_base64_037,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__9eaea88ca9078d8f57b3ad7b,detector_pair__9eaea88ca9078d8f57b3ad7b__ordinary_control,professional_project_update,128,128,8712823369956611483,,,1.6015195362099175,1.546875,0.7704083683954849,0.2697221264243126,0.0,c07e17fd8e9d2f049ee63c980f3d91a2bba4c33e4928592510b01cf18900f2d9,13.821154477001983,7753,True,107,7,692,50.58355140186919,10.001335113484647,12.982429906542055,0.6915887850467289,0.037735849056603765,0.0,1,0,1,0.14762334705314575
quantization_trial__9b753a51af147cbcef79f7e3,quantization_pair__020811a7b4de135b164f2cf1,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__20a10c501d64c75aa73890ec,detector_pair__20a10c501d64c75aa73890ec__rankcloak,explain_weather_pattern,128,128,4795955735572288765,True,,2.6503415692383125,6.6171875,4.4625109483497125,3.6966189444065094,0.0,fc6abcc3fa884f62efde4390077b01081317a9066060e8a7df84f5c9e70687f2,5.272909002000233,4757,False,105,5,617,67.88571428571431,9.007619047619048,9.22247619047619,0.780952380952381,0.0,0.0,2,0,4,0.01647526091508637
quantization_trial__6ea9d1ceac26686428664423,quantization_pair__020811a7b4de135b164f2cf1,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,validation,ascii_b16,nonseg_ascii_b16,detector_pair__20a10c501d64c75aa73890ec,detector_pair__20a10c501d64c75aa73890ec__rankcloak,explain_weather_pattern,128,128,4795955735572288765,True,False,3.9899038801171125,6.6171875,4.419050941040307,3.319736037403345,0.0,84974cbd8480564de89de1fcddb77bfe4da969addd213b7d33a4b0e9059759de,25.14132907098974,7753,True,94,3,546,47.2316666666667,14.455531914893623,9.902978723404257,0.7872340425531915,0.0,0.0,1,0,6,0.04551984092772629
quantization_trial__0e9d3f97a115c15d4161db42,quantization_pair__020d7e9e053fbbff511d8ba5,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_nonce_96_bit_hex_045,nonce_96_bit_hex,validation,ascii_b8,nonseg_ascii_b8,detector_pair__11b55a995c2ac0511096aeaf,detector_pair__11b55a995c2ac0511096aeaf__rankcloak,casual_hobby_chat,64,64,10478021746167882206,True,,2.8254666743595123,4.3125,3.9688119473405514,3.0991326421499252,0.0,6e1e9d987314b94c98babe5cc31089f6fd1e32e8eecd2c7a86b1b148473ba146,2.8704674229957163,4757,False,52,4,314,56.97846153846157,8.541538461538462,9.966153846153844,0.9038461538461539,0.0,0.0,1,0,2,0.01654323936907156
quantization_trial__45f46639e3727069441c9e3e,quantization_pair__020d7e9e053fbbff511d8ba5,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_nonce_96_bit_hex_045,nonce_96_bit_hex,validation,ascii_b8,nonseg_ascii_b8,detector_pair__11b55a995c2ac0511096aeaf,detector_pair__11b55a995c2ac0511096aeaf__rankcloak,casual_hobby_chat,64,64,10478021746167882206,True,True,2.4381125915500004,4.3125,4.170360513458888,3.472475826740265,0.0,40b6b6aa43952b31f1bfbc21dbe320ffe84ea783b27635d95327a42ffed1a7cb,14.010514345995034,7753,True,56,2,320,54.5364285714286,12.608571428571427,10.232857142857139,0.9107142857142857,0.0,0.0,1,0,2,0.07514569840160053
quantization_trial__3f589a41412ba8c5cd874fce,quantization_pair__0243e3eca27034196a18fd6b,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,ordinary_control,0,revision_v1_chacha20_poly1305_base64_028,chacha20_poly1305_base64,train,ascii_b16,nonseg_ascii_b16,detector_pair__fe0c04d560875b3b9f26c45b,detector_pair__fe0c04d560875b3b9f26c45b__ordinary_control,explain_biological_process,128,128,15159743763379936449,,,0.7244687739310678,1.1171875,0.2898660188395366,0.07245244085788727,0.0,6d659bd22f77f9c8abb5dc092b3fcff551767dd54482fe8d602d0d08f46159ed,5.182750764986849,4757,False,102,8,662,46.25845588235296,9.9746568627451,12.950196078431368,0.6862745098039216,0.05940594059405946,0.010000000000000009,1,0,1,0.13009691376927843
quantization_trial__82cc1861a12d4dd7533f9b37,quantization_pair__0243e3eca27034196a18fd6b,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,ordinary_control,0,revision_v1_chacha20_poly1305_base64_028,chacha20_poly1305_base64,train,ascii_b16,nonseg_ascii_b16,detector_pair__fe0c04d560875b3b9f26c45b,detector_pair__fe0c04d560875b3b9f26c45b__ordinary_control,explain_biological_process,128,128,15159743763379936449,,,0.8697612854928263,1.1484375,0.3507496871894936,0.08559666574001312,0.0,be0cab8671b6ad723e3c106b694821bbfdc6102af49a5b3aca37435f053ec716,13.947750324994558,7753,True,97,9,619,45.01101947308135,9.658694158075605,11.581030927835045,0.6082474226804123,0.08333333333333337,0.010526315789473717,1,0,0,0.14069031627670514
quantization_trial__4998ee1cb692e02a7629342d,quantization_pair__0254e52ed7e1135d5f90fc94,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_sha256_hex_014,sha256_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__bed816390b441be323b23851,detector_pair__bed816390b441be323b23851__rankcloak,procedure_simple_meal,128,128,7861895289165493241,True,,2.4544436956458178,5.2109375,4.601622800552615,3.919798281043768,0.0,a2c85826d5351ddbd1c0d4722614eda1a4bf949e07ac5e5ade1f84e784fb41be,5.244483086993569,4757,False,89,5,585,54.738786516853935,10.046382022471914,11.342471910112359,0.8539325842696629,0.0,0.0,1,0,5,0.07268443880242145
quantization_trial__42aa331de2d87b1c2283c5c7,quantization_pair__0254e52ed7e1135d5f90fc94,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_sha256_hex_014,sha256_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__bed816390b441be323b23851,detector_pair__bed816390b441be323b23851__rankcloak,procedure_simple_meal,128,128,7861895289165493241,True,True,3.156619118792609,5.2109375,4.193402336752499,3.2363767251372337,0.0,1ea89175668d3ab6deb314e1e06fb263abcf2950d26f07390e961f8d79a56e12,25.472999675999745,7753,True,102,6,581,70.14470588235295,7.698823529411765,8.342352941176472,0.7745098039215687,0.01980198019801982,0.0,1,0,3,0.08022754482478596
quantization_trial__dd5ca81484a15279951c6171,quantization_pair__02841fd46e9ab9792323be3e,qwen2_5_7b_instruct_q4_k_m,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q4_K_M,rankcloak,1,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__7f3bc3a1b55b5362f61219ce,detector_pair__7f3bc3a1b55b5362f61219ce__rankcloak,professional_process_email,128,128,2923201502558377165,True,,2.527665059000393,5.0703125,4.340196149115632,3.617767997086048,0.0,b22f369bc462e2a2a0b109f9436d2f06561ffb076fa0e128109781f1380dea27,5.137709767004708,4757,False,99,7,637,51.48000000000002,9.592380952380953,12.160404040404039,0.8383838383838383,0.0,0.0,1,0,2,0.023577230803908913
quantization_trial__34c7782bae4d0274774c3ac4,quantization_pair__02841fd46e9ab9792323be3e,qwen2_5_7b_instruct_q8_0,Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,Q8_0,rankcloak,1,revision_v1_hmac_sha256_hex_005,hmac_sha256_hex,train,ascii_b16,nonseg_ascii_b16,detector_pair__7f3bc3a1b55b5362f61219ce,detector_pair__7f3bc3a1b55b5362f61219ce__rankcloak,professional_process_email,128,128,2923201502558377165,True,True,2.722208238610544,5.0703125,4.109680519377872,3.3181180506944656,0.0,e66e5336addf6325824afd8e7025b041afe220d44078a06ede06b24f2f418b7b,25.007433327002218,7753,True,98,6,689,34.868911564625876,12.453469387755106,16.167755102040818,0.8163265306122449,0.0,0.0,1,0,2,0.05942108454134115
