human_row_id,candidate_id,prompt_template_id,matched_rankcloak_test_row_id,human_word_count,rankcloak_word_count,relative_word_difference,human_character_count,rankcloak_character_count,matching_cost
human-HC-207541e5e69f42689527199a,HC-207541e5e69f42689527199a,forum_purchase_advice,detector_pair__ca67d9d183c234aa47afc61a__rankcloak,155,155,0.0,820,896,0.021205357142857144
human-HC-22cf7ae5724f16356e9c0895,HC-22cf7ae5724f16356e9c0895,explain_weather_pattern,detector_pair__f2bfe93c4550521de00c5b93__rankcloak,57,49,0.16326530612244897,378,328,0.20137506222000995
human-HC-2418bc945c5e74b81f4084a1,HC-2418bc945c5e74b81f4084a1,explain_weather_pattern,detector_pair__1311c60d23077fc2b759f801__rankcloak,113,118,0.0423728813559322,701,780,0.06769339417644502
human-HC-250543e048d1228460921322,HC-250543e048d1228460921322,forum_purchase_advice,detector_pair__fc4ec51a034963db619bbb32__rankcloak,290,302,0.039735099337748346,1792,2126,0.07901073433304467
human-HC-25242dd8b3b9d3d53ae0d0e3,HC-25242dd8b3b9d3d53ae0d0e3,forum_learning_answer,detector_pair__ecfeeefe60381829e232ac40__rankcloak,152,151,0.006622516556291391,889,924,0.01609221352598836
human-HC-25cc77f69f070edb9d73c3e7,HC-25cc77f69f070edb9d73c3e7,explain_biological_process,detector_pair__fe69248e3f76ca3304d55434__rankcloak,52,51,0.0196078431372549,310,306,0.02287581699346405
human-HC-260486bf75d545c5d5cacd91,HC-260486bf75d545c5d5cacd91,forum_practical_answer,detector_pair__1966e8c347357007211e6537__rankcloak,111,85,0.3058823529411765,629,481,0.3828054298642534
human-HC-26b2dc2cdb9d9654bd4ec0a7,HC-26b2dc2cdb9d9654bd4ec0a7,professional_project_update,detector_pair__d38922b26dbda12ef28409e4__rankcloak,258,257,0.0038910505836575876,1555,1590,0.009394195237745637
human-HC-26f6f45fb5b8742ef9917de6,HC-26f6f45fb5b8742ef9917de6,narrative_learning_moment,detector_pair__028101428a3190dc96f185d8__rankcloak,208,210,0.009523809523809525,1136,1174,0.017615802709499473
human-HC-296b252a413676ef7afbf145,HC-296b252a413676ef7afbf145,explain_weather_pattern,detector_pair__c42786f25f111f74c33b887f__rankcloak,76,90,0.15555555555555556,411,597,0.23344500279173647
human-HC-2d0c2f9e70009e38b61be6d7,HC-2d0c2f9e70009e38b61be6d7,forum_learning_answer,detector_pair__c36cae65f70379c2712e0760__rankcloak,206,201,0.024875621890547265,1182,1229,0.03443624027948136
human-HC-2ef4115d2b0fc53d5f5d1f83,HC-2ef4115d2b0fc53d5f5d1f83,forum_learning_answer,detector_pair__5cce0190b5a9835b587fcac5__rankcloak,91,91,0.0,527,518,0.004343629343629344
human-HC-30502ec1fd271b60cbe72f97,HC-30502ec1fd271b60cbe72f97,forum_purchase_advice,detector_pair__2f947f78654701657c6f52f7__rankcloak,121,123,0.016260162601626018,750,798,0.03129775658658843
human-HC-34311a4a4e72302cbbbd8413,HC-34311a4a4e72302cbbbd8413,forum_practical_answer,detector_pair__9d4ee7bb3a861a23df98bdf7__rankcloak,131,103,0.27184466019417475,726,566,0.34251603828604754
human-HC-34bc8b975f0a21114d74348a,HC-34bc8b975f0a21114d74348a,explain_biological_process,detector_pair__4da55c9a83764d9718540571__rankcloak,133,131,0.015267175572519083,840,814,0.02325243355777707
human-HC-370505ef7c40bfabd2160533,HC-370505ef7c40bfabd2160533,procedure_home_task,detector_pair__b3b6f86975affdd975ed3496__rankcloak,87,87,0.0,450,547,0.0443327239488117
human-HC-3743211f193145f4bae525c0,HC-3743211f193145f4bae525c0,explain_biological_process,detector_pair__515c3bc8e42ffcbe69498eed__rankcloak,39,39,0.0,230,232,0.0021551724137931034
human-HC-3885dd48ed190c350267737a,HC-3885dd48ed190c350267737a,procedure_home_task,detector_pair__2cd2549735ece6d1cc344429__rankcloak,88,87,0.011494252873563218,483,529,0.033233383308345826
human-HC-3ab1f6d5e4a614d843fe9e4f,HC-3ab1f6d5e4a614d843fe9e4f,explain_everyday_system,detector_pair__6caa05b10bdbd062a1878ded__rankcloak,101,101,0.0,664,653,0.004211332312404288
human-HC-3ac78f6efbceb56636ec3e09,HC-3ac78f6efbceb56636ec3e09,procedure_simple_meal,detector_pair__413f16bf7d22eb637da99c9d__rankcloak,103,102,0.00980392156862745,568,607,0.025866524534031075
human-HC-3b86c344d4537cdab6e2ccf2,HC-3b86c344d4537cdab6e2ccf2,narrative_learning_moment,detector_pair__daa0fd1f3abfe755c809841c__rankcloak,199,218,0.0871559633027523,1187,1226,0.09510865498301331
human-HC-3c52307a53626f72c9e56f3e,HC-3c52307a53626f72c9e56f3e,forum_practical_answer,detector_pair__e9c1d881c4cfbb5d52fc295d__rankcloak,247,258,0.04263565891472868,1364,1372,0.04409338486225055
human-HC-3ca11d8dd624698ecc81ae34,HC-3ca11d8dd624698ecc81ae34,forum_purchase_advice,detector_pair__37ff951e127c3efa57fdf3f8__rankcloak,192,193,0.0051813471502590676,1152,1137,0.00847950018455986
human-HC-3ddfa790c0a5c907946700bf,HC-3ddfa790c0a5c907946700bf,explain_biological_process,detector_pair__edc99e28084d606968a0c72c__rankcloak,293,368,0.20380434782608695,1778,1827,0.21050932866899882
human-HC-3eb6debca43ce4a6d2e02223,HC-3eb6debca43ce4a6d2e02223,procedure_home_task,detector_pair__0a87cd68b555cb63277ebf42__rankcloak,150,145,0.034482758620689655,880,832,0.04890583554376658
human-HC-3f02b8e24495cc40d7ef29f1,HC-3f02b8e24495cc40d7ef29f1,forum_learning_answer,detector_pair__f866428474236cf915c7f29d__rankcloak,78,78,0.0,435,442,0.003959276018099547
human-HC-3fa31d515c5b130d8fee1de1,HC-3fa31d515c5b130d8fee1de1,procedure_home_task,detector_pair__73a1e956f72d09ef8d0d3b5a__rankcloak,201,183,0.09836065573770492,1206,1118,0.11803865215988739
human-HC-40658de38733684ea2cf88e5,HC-40658de38733684ea2cf88e5,explain_weather_pattern,detector_pair__c0bd67168d7741eff17ebfd3__rankcloak,81,91,0.10989010989010989,554,562,0.11344882875131986
human-HC-4083868a77e88448392fe2f9,HC-4083868a77e88448392fe2f9,forum_purchase_advice,detector_pair__969213476ed62da2bd3c2168__rankcloak,101,85,0.18823529411764706,564,530,0.20427302996670366
human-HC-425b0b5e1375e3268b001a66,HC-425b0b5e1375e3268b001a66,explain_weather_pattern,detector_pair__95468c85f5d143ff3728784b__rankcloak,71,67,0.05970149253731343,435,453,0.06963526737175052
human-HC-4358d920aacfd6e94125d8ac,HC-4358d920aacfd6e94125d8ac,procedure_simple_meal,detector_pair__01bb19d90b9cbd0cd21e1af4__rankcloak,118,117,0.008547008547008548,682,771,0.03740563370913566
human-HC-44598c997eb984ee9c08f7cf,HC-44598c997eb984ee9c08f7cf,forum_purchase_advice,detector_pair__d702cd500f85fad31dd6b0c3__rankcloak,255,359,0.28969359331476324,1715,2089,0.3344518508542558
human-HC-44d3decdeafddf396803a59c,HC-44d3decdeafddf396803a59c,forum_learning_answer,detector_pair__be326a70aa6f746cd58efc1f__rankcloak,52,41,0.2682926829268293,313,209,0.39269459680242735
human-HC-458a8624bee08b18389c979e,HC-458a8624bee08b18389c979e,forum_purchase_advice,detector_pair__78688a2756127bc0efb37ba0__rankcloak,114,114,0.0,628,664,0.01355421686746988
human-HC-45d5f866a003bc263c112176,HC-45d5f866a003bc263c112176,forum_practical_answer,detector_pair__52786df2cd6480b3481d4922__rankcloak,142,116,0.22413793103448276,719,606,0.2707550927506544
human-HC-4650acd7f63f95a26a6be58f,HC-4650acd7f63f95a26a6be58f,forum_learning_answer,detector_pair__3d4a9e4e12319ac86c3ff28f__rankcloak,146,146,0.0,857,878,0.005979498861047836
human-HC-466776e9adcc6e626791969a,HC-466776e9adcc6e626791969a,explain_weather_pattern,detector_pair__1ea77f81b3df7ec652b54173__rankcloak,130,131,0.007633587786259542,840,840,0.007633587786259542
human-HC-4734bec78d3287fd162524e3,HC-4734bec78d3287fd162524e3,forum_learning_answer,detector_pair__ed1eb7f0219e2a63f0a59ba9__rankcloak,141,141,0.0,830,844,0.004146919431279621
human-HC-478ed64f08dea8bc42c2fd7b,HC-478ed64f08dea8bc42c2fd7b,procedure_simple_meal,detector_pair__1bc78f15da8d6489d2e8ac0f__rankcloak,108,110,0.01818181818181818,628,720,0.05012626262626262
human-HC-47f4fca97d95afa9f39ad905,HC-47f4fca97d95afa9f39ad905,forum_learning_answer,detector_pair__1fa52140f858071f69abb76b__rankcloak,194,196,0.01020408163265306,1162,1256,0.02891427271545561
human-HC-484e305ce891331c5f9d91c0,HC-484e305ce891331c5f9d91c0,forum_practical_answer,detector_pair__45c02a7e2196b53eb7b07856__rankcloak,132,108,0.2222222222222222,734,546,0.3083028083028083
human-HC-4ac78803b565051e0a0ebaf0,HC-4ac78803b565051e0a0ebaf0,explain_biological_process,detector_pair__7757171a48212af73bddefe2__rankcloak,50,49,0.02040816326530612,315,319,0.023542959503550634
human-HC-4d39e0f2079a80476dd4da19,HC-4d39e0f2079a80476dd4da19,explain_biological_process,detector_pair__6bddb5f41d71a02aae6e8607__rankcloak,179,181,0.011049723756906077,1020,1088,0.026674723756906077
human-HC-4d39f8db039e0f19cb3a667e,HC-4d39f8db039e0f19cb3a667e,forum_purchase_advice,detector_pair__6c240fc104ee315c9f1409ab__rankcloak,273,308,0.11363636363636363,1551,1439,0.1330943205508876
human-HC-4d7b08ec62513582a95d1247,HC-4d7b08ec62513582a95d1247,forum_learning_answer,detector_pair__c01dc338fb2693bfefa57579__rankcloak,54,42,0.2857142857142857,349,310,0.3171658986175115
human-HC-4e4f310b31a4ba23ec071cd7,HC-4e4f310b31a4ba23ec071cd7,explain_weather_pattern,detector_pair__69c9148d0c1a6cd1601e22b4__rankcloak,40,40,0.0,223,273,0.045787545787545784
human-HC-4eed1553928613044b1ce882,HC-4eed1553928613044b1ce882,explain_everyday_system,detector_pair__0db4cf94d7fdc799e3da427b__rankcloak,60,60,0.0,368,391,0.014705882352941176
human-HC-4f95245a1060ee14d87a56f9,HC-4f95245a1060ee14d87a56f9,explain_weather_pattern,detector_pair__470dd2398272488fa81b05a7__rankcloak,74,85,0.12941176470588237,437,521,0.1697188664333296
human-HC-4fad15da24e74f3e07dd5479,HC-4fad15da24e74f3e07dd5479,forum_practical_answer,detector_pair__f92815f4aab2e5f3692011c0__rankcloak,119,94,0.26595744680851063,725,616,0.3101944597955236
human-HC-5031cc35dc189bd62a42b6de,HC-5031cc35dc189bd62a42b6de,procedure_simple_meal,detector_pair__20211256b8882702eea82f58__rankcloak,87,87,0.0,557,616,0.023944805194805196
human-HC-50587b6c228cac0d1633375b,HC-50587b6c228cac0d1633375b,forum_learning_answer,detector_pair__ca40d644d86beff1b21b6cf4__rankcloak,138,138,0.0,814,829,0.004523522316043426
human-HC-50e970bcf9ab01e1f5d190af,HC-50e970bcf9ab01e1f5d190af,forum_learning_answer,detector_pair__b9cfc2a40287de46093311dd__rankcloak,288,325,0.11384615384615385,1689,1798,0.1290018824334731
human-HC-5105a1f223bfbb9d4d897a6c,HC-5105a1f223bfbb9d4d897a6c,forum_purchase_advice,detector_pair__df85b4e80a10e64559b71dbe__rankcloak,107,87,0.22988505747126436,541,529,0.23555613497599026
human-HC-51d863fca287cbb6612ef8ba,HC-51d863fca287cbb6612ef8ba,narrative_local_walk,detector_pair__3be926b8cd8b9ca463025930__rankcloak,140,139,0.007194244604316547,712,782,0.029572761228357468
human-HC-52bf9ded66675b431bce000f,HC-52bf9ded66675b431bce000f,forum_learning_answer,detector_pair__6483a418336d526a483fa4a6__rankcloak,127,127,0.0,725,724,0.0003453038674033149
human-HC-532227eef0a8d47ea900eaf9,HC-532227eef0a8d47ea900eaf9,procedure_garden_task,detector_pair__199ae87cc7d530c0c1361d82__rankcloak,80,81,0.012345679012345678,443,491,0.036785597545950566
human-HC-543ca3e87d2dcc2690d12305,HC-543ca3e87d2dcc2690d12305,explain_biological_process,detector_pair__c08c450ea5767bee922c1e33__rankcloak,246,208,0.18269230769230768,1741,1342,0.2570216668577324
human-HC-545349cd21e875ef95f590e5,HC-545349cd21e875ef95f590e5,procedure_garden_task,detector_pair__c39e0b53c4373b68fc04d83c__rankcloak,56,57,0.017543859649122806,279,321,0.05025414002295458
human-HC-54abe42bf13c0372845eb891,HC-54abe42bf13c0372845eb891,procedure_simple_meal,detector_pair__aed801b90ca5634e0c7fab90__rankcloak,192,182,0.054945054945054944,1194,990,0.10646020646020646
human-HC-5609be9eb56b7d425f0b0ea7,HC-5609be9eb56b7d425f0b0ea7,forum_purchase_advice,detector_pair__9aa8133990a3a677cdfb5541__rankcloak,174,174,0.0,1026,1093,0.015324794144556267
human-HC-56c5b32198873be9d47d83e6,HC-56c5b32198873be9d47d83e6,forum_learning_answer,detector_pair__95e31025ca6c298df2cee124__rankcloak,162,158,0.02531645569620253,976,951,0.03188848513889443
human-HC-57b86b2fe42ce1142027880c,HC-57b86b2fe42ce1142027880c,explain_weather_pattern,detector_pair__22010431adc1ff1fe309ae2d__rankcloak,67,58,0.15517241379310345,374,333,0.18595319457388423
human-HC-58800bbdf872441f0918a1df,HC-58800bbdf872441f0918a1df,procedure_home_task,detector_pair__59acca09ccd2b4ccb2e88383__rankcloak,188,172,0.09302325581395349,1100,1018,0.11316078037191027
human-HC-59e515564f64a9f8d329b765,HC-59e515564f64a9f8d329b765,explain_weather_pattern,detector_pair__53a5870c094f015e9a463ce5__rankcloak,69,60,0.15,384,321,0.19906542056074766
human-HC-5a6832fe9e348b41a976075b,HC-5a6832fe9e348b41a976075b,explain_weather_pattern,detector_pair__5efbee7af75a48a5f2776ba2__rankcloak,163,153,0.06535947712418301,890,873,0.07022774745637086
human-HC-5e501b99f694b35b28e6073c,HC-5e501b99f694b35b28e6073c,forum_learning_answer,detector_pair__e192bbb3cdeb548f2e696aed__rankcloak,55,43,0.27906976744186046,327,273,0.3285203168924099
human-HC-5eb9af9f59a22eeaaaa7e3dd,HC-5eb9af9f59a22eeaaaa7e3dd,forum_learning_answer,detector_pair__86194ad78f0566dd995c6780__rankcloak,53,42,0.2619047619047619,343,296,0.30160070785070786
human-HC-5efa35d98b948ea6fc1fd88f,HC-5efa35d98b948ea6fc1fd88f,explain_weather_pattern,detector_pair__25417a78e8c6a4ca693785e6__rankcloak,107,111,0.036036036036036036,638,640,0.03681728603603603
human-HC-5f1616433e5a907b68899b22,HC-5f1616433e5a907b68899b22,forum_purchase_advice,detector_pair__75a7b18c81fcf3e329b5c7c1__rankcloak,139,139,0.0,794,762,0.010498687664041995
human-HC-6033e694a71e650c8ba84f3f,HC-6033e694a71e650c8ba84f3f,explain_biological_process,detector_pair__73812f46db233f10cd8178ee__rankcloak,60,59,0.01694915254237288,332,429,0.0734759590691794
human-HC-604ff4260a36be93a1e82dfc,HC-604ff4260a36be93a1e82dfc,forum_learning_answer,detector_pair__e4520da8d56a489e12fe66bd__rankcloak,57,48,0.1875,439,395,0.2153481012658228
human-HC-60e1c16d82d152f4cdcff8e6,HC-60e1c16d82d152f4cdcff8e6,forum_learning_answer,detector_pair__e5b26760b8e55f0c65567e7a__rankcloak,184,182,0.01098901098901099,1072,1143,0.02651831982540644
human-HC-6310db1bbc61bf65260fdc39,HC-6310db1bbc61bf65260fdc39,forum_purchase_advice,detector_pair__4a5ec7f3c0baf8a8c4fff387__rankcloak,117,118,0.00847457627118644,713,687,0.01793600276318062
human-HC-644132f9887a30f451e8d6d1,HC-644132f9887a30f451e8d6d1,explain_weather_pattern,detector_pair__59b9b3c5c199d756337db2f6__rankcloak,110,113,0.02654867256637168,651,660,0.02995776347546259
human-HC-64c017273ad4d21dea86de2a,HC-64c017273ad4d21dea86de2a,explain_biological_process,detector_pair__1d4c037df628e085fb57b113__rankcloak,83,83,0.0,478,532,0.02537593984962406
human-HC-66cd4ca0aaaed0ec9cfe2cf6,HC-66cd4ca0aaaed0ec9cfe2cf6,explain_weather_pattern,detector_pair__4a0ab3a8f617650f8c062b04__rankcloak,52,50,0.04,311,309,0.04161812297734628
human-HC-67425afecafd42bc75c98219,HC-67425afecafd42bc75c98219,forum_learning_answer,detector_pair__007d5b96fcf8e80c34e56f13__rankcloak,110,109,0.009174311926605505,594,583,0.013891293058680976
human-HC-676c527c0d2622fde8ea7ad4,HC-676c527c0d2622fde8ea7ad4,casual_neighborhood_chat,detector_pair__7d575075d6231cfdd0368678__rankcloak,40,39,0.02564102564102564,220,222,0.027893277893277894
human-HC-67a856ce6a0850d2db762364,HC-67a856ce6a0850d2db762364,forum_learning_answer,detector_pair__f8b18bc50ed6dfc31c7bc5b9__rankcloak,63,59,0.06779661016949153,356,333,0.08506387743675879
human-HC-69263bc399c34ccb7afca482,HC-69263bc399c34ccb7afca482,forum_practical_answer,detector_pair__deb2b606a6de5c8ec85b126c__rankcloak,190,146,0.3013698630136986,1037,881,0.34563774042573037
human-HC-6975ca246563b8be89b14749,HC-6975ca246563b8be89b14749,explain_biological_process,detector_pair__23922c08f44749db23d63b03__rankcloak,74,72,0.027777777777777776,434,441,0.031746031746031744
human-HC-69df8614d17aa6438e2e88d7,HC-69df8614d17aa6438e2e88d7,forum_practical_answer,detector_pair__5b9c0732ed0f87f5ff206eb3__rankcloak,227,243,0.06584362139917696,1274,1313,0.07326936397343439
human-HC-6a460abd860de5f2d766da29,HC-6a460abd860de5f2d766da29,procedure_simple_meal,detector_pair__18fc222f9dd0061015b3c0ed__rankcloak,63,63,0.0,332,359,0.018802228412256268
human-HC-6a9c9f13366cc4e431b2c7c3,HC-6a9c9f13366cc4e431b2c7c3,procedure_simple_meal,detector_pair__70cdbb121366abe30589a589__rankcloak,104,105,0.009523809523809525,568,689,0.053428018522358144
human-HC-6ac5483452473701c8992990,HC-6ac5483452473701c8992990,forum_purchase_advice,detector_pair__4255a28491136d5435938b5d__rankcloak,109,109,0.0,667,697,0.010760401721664276
human-HC-6b7fdd601414bd3b5ac8c147,HC-6b7fdd601414bd3b5ac8c147,explain_weather_pattern,detector_pair__3283e87172bb7ff95b291cd2__rankcloak,62,54,0.14814814814814814,364,353,0.1559385164201028
human-HC-6c203f1ac4d1546ddb1e7621,HC-6c203f1ac4d1546ddb1e7621,explain_weather_pattern,detector_pair__f72f190e2a99835f92db76fa__rankcloak,232,212,0.09433962264150944,1367,1296,0.10803561029583043
human-HC-6cd7e4460335a8debfb4e53e,HC-6cd7e4460335a8debfb4e53e,explain_weather_pattern,detector_pair__edecb408fbf9d85200ab0beb__rankcloak,69,68,0.014705882352941176,420,401,0.026551268886607013
human-HC-6e7fbf8742016b0dfffade7c,HC-6e7fbf8742016b0dfffade7c,forum_learning_answer,detector_pair__dc72bfe03e41306fe1cab40b__rankcloak,58,50,0.16,319,321,0.1615576323987539
human-HC-71515c9d14c692558282b3dd,HC-71515c9d14c692558282b3dd,procedure_simple_meal,detector_pair__3f12cac94ad25546ddd7f52e__rankcloak,63,62,0.016129032258064516,382,432,0.045064217443249704
human-HC-7201f42360dd8606bf46a45d,HC-7201f42360dd8606bf46a45d,forum_learning_answer,detector_pair__f4e4a29133f5d1f9a6c5177b__rankcloak,242,246,0.016260162601626018,1308,1515,0.05041857844321018
human-HC-73b3625361b9a4c111ea74d4,HC-73b3625361b9a4c111ea74d4,forum_purchase_advice,detector_pair__63bcf5f65a3115024baebea3__rankcloak,98,76,0.2894736842105263,562,451,0.3510036176916793
human-HC-75edffcd5fa22b8dc3b7dffe,HC-75edffcd5fa22b8dc3b7dffe,explain_biological_process,detector_pair__6e09450b1e7b48104f16e82a__rankcloak,138,133,0.03759398496240601,923,901,0.04369831348626839
human-HC-7bd502ccfe6c595b2f84cc1b,HC-7bd502ccfe6c595b2f84cc1b,explain_biological_process,detector_pair__35899a68fa485e154dd69308__rankcloak,129,133,0.03007518796992481,765,750,0.03507518796992481
human-HC-7be577fd9291a353ca61cd9f,HC-7be577fd9291a353ca61cd9f,forum_purchase_advice,detector_pair__002d46790949220e954c73ff__rankcloak,107,105,0.01904761904761905,659,684,0.028185045948203844
human-HC-7d152943f941f259e59d58ab,HC-7d152943f941f259e59d58ab,explain_weather_pattern,detector_pair__03c94c3060d27defcda3526b__rankcloak,97,101,0.039603960396039604,562,699,0.08860252978087509
human-HC-7f1404ac2b66818cb914c402,HC-7f1404ac2b66818cb914c402,forum_learning_answer,detector_pair__3dfa1f18f3fd550a6edf2b8b__rankcloak,143,143,0.0,835,902,0.018569844789356985
human-HC-804f0765065cd4b44857a0d3,HC-804f0765065cd4b44857a0d3,forum_learning_answer,detector_pair__cf31d50141e757e8deb26f63__rankcloak,132,132,0.0,731,769,0.01235370611183355
human-HC-8239c4f5703cb98e96b58818,HC-8239c4f5703cb98e96b58818,procedure_simple_meal,detector_pair__7f3cfbe6986851d3a32fc94c__rankcloak,118,117,0.008547008547008548,695,707,0.012790290018012792
human-HC-82e6fc46fa16b594eee81bdd,HC-82e6fc46fa16b594eee81bdd,forum_learning_answer,detector_pair__41007666bb0c885fbf1bf3e1__rankcloak,105,105,0.0,599,628,0.011544585987261146
human-HC-837863843a7e1d9dcc6a1b09,HC-837863843a7e1d9dcc6a1b09,forum_practical_answer,detector_pair__b372ac76a7e64223b219543e__rankcloak,130,108,0.2037037037037037,881,632,0.30220053914674166
human-HC-847bdb9a249c887534ba5636,HC-847bdb9a249c887534ba5636,explain_weather_pattern,detector_pair__eab9cb5762557244cb035e71__rankcloak,60,50,0.2,362,311,0.24099678456591642
human-HC-874d7e8b4d70669850749ad5,HC-874d7e8b4d70669850749ad5,forum_practical_answer,detector_pair__f23d693b00bddcaacff019bd__rankcloak,144,116,0.2413793103448276,814,715,0.27599469496021223
human-HC-8a66f7771b39ce137772b1b2,HC-8a66f7771b39ce137772b1b2,forum_learning_answer,detector_pair__93edcba6903bd6ffb86ec28e__rankcloak,104,104,0.0,646,635,0.004330708661417323
human-HC-8b2a1619dacd224871468959,HC-8b2a1619dacd224871468959,procedure_home_task,detector_pair__7269e9309df3ac94456e1de2__rankcloak,222,187,0.18716577540106952,1195,1188,0.18863883937413348
human-HC-8b43da8a0e59f8dfbabc3abb,HC-8b43da8a0e59f8dfbabc3abb,explain_weather_pattern,detector_pair__2de5e57d0948a7800d9dd755__rankcloak,67,59,0.13559322033898305,389,366,0.15130360285264424
human-HC-8c2ea48e035c12548598e2e8,HC-8c2ea48e035c12548598e2e8,explain_weather_pattern,detector_pair__662e964c4c0ba4a8688ec568__rankcloak,113,118,0.0423728813559322,704,707,0.043433701723683264
