detector,evaluation_id,dimension,level,row_count,positive_count,negative_count,roc_auc,partial_auc_fpr_0_01,partial_auc_unavailable_reason,tpr_at_main_threshold_fpr_0_01,fpr_at_main_threshold_fpr_0_01,low_fpr_0_01_unavailable_reason,tpr_at_main_threshold_fpr_0_001,fpr_at_main_threshold_fpr_0_001,low_fpr_0_001_unavailable_reason,tpr_at_main_threshold_fpr_0_01_ci_low_95,tpr_at_main_threshold_fpr_0_01_ci_high_95,fpr_at_main_threshold_fpr_0_01_ci_low_95,fpr_at_main_threshold_fpr_0_01_ci_high_95,group_count,available,roc_auc_ci_low_95,roc_auc_ci_high_95,partial_auc_fpr_0_01_ci_low_95,partial_auc_fpr_0_01_ci_high_95,threshold_at_fpr_0_01,tpr_at_fpr_0_01,fpr_at_threshold_0_01,false_positives_at_fpr_0_01,fpr_0_001_available,low_fpr_warning
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,nonce_96_bit_hex,160,80,80,0.99328125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,sha256_hex,160,80,80,0.99421875,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,token_128_bit_hex,176,88,88,0.9992252066115702,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__llama3_8b_instruct_q4_k_m,payload_class,uuid_v4,90,45,45,0.994567901234568,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,direct_subword_calgacus,198,99,99,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,nonseg_ascii_b16,198,99,99,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,nonseg_ascii_b8,198,99,99,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,nonseg_hex_nibble_b16,80,40,40,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,segmented_hex_multi_topic,160,80,80,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,codec_id,segmented_hex_single_topic,160,80,80,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,aes256_gcm_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,chacha20_poly1305_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,ed25519_signature_base64,84,42,42,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,hmac_sha256_hex,144,72,72,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,nonce_96_bit_hex,160,80,80,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,sha256_hex,160,80,80,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,token_128_bit_hex,176,88,88,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__mistral_7b_instruct_v0_3_q4_k_m,payload_class,uuid_v4,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,direct_subword_calgacus,198,99,99,0.9995918783797572,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,nonseg_ascii_b16,198,99,99,0.9998979695949392,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,nonseg_ascii_b8,198,99,99,0.9997959391898786,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,nonseg_hex_nibble_b16,80,40,40,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,segmented_hex_multi_topic,160,80,80,0.99546875,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,codec_id,segmented_hex_single_topic,160,80,80,0.99078125,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,aes256_gcm_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,chacha20_poly1305_base64,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,ed25519_signature_base64,84,42,42,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,hmac_sha256_hex,144,72,72,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,nonce_96_bit_hex,160,80,80,0.99234375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,sha256_hex,160,80,80,0.9959375,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,token_128_bit_hex,176,88,88,0.999870867768595,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,leave_one_model__qwen2_5_7b_instruct_q4_k_m,payload_class,uuid_v4,90,45,45,1.0,,fewer than 100 negative observations or one class absent,,,main threshold unavailable or subgroup negative count below 100,,,main threshold unavailable or subgroup negative count below 1000,,,,,,,,,,,,,,,,
deberta,matched,codec_id,direct_subword_calgacus,594,297,297,1.0,1.0,,0.9966329966329966,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9811775390420674,0.9994053937638272,0.0,0.0127690473106756,,,,,,,,,,,,
deberta,matched,codec_id,nonseg_ascii_b16,594,297,297,1.0,1.0,,1.0,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9872309526893244,1.0,0.0,0.0127690473106756,,,,,,,,,,,,
deberta,matched,codec_id,nonseg_ascii_b8,594,297,297,1.0,1.0,,1.0,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9872309526893244,1.0,0.0,0.0127690473106756,,,,,,,,,,,,
deberta,matched,codec_id,nonseg_hex_nibble_b16,240,120,120,1.0,1.0,,0.9916666666666668,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9543037087549504,0.998527444266658,0.0,0.0310191664187034,,,,,,,,,,,,
deberta,matched,codec_id,segmented_hex_multi_topic,480,240,240,0.998125,0.9916666666666668,,0.9791666666666666,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9521666228373028,0.99106920388537,0.0,0.0157539199415588,,,,,,,,,,,,
deberta,matched,codec_id,segmented_hex_single_topic,480,240,240,0.9976736111111112,0.9729166666666664,,0.975,0.0041666666666666,,,,main threshold unavailable or subgroup negative count below 1000,0.9465407405415174,0.9884930355140018,0.0007358980250827,0.0232200725836297,,,,,,,,,,,,
deberta,matched,payload_class,aes256_gcm_base64,270,135,135,1.0,1.0,,1.0,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9723320479824752,1.0,0.0,0.0276679520175249,,,,,,,,,,,,
deberta,matched,payload_class,chacha20_poly1305_base64,270,135,135,1.0,1.0,,1.0,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9723320479824752,1.0,0.0,0.0276679520175249,,,,,,,,,,,,
deberta,matched,payload_class,ed25519_signature_base64,252,126,126,1.0,1.0,,1.0,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9704142355178014,0.9999999999999998,0.0,0.0295857644821984,,,,,,,,,,,,
deberta,matched,payload_class,hmac_sha256_hex,432,216,216,1.0,1.0,,1.0,0.0046296296296296,,,,main threshold unavailable or subgroup negative count below 1000,0.9825262312154358,1.0,0.0008177113226299,0.0257535225657809,,,,,,,,,,,,
deberta,matched,payload_class,nonce_96_bit_hex,480,240,240,0.9960763888888888,0.9798611111111112,,0.9666666666666668,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9356151389791189,0.9830145357420932,0.0,0.0157539199415588,,,,,,,,,,,,
deberta,matched,payload_class,sha256_hex,480,240,240,0.9996701388888888,0.9958333333333332,,0.9958333333333332,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9767799274163702,0.9992641019749172,0.0,0.0157539199415588,,,,,,,,,,,,
deberta,matched,payload_class,token_128_bit_hex,528,264,264,1.0,1.0,,0.9886363636363636,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.967128448936286,0.9961279533248646,0.0,0.0143422860583573,,,,,,,,,,,,
deberta,matched,payload_class,uuid_v4,270,135,135,1.0,1.0,,0.9925925925925926,0.0,,,,main threshold unavailable or subgroup negative count below 1000,0.9592359169993796,0.9986912117537255,0.0,0.0276679520175249,,,,,,,,,,,,
deberta,model_backed__entropy_gates,gate_level,moderate,226,113,113,0.9784634662072206,0.687837732007205,,,,,,,,,,,,16.0,True,0.958798271664572,0.9945572118749962,0.5675450450450449,0.9423214285714284,0.0008289444376714,0.8495575221238938,0.0176991150442477,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,gate_level,strict,232,116,116,0.8893430439952438,0.3483947681331748,,,,,,,,,,,,16.0,True,0.853727690798289,0.9311784757730704,0.244052732044858,0.5697836643232865,0.0008289444376714,0.4913793103448275,0.0258620689655172,3.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,gate_level,ungated,234,117,117,0.9998538972897948,0.9853897289794724,,,,,,,,,,,,16.0,True,0.9986143428867827,1.0,0.947356776897997,1.0,0.0008289444376714,1.0,0.0085470085470085,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,model_id,llama3_8b_instruct_q4_k_m,214,107,107,0.9734474626604944,0.7476635514018691,,,,,,,,,,,,16.0,True,0.9488175005435848,0.9914298497717026,0.6666666666666666,0.908165605691818,0.0008289444376714,0.8317757009345794,0.0373831775700934,4.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,model_id,mistral_7b_instruct_v0_3_q4_k_m,240,120,120,0.9788194444444444,0.8347222222222221,,,,,,,,,,,,16.0,True,0.9629113728696568,0.9927670052323792,0.7863247863247862,0.9263888888888888,0.0008289444376714,0.775,0.0,0.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,model_id,qwen2_5_7b_instruct_q4_k_m,238,119,119,0.957912576795424,0.6722689075630254,,,,,,,,,,,,16.0,True,0.9374460743446084,0.9801302528490028,0.5912944664031621,0.8517528727107312,0.0008289444376714,0.7394957983193278,0.0168067226890756,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,codec_id,direct_subword_calgacus,262,131,131,0.9863644309772158,0.7840452188100927,,,,,,,,,,,,16.0,True,0.972483090640498,0.9964734390671108,0.6915937945831386,0.9389371245417394,0.0008289444376714,0.900763358778626,0.0381679389312977,5.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,codec_id,nonseg_ascii_b16,288,144,144,0.9496045524691358,0.6327160493827161,,,,,,,,,,,,16.0,True,0.9232204861111112,0.9702449845679012,0.5276041666666667,0.8134789737654321,0.0008289444376714,0.6805555555555556,0.0069444444444444,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,codec_id,nonseg_hex_nibble_b16,142,71,71,0.9517952787145408,0.7887323943661971,,,,,,,,,,,,8.0,True,0.9228571428571428,0.980131172839506,0.7101449275362319,0.902777777777778,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,aes256_gcm_base64,68,34,34,0.9801038062283736,0.8823529411764706,,,,,,,,,,,,2.0,True,0.9757785467128028,0.986159169550173,0.8823529411764706,0.8823529411764706,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,chacha20_poly1305_base64,66,33,33,0.9963269054178144,0.9696969696969696,,,,,,,,,,,,2.0,True,0.9921875,1.0,0.9375,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,ed25519_signature_base64,68,34,34,1.0,1.0,,,,,,,,,,,,2.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,hmac_sha256_hex,104,52,52,0.9918639053254438,0.8653846153846154,,,,,,,,,,,,2.0,True,0.9866863905325444,0.9970414201183432,0.8653846153846154,0.9615384615384616,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,nonce_96_bit_hex,104,52,52,0.9367603550295858,0.5192307692307693,,,,,,,,,,,,2.0,True,0.9286694101508915,0.944,0.4814814814814814,0.8,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,sha256_hex,106,53,53,0.9807760768956924,0.8490566037735848,,,,,,,,,,,,2.0,True,0.9807760768956924,0.9866863905325444,0.8490566037735848,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,token_128_bit_hex,104,52,52,0.9378698224852072,0.5769230769230769,,,,,,,,,,,,2.0,True,0.9260355029585798,0.9467455621301776,0.5769230769230769,0.8076923076923077,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,payload_class,uuid_v4,72,36,36,0.9683641975308642,0.7222222222222222,,,,,,,,,,,,2.0,True,0.9537037037037036,0.984567901234568,0.7222222222222222,0.8888888888888888,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,representation_name,ascii_b16,288,144,144,0.9496045524691358,0.6327160493827161,,,,,,,,,,,,16.0,True,0.9247166763117284,0.9698615933641976,0.5277777777777778,0.8183015046296296,0.0008289444376714,0.6805555555555556,0.0069444444444444,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,representation_name,direct_subword,262,131,131,0.9863644309772158,0.7840452188100927,,,,,,,,,,,,16.0,True,0.97311330688505,0.9964418899864704,0.6934306569343067,0.9366324813235504,0.0008289444376714,0.900763358778626,0.0381679389312977,5.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__entropy_gates,representation_name,hex_nibble,142,71,71,0.9517952787145408,0.7887323943661971,,,,,,,,,,,,8.0,True,0.9242777102649504,0.980324074074074,0.7142857142857143,0.9142857142857144,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,quantization,Q4_K_M,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0104166666666666,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,quantization,Q8_0,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0052083333333333,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,model_id,qwen2_5_7b_instruct_q4_k_m,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0104166666666666,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,model_id,qwen2_5_7b_instruct_q8_0,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0052083333333333,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,codec_id,nonseg_ascii_b16,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0104166666666666,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,codec_id,nonseg_ascii_b8,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0052083333333333,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,aes256_gcm_base64,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,chacha20_poly1305_base64,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,ed25519_signature_base64,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,hmac_sha256_hex,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,nonce_96_bit_hex,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,sha256_hex,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,token_128_bit_hex,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,payload_class,uuid_v4,96,48,48,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,representation_name,ascii_b16,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0104166666666666,2.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__pooled_quantizations,representation_name,ascii_b8,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0004106300475541,1.0,0.0052083333333333,1.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,model_id,qwen2_5_7b_instruct_q8_0,384,192,192,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,0.0737050250172615,1.0,0.0,0.0,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,codec_id,nonseg_ascii_b16,192,96,96,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,codec_id,nonseg_ascii_b8,192,96,96,1.0,1.0,,,,,,,,,,,,96.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,aes256_gcm_base64,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,chacha20_poly1305_base64,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,ed25519_signature_base64,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,hmac_sha256_hex,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,nonce_96_bit_hex,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
deberta,model_backed__q4_to_q8,payload_class,sha256_hex,48,24,24,1.0,1.0,,,,,,,,,,,,12.0,True,1.0,1.0,1.0,1.0,,,,,False,test negatives do not support the requested empirical resolution
