experimental_cell_id,model_id,payload_name,payload_class,representation_name,prompt_template_id,gate_level,generated_token_count_difference_vs_ungated,mean_entropy_bits_difference_vs_ungated,mean_observed_rank_difference_vs_ungated,mean_token_surprisal_nats_difference_vs_ungated,mean_rank_pressure_log_probability_gap_nats_difference_vs_ungated,word_count_difference_vs_ungated,unique_word_fraction_difference_vs_ungated,repeated_bigram_fraction_difference_vs_ungated,surface_flag_total_difference_vs_ungated
entropy_cell__1cb996f5fe34595f76ab5330,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,ascii_b16,professional_project_update,moderate,6.0,0.05069299542812544,-0.3899572649572649,-0.7478575582449145,-0.8299943697758212,5.0,-0.0049261083743842304,0.016129032258064502,-2.0
entropy_cell__1de64df4c4561b75802afcfd,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,direct_subword,explain_everyday_system,moderate,34.0,-1.1759281491131865,-4.8968855218855225,-1.9843931439541205,-1.6366401730161728,29.0,-0.19724025974025972,0.013157894736842146,0.0
entropy_cell__227f76bc6103d3efda3161f6,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,direct_subword,professional_project_update,moderate,9.0,-0.898039478933935,-51.64707952146375,-1.169413295562352,-0.9540960006651789,5.0,-0.02857142857142858,0.0,-1.0
entropy_cell__23a6f41ee870b4e11f101915,qwen2_5_7b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,direct_subword,explain_everyday_system,moderate,10.0,-0.5337579016857936,-4.541501976284584,-1.6722425566417818,-1.6251371280634985,3.0,0.005952380952381042,0.0,1.0
entropy_cell__263680c99881bd6fba77170b,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_token_128_bit_hex_041,token_128_bit_hex,hex_nibble,professional_project_update,moderate,7.0,0.43262951474973077,-1.5256410256410255,-1.6718329231913347,-1.7954595299103322,10.0,0.0,0.0,-1.0
entropy_cell__28244e2d09e4f9fcc7aa7600,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,moderate,33.0,0.02407311269676926,-0.845885093167702,-1.264991079186955,-1.309012017449977,21.0,-0.026252646436132676,-0.003014642549526214,1.0
entropy_cell__28bc8b68131496e874076ac6,qwen2_5_7b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,ascii_b16,professional_project_update,moderate,86.0,-1.180664251751256,-1.9727619708535737,-1.5185778574275317,-1.2285927539480634,58.0,-0.01558441558441559,-0.016506591680969906,0.0
entropy_cell__29f03257a1168f24b2f24b26,llama3_8b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,direct_subword,explain_everyday_system,moderate,2.0,-0.5572878373660957,-17.27819548872182,-1.0338620594619563,-1.032587442780497,7.0,0.0,0.0,0.0
entropy_cell__2f96310c00c63084ab97e6f2,qwen2_5_7b_instruct_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,ascii_b16,explain_everyday_system,moderate,35.0,-0.369090003764005,-1.5719106957424716,-2.126724339194815,-2.053528148932373,26.0,0.07347957909755665,0.0,0.0
entropy_cell__322dd6d8976e50ea1c7f1bd8,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,hex_nibble,explain_everyday_system,moderate,16.0,-0.9347214356025231,-2.8125,-2.436551803019167,-2.1430784364541373,7.0,-0.014414414414414378,0.0,0.0
entropy_cell__32960b1364bf00ce5ea816a5,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,ascii_b16,explain_everyday_system,moderate,34.0,-0.3742456839281485,-1.5414046121593286,-1.8996363397623957,-1.7530172138593985,15.0,-0.015350877192982448,0.0103118712273641,0.0
entropy_cell__34cac1c7e06c8bc48af18b30,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,ascii_b16,professional_project_update,moderate,42.0,-1.3433329298395473,-0.9805147058823529,-1.106589098531357,-0.8036071502110538,22.0,0.039846410200681026,-0.020489386792452824,-1.0
entropy_cell__3710b58481256363d0323957,qwen2_5_7b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,ascii_b16,professional_project_update,moderate,12.0,-0.10886890283349393,-0.8791666666666664,-1.3854258025605266,-1.3812528332074483,20.0,-0.033653846153846145,0.0,1.0
entropy_cell__373c8435d83d3717e53316e9,qwen2_5_7b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,ascii_b16,explain_everyday_system,moderate,41.0,-0.46471710825129575,-1.026104943443653,-1.0563720557041387,-0.9635334490830796,28.0,-0.04876244034185506,0.014756554307116088,1.0
entropy_cell__3cf6fa9edd30f070c3bdb41e,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,direct_subword,explain_everyday_system,moderate,5.0,-0.05098084167239314,-5.873333333333335,-1.0976671459751381,-1.1658522415161134,0.0,0.027027027027027084,0.0,0.0
entropy_cell__3e54aac33bc2c3cf9c193cc4,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,ascii_b16,explain_everyday_system,moderate,78.0,-0.8598238469910338,-1.6898264137437362,-1.6097573332138135,-1.4090432072846308,40.0,-0.02096546863988724,0.03508771929824561,0.0
entropy_cell__40301dca6f611bc8ae909090,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,direct_subword,professional_project_update,moderate,35.0,-0.861247242198409,-4.298245614035087,-2.0965877043760663,-1.8094076767302396,30.0,-0.08266129032258063,0.0,0.0
entropy_cell__4165252300fa0539cfe260dc,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,ascii_b16,explain_everyday_system,moderate,68.0,-0.9157455687172473,-1.4263392857142856,-1.8662099487283665,-1.6449869217313067,64.0,-0.13661996395558396,0.012048192771084376,0.0
entropy_cell__41adb0089ce7d1917d2169f7,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,ascii_b16,professional_project_update,moderate,19.0,-0.2051629328715232,-0.7260310374149661,-0.5693515501356075,-0.5064854111497095,25.0,0.09786096256684496,-0.011904761904761862,-12.0
entropy_cell__41ea9a1f25db34b530208735,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,direct_subword,professional_project_update,moderate,7.0,-0.2237460436745895,-19.326979472140778,-1.764285965601518,-1.8053528900370228,14.0,-0.05140434552199269,0.0,-1.0
entropy_cell__423d71db858ad3052cb1801f,qwen2_5_7b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,direct_subword,professional_project_update,moderate,1.0,-0.17910995986001765,-13.184088806660498,-0.8743812879928967,-0.8463819283892109,-1.0,-0.0625,0.0,0.0
entropy_cell__426f7c565df6f75c2e9b03a8,qwen2_5_7b_instruct_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,ascii_b16,professional_project_update,moderate,61.0,-0.5188385738447678,-2.2950083542188806,-2.8667773701567985,-2.7040326843285616,55.0,-0.0630309208290859,0.008909853249475908,-2.0
entropy_cell__444e02311c7fadefa351ea64,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,hex_nibble,professional_project_update,moderate,1.0,0.3695121258888454,-0.3416666666666668,-1.5089465012571495,-1.6476470200220747,5.0,-0.11835748792270528,0.0,1.0
entropy_cell__4d718420cc6204f877988b16,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_aes256_gcm_base64_041,aes256_gcm_base64,ascii_b16,professional_project_update,moderate,62.0,-0.4525450201450387,-1.8224506578947368,-1.8003279719794225,-1.7033218360653049,60.0,0.09970130806468225,-0.018939393939393923,-7.0
entropy_cell__4d748e9a0e4b4ee96a9269ee,qwen2_5_7b_instruct_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,direct_subword,professional_project_update,moderate,12.0,0.23558976046219704,-7.042735042735043,-2.337794741969868,-2.465676866026006,7.0,0.06296296296296289,0.0,-1.0
entropy_cell__4e51ff9311768058bb90379c,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,hex_nibble,explain_everyday_system,moderate,77.0,-0.9144438797901426,-3.8284574468085104,-3.094782629480565,-2.874201131839279,53.0,-0.12252747252747254,0.028846153846153855,0.0
entropy_cell__51ac5a0ffb1371a412b61f0a,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,direct_subword,explain_everyday_system,moderate,17.0,0.10466801455859143,-2.8066037735849054,-1.5811750097934967,-1.6480140451115382,14.0,-0.0566308243727599,0.0,0.0
entropy_cell__53c97fad996247a66b9de7d3,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,hex_nibble,explain_everyday_system,moderate,21.0,-1.6959917421832733,-1.7448529411764708,-1.089934180540256,-0.6798779350869797,24.0,-0.1374522735161402,0.06060606060606055,3.0
entropy_cell__53f2ca75cff8cc293f645929,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,ascii_b16,professional_project_update,moderate,67.0,-0.5774863700597819,-1.3182291666666668,-1.81305503059561,-1.7398740300001243,56.0,-0.10737628384687203,0.0008201202843083344,-3.0
entropy_cell__54ce226c44c1b4d8b86c7237,llama3_8b_instruct_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,direct_subword,professional_project_update,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy_cell__56a334bc270a28625baef9bd,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,direct_subword,professional_project_update,moderate,2.0,-0.38440983209579205,-7.176715176715163,-0.5229110026941113,-0.5342468643717195,0.0,0.0,0.0,0.0
entropy_cell__57740427db8cf778b3c19262,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,hex_nibble,professional_project_update,moderate,7.0,0.628018095814773,-0.680897887323944,-0.44546168288698906,-0.5834752296058223,-10.0,0.05524449421425903,-0.017857142857142905,4.0
entropy_cell__5a1a3f0db1bfb838a34ac6e3,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,direct_subword,professional_project_update,moderate,9.0,0.13436048075543594,-5.757142857142856,-1.7649839085399162,-1.7430355571565173,-7.0,0.0,0.0,-3.0
entropy_cell__5b43bad8505780e851b2a45c,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,ascii_b16,professional_project_update,moderate,49.0,-0.21155992537100987,-1.0986935028248586,-1.787578417773648,-1.7441916774726858,41.0,-0.11431086519114686,0.021750321750321766,2.0
entropy_cell__5d390b07469576558aa90913,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_041,uuid_v4,direct_subword,professional_project_update,moderate,1.0,-0.10195632993570047,-33.75889328063249,-0.41275734087855565,-0.3491370230324189,1.0,0.0,0.0,0.0
entropy_cell__5dbf0ffbd157b8fc42099796,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,direct_subword,professional_project_update,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy_cell__618d11dfc76dc15cb10b7f59,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,hex_nibble,professional_project_update,moderate,16.0,-0.5096896237785331,-1.3156249999999998,-1.0362374889405692,-0.932241600751877,13.0,-0.12272727272727268,0.0,1.0
entropy_cell__656c0ca31b0005bba25b884b,qwen2_5_7b_instruct_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,direct_subword,explain_everyday_system,moderate,21.0,-0.5051379229223407,-3.5464285714285717,-2.1374153423106637,-2.043709039688111,15.0,0.008643617021276584,0.021739130434782594,0.0
entropy_cell__659181365bb3f0ea394ab8f4,llama3_8b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,moderate,13.0,-1.2202798948224753,-0.7333603896103895,-1.054410968054221,-0.8153964290758231,20.0,0.16600790513833996,-0.03589743589743588,-1.0
entropy_cell__6650d7697d1884bb070743d2,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,ascii_b16,explain_everyday_system,moderate,40.0,-0.901517761637626,-1.875,-2.133509132568033,-1.844717488144383,21.0,-0.09440559440559437,-0.007630813953488413,0.0
entropy_cell__6736300e0935939437e24158,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,ascii_b16,explain_everyday_system,moderate,1.0,0.3658183074436341,-0.031233949666153116,-0.25619412686943743,-0.2505681438971372,-46.0,-0.08040293040293045,0.06967404501727847,25.0
entropy_cell__6829dcc7db6a24268f4d389b,llama3_8b_instruct_q4_k_m,revision_v1_token_128_bit_hex_041,token_128_bit_hex,hex_nibble,professional_project_update,moderate,2.0,0.6706319557123281,-0.5,-0.2481041853430117,-0.4316597563378952,7.0,-0.0028985507246376274,0.0,-2.0
entropy_cell__698c3b661debbc84aad66e3f,qwen2_5_7b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_003,ed25519_signature_base64,direct_subword,explain_everyday_system,moderate,17.0,-1.2272361591746428,-357.6886574074074,-1.5631596696612267,-1.3209112244255747,-1.0,,0.0,1.0
entropy_cell__74626b2253f6dd6ce6635219,llama3_8b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_003,aes256_gcm_base64,ascii_b16,explain_everyday_system,moderate,2.0,0.20888977053915525,-0.09110576923076952,-0.4069008470567552,-0.5268711992181263,26.0,-0.09893146647015472,0.08913308913308915,-4.0
entropy_cell__77d01853e1f871e53ef46916,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,direct_subword,explain_everyday_system,moderate,2.0,-0.08245098486154001,-19.98978288633458,-0.42927941673533265,-0.4338892842922477,0.0,-0.04999999999999993,0.0,0.0
entropy_cell__78575c52da4de6da6d1ca55b,qwen2_5_7b_instruct_q4_k_m,revision_v1_sha256_hex_041,sha256_hex,hex_nibble,professional_project_update,moderate,79.0,-1.4135458318602572,-3.613090034965035,-2.7196806928130552,-2.280214049911999,24.0,-0.04941176470588238,0.0,-2.0
entropy_cell__792de4163692237e58d9ae05,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,ascii_b16,explain_everyday_system,moderate,46.0,-0.9034901741138541,-1.0946479885057467,-1.6227562107940803,-1.3721789376831603,29.0,-0.008458370108855529,0.0032929202215237208,0.0
entropy_cell__7938f3ce429d9dd5fd2026b6,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,ascii_b16,professional_project_update,moderate,30.0,-1.306649782885583,-1.677884615384615,-1.6315211685065374,-1.2866200789427145,17.0,0.014893617021276562,0.0,-1.0
entropy_cell__7a72910eb9e1e0b1c12de20e,llama3_8b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,direct_subword,professional_project_update,moderate,1.0,-0.12365927987537528,-47.647619047618946,-0.6512085386648403,-0.6525744710649759,1.0,0.0,0.0,0.0
entropy_cell__7d9714e7cf7370679dd85b93,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_041,token_128_bit_hex,direct_subword,professional_project_update,moderate,16.0,-0.6832537478762313,-14.32467532467533,-2.226668264439221,-2.084329954989545,17.0,-0.037296037296037254,0.0,0.0
entropy_cell__7e257d9366081f97c2a8f3e7,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_chacha20_poly1305_base64_041,chacha20_poly1305_base64,ascii_b16,professional_project_update,moderate,47.0,-0.36334783829309725,-1.4855357142857146,-1.4041994723376074,-1.3827844292776925,23.0,0.0010416666666667185,-0.0034827377347063093,1.0
entropy_cell__81740ba481e5b96ea0798816,llama3_8b_instruct_q4_k_m,revision_v1_sha256_hex_003,sha256_hex,hex_nibble,explain_everyday_system,moderate,9.0,-0.828011410610566,-1.0209760273972606,-0.8931023675247705,-0.5842530332403642,19.0,0.02657004830917875,0.0,4.0
entropy_cell__8181c6f9f2aa4ef9f423f490,llama3_8b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_041,nonce_96_bit_hex,ascii_b16,professional_project_update,moderate,8.0,0.046273381235069966,-0.6279761904761898,-0.8434206000885234,-0.8290002629870461,7.0,-0.05847953216374269,0.0,5.0
entropy_cell__821f128d8357808f113e285a,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_041,hmac_sha256_hex,hex_nibble,professional_project_update,moderate,37.0,-0.44846404927094996,-2.5201113861386135,-2.4029234303714793,-2.3431901745129338,32.0,-0.018763326226012733,0.0,-2.0
entropy_cell__822d5554590d2114c6d47104,qwen2_5_7b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,moderate,29.0,-0.8902852426401742,-1.34375,-1.7968817680778688,-1.6609893607836899,23.0,-0.0947570947570947,0.0,0.0
entropy_cell__8520c1fa8d2b97daf3821ec8,qwen2_5_7b_instruct_q4_k_m,revision_v1_aes256_gcm_base64_003,aes256_gcm_base64,direct_subword,explain_everyday_system,moderate,9.0,-2.7225132966813144,-49.59183673469386,-0.7063716896010632,-0.0755247729165216,12.0,0.0807692307692307,0.0,0.0
entropy_cell__89f948d9a16db3ad9014f188,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,hex_nibble,explain_everyday_system,moderate,3.0,0.5572632136314972,-0.8055555555555554,-0.9571568104343409,-1.1327808477260448,2.0,0.0037878787878787845,0.0,0.0
entropy_cell__8acdff1994baba77d568a716,llama3_8b_instruct_q4_k_m,revision_v1_uuid_v4_003,uuid_v4,ascii_b16,explain_everyday_system,moderate,6.0,-0.48962450042813455,-0.36965811965811923,-0.7509851616815775,-0.7134399026887026,25.0,-0.03269230769230769,-0.05128205128205132,-12.0
entropy_cell__917e0983e9adeae044cb67c6,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,ascii_b16,explain_everyday_system,moderate,24.0,-0.7612151193853625,-0.6611842105263159,-0.9374568851487908,-0.7876733627758528,12.0,-0.006672226855713115,0.04166666666666663,-1.0
entropy_cell__94cb6f5960ebeff2023a7ff0,qwen2_5_7b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,direct_subword,explain_everyday_system,moderate,14.0,-0.45173122240256314,-190.97677291821094,-1.0045544381334532,-0.9667440897039286,0.0,,0.0,0.0
entropy_cell__9538ff38d26bad8378882c3f,llama3_8b_instruct_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,direct_subword,explain_everyday_system,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
entropy_cell__96cf9158b2eede3d22dad7ef,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_aes256_gcm_base64_003,aes256_gcm_base64,ascii_b16,explain_everyday_system,moderate,40.0,-0.6934084416982698,-1.4099702380952381,-1.378971354098129,-1.202547999542384,28.0,-0.12571673085151913,0.024590163934426257,1.0
entropy_cell__9708f1b3c4706200a770c000,qwen2_5_7b_instruct_q4_k_m,revision_v1_nonce_96_bit_hex_003,nonce_96_bit_hex,ascii_b16,explain_everyday_system,moderate,53.0,-0.46697466887078165,-2.125,-2.9891254033971766,-2.90694520497086,42.0,-0.16666666666666674,0.048192771084337394,0.0
entropy_cell__98da0ef36817f71a7f7cbcb7,llama3_8b_instruct_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,ascii_b16,professional_project_update,moderate,26.0,-0.5467291503558531,-0.781053105310531,-0.7065314050229232,-0.6393413161716408,34.0,0.08975824175824176,0.0,-6.0
entropy_cell__99041d99e013855e5f7255a8,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_hmac_sha256_hex_003,hmac_sha256_hex,direct_subword,explain_everyday_system,moderate,35.0,-1.0767568490970103,-30.217834631071554,-2.072111424410875,-1.8880865727590992,59.0,-0.2571428571428571,0.01449275362318836,-2.0
entropy_cell__9e9ce7758abd96ba5cdeb613,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,direct_subword,professional_project_update,moderate,30.0,-0.6098710168415229,-58.09232026143792,-2.7312647745799996,-2.6081065093380174,10.0,-0.1842913558578323,0.09615384615384615,2.0
entropy_cell__a0d6545883d11471156042b4,llama3_8b_instruct_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,hex_nibble,explain_everyday_system,moderate,2.0,-0.6179928028561998,-0.5,-0.45475060675515255,-0.27696617561228143,-4.0,0.18518518518518523,0.0,-4.0
entropy_cell__a21ebe468ca7f07f2e0b4e49,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_ed25519_signature_base64_041,ed25519_signature_base64,ascii_b16,professional_project_update,moderate,30.0,-0.3876392479313866,-0.8788614298323036,-0.7402654832390634,-0.6401620335738847,46.0,0.011611917494270485,-0.010851591566763075,-1.0
entropy_cell__a3cd1359442d6d260f6a93ac,mistral_7b_instruct_v0_3_q4_k_m,revision_v1_token_128_bit_hex_003,token_128_bit_hex,ascii_b16,explain_everyday_system,moderate,37.0,-1.644897960875167,-1.5912747524752477,-1.752530997655605,-1.402227775959095,65.0,-0.23188405797101452,0.02941176470588236,-2.0
