source_trial_id,model_id,codec_id,payload_class,forced_token_count,mean_forced_rank,median_forced_rank,maximum_forced_rank,mean_rank_pressure_nats
revision_v1_primary_v2_payload_fidelity_v2__01e40a98bc77a3e51811,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,8.03125,8.0,16,3.1708851605653763
revision_v1_primary_v2_payload_fidelity_v2__01e65e3d6b8203e61308,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,64,5.453125,5.0,10,3.58218015730381
revision_v1_primary_v2_payload_fidelity_v2__01e92a4dbb08752453dd,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.3125,8.0,16,3.7789130359888077
revision_v1_primary_v2_payload_fidelity_v2__01fc7fe83f607d04c5d6,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.0,8.0,16,5.2240174934268
revision_v1_primary_v2_payload_fidelity_v2__020f16135f2045473f4e,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,32,8.125,8.0,16,3.9723323583602905
revision_v1_primary_v2_payload_fidelity_v2__021942db41733c2b5893,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,24,8.833333333333334,10.5,15,4.739685694376628
revision_v1_primary_v2_payload_fidelity_v2__02253eecd20e7534f6e7,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,ed25519_signature_base64,61,551.6065573770492,39.0,9115,4.843657946977459
revision_v1_primary_v2_payload_fidelity_v2__0226d14a92552673b60b,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,48,4.9375,4.0,10,3.0131689508756003
revision_v1_primary_v2_payload_fidelity_v2__022a05202de25c2aaef2,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,48,4.5,4.0,9,3.4321171641349792
revision_v1_primary_v2_payload_fidelity_v2__0239372539939b95e466,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,chacha20_poly1305_base64,47,303.1276595744681,32.0,4542,7.170009592746166
revision_v1_primary_v2_payload_fidelity_v2__02454ff80323ea40bfc2,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,60,28.7,7.0,1177,3.7871207197507224
revision_v1_primary_v2_payload_fidelity_v2__025cf676fb93e8c8614d,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.625,9.0,16,3.761971801519394
revision_v1_primary_v2_payload_fidelity_v2__025f882abbb0ab94a122,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,47,408.25531914893617,37.0,6779,8.15655375034251
revision_v1_primary_v2_payload_fidelity_v2__02654589dfdf85513de2,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,128,6.8515625,6.5,16,3.1684186570346355
revision_v1_primary_v2_payload_fidelity_v2__0272b4946a6b30929bb7,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,uuid_v4,20,670.6,12.0,9982,5.172986459732056
revision_v1_primary_v2_payload_fidelity_v2__0273d753dfca88ade89d,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,8.234375,8.0,16,4.504922077059746
revision_v1_primary_v2_payload_fidelity_v2__027541766a4ce8158de7,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,nonce_96_bit_hex,16,608.625,9.0,4300,3.883587121963501
revision_v1_primary_v2_payload_fidelity_v2__02a061b529d742467865,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,uuid_v4,34,36.05882352941177,6.0,770,5.138749368050519
revision_v1_primary_v2_payload_fidelity_v2__02b71fdac710c68f0c42,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,48,5.354166666666667,5.0,10,2.6661080916722617
revision_v1_primary_v2_payload_fidelity_v2__02bf1524f250d2b595e2,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,47,1241.8936170212767,41.0,24717,5.192980642014361
revision_v1_primary_v2_payload_fidelity_v2__02c3d95fdd735986de58,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,53,155.83018867924528,36.0,1436,6.7547878431824016
revision_v1_primary_v2_payload_fidelity_v2__02c58f9ac4951f89c1c7,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,7.96875,8.0,16,3.0972424745559692
revision_v1_primary_v2_payload_fidelity_v2__02cfdc307cbaa2eceb3a,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,235,4.31063829787234,4.0,8,2.596649961268648
revision_v1_primary_v2_payload_fidelity_v2__02d5a345f1dc1b93ab79,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,128,7.09375,7.0,16,2.501486711204052
revision_v1_primary_v2_payload_fidelity_v2__02d9623d2a4f18bbc59d,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,48,4.916666666666667,4.0,10,3.70278529326121
revision_v1_primary_v2_payload_fidelity_v2__02d9cc2e3aa7778c5a32,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,chacha20_poly1305_base64,50,165.9,31.5,2050,6.275096479654312
revision_v1_primary_v2_payload_fidelity_v2__02e7fcceda3634f6c60f,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,chacha20_poly1305_base64,171,4.380116959064328,4.0,8,3.041317672060247
revision_v1_primary_v2_payload_fidelity_v2__02f7f00601e26b5762a3,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,64,4.953125,4.0,10,3.9490681141614914
revision_v1_primary_v2_payload_fidelity_v2__02f917806861ca65ffbd,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.0,4.0,8,2.71607634338022
revision_v1_primary_v2_payload_fidelity_v2__0313f6f0280004d7989d,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,24,8.791666666666666,10.0,15,3.686141053835551
revision_v1_primary_v2_payload_fidelity_v2__0323eb3333220bc3fdd5,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.078125,7.0,16,5.3323177099227905
revision_v1_primary_v2_payload_fidelity_v2__033c005beefaaa8cc722,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,35,334.62857142857143,32.0,3101,5.608223915100098
revision_v1_primary_v2_payload_fidelity_v2__034811040e54ff190309,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,chacha20_poly1305_base64,50,340.04,43.0,4282,6.013107891082764
revision_v1_primary_v2_payload_fidelity_v2__034e075dfc0e9d5edf72,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.90625,10.0,16,4.795773431658745
revision_v1_primary_v2_payload_fidelity_v2__037befa2f14792b2111a,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,sha256_hex,64,7.984375,9.0,16,3.868103973567486
revision_v1_primary_v2_payload_fidelity_v2__0381d953efad6d6c9e8d,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,58,20.482758620689655,10.0,338,4.271951667193709
revision_v1_primary_v2_payload_fidelity_v2__038efe249965da53dcb9,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,chacha20_poly1305_base64,50,247.28,34.5,2808,6.187365169525147
revision_v1_primary_v2_payload_fidelity_v2__03957b735ef8001fccd8,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.128654970760234,4.0,8,2.3417454100491706
revision_v1_primary_v2_payload_fidelity_v2__0395b951fbab7b52e7cd,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,4.9609375,4.0,9,2.5634335950016975
revision_v1_primary_v2_payload_fidelity_v2__039cdd2f42538af18a82,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,nonce_96_bit_hex,24,7.625,6.0,16,4.07512092590332
revision_v1_primary_v2_payload_fidelity_v2__03a7bab8cb2b7c195d5d,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,235,4.136170212765958,4.0,8,2.794491589323003
revision_v1_primary_v2_payload_fidelity_v2__03ca8b37be959f2deb5e,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,ed25519_signature_base64,65,431.5076923076923,35.0,7136,4.894595127839309
revision_v1_primary_v2_payload_fidelity_v2__03cc21d0f68d68011a15,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,64,7.828125,7.0,16,3.053876608610153
revision_v1_primary_v2_payload_fidelity_v2__03cd1cf36643cc38a440,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,uuid_v4,96,4.0,4.0,8,2.7266277074813843
revision_v1_primary_v2_payload_fidelity_v2__03d136f69363d016d306,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,5.1796875,4.0,10,2.7181234657764435
revision_v1_primary_v2_payload_fidelity_v2__03da2755f096232022cc,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,128,6.453125,6.0,16,3.0167634561657906
revision_v1_primary_v2_payload_fidelity_v2__03e54f0058938fbb5fd1,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,32,9.09375,8.5,16,3.5262927412986755
revision_v1_primary_v2_payload_fidelity_v2__03ee713029f4c3ed09cd,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,uuid_v4,29,2476.2413793103447,8.0,71219,4.038885461873021
revision_v1_primary_v2_payload_fidelity_v2__04002517c068abaa5afe,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.680555555555555,5.0,14,2.772959510485331
revision_v1_primary_v2_payload_fidelity_v2__0408ac96c768952c9579,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,8.890625,9.0,16,3.9251833707094193
revision_v1_primary_v2_payload_fidelity_v2__040db23340e5a8c33455,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,sha256_hex,62,144.93548387096774,8.0,8433,3.9560902733956613
revision_v1_primary_v2_payload_fidelity_v2__04179541b5603362e183,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,171,4.116959064327485,4.0,8,1.9994413699322975
revision_v1_primary_v2_payload_fidelity_v2__042405bed3c736c079dd,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,sha256_hex,128,5.265625,4.0,10,3.2185939326882362
revision_v1_primary_v2_payload_fidelity_v2__0426ab9bbaa47bf36b30,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,token_128_bit_hex,28,44.32142857142857,9.5,649,4.804323656218393
revision_v1_primary_v2_payload_fidelity_v2__042aa64583ff2728ce9a,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,sha256_hex,36,640.3888888888889,14.0,9148,4.769985016849306
revision_v1_primary_v2_payload_fidelity_v2__043c86ed5dee459f47c0,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,uuid_v4,34,143.52941176470588,6.5,4607,5.5433474691475135
revision_v1_primary_v2_payload_fidelity_v2__044f981b6dcd4fe38b3a,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,uuid_v4,33,23.848484848484848,7.0,291,4.871142358490915
revision_v1_primary_v2_payload_fidelity_v2__046ef8c30a4c179dac66,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,chacha20_poly1305_base64,45,1215.9555555555555,32.0,32653,4.991110038757324
revision_v1_primary_v2_payload_fidelity_v2__0474b0f910c6cbe7ab58,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,48,562.9583333333334,28.0,6875,5.355986165503661
revision_v1_primary_v2_payload_fidelity_v2__04760e024c72c20de788,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,4.8515625,4.0,10,2.704752027988434
revision_v1_primary_v2_payload_fidelity_v2__047a99d46b7bd97ae0f8,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,token_128_bit_hex,32,8.40625,8.0,16,4.843004763126373
revision_v1_primary_v2_payload_fidelity_v2__047db8d6d5e130b4242a,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,38,192.73684210526315,25.0,3019,4.358828230908043
revision_v1_primary_v2_payload_fidelity_v2__0480efc107456ae09916,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,64,8.453125,8.0,16,4.803517922759056
revision_v1_primary_v2_payload_fidelity_v2__0487184be940bd9b9f50,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.361111111111111,4.0,14,3.720062335332235
revision_v1_primary_v2_payload_fidelity_v2__048dd27f422423e439e2,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,46,503.04347826086956,45.0,6920,5.287529416706251
revision_v1_primary_v2_payload_fidelity_v2__04926a0c582e887cb58a,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,64,4.875,4.0,9,2.8624553233385086
revision_v1_primary_v2_payload_fidelity_v2__04955bacddf8a983d0c9,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,64,5.359375,4.0,10,3.694394141435623
revision_v1_primary_v2_payload_fidelity_v2__04a5c69436917d59f95e,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,48,4.958333333333333,4.0,10,2.782028873761495
revision_v1_primary_v2_payload_fidelity_v2__04b4aa7dfbdab5a7f7a1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.052631578947368,4.0,8,2.604914057324504
revision_v1_primary_v2_payload_fidelity_v2__04ead49820c902e316a3,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,86,3.86046511627907,4.0,8,2.5056934024012367
revision_v1_primary_v2_payload_fidelity_v2__04f346a93cbe1db57827,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,nonce_96_bit_hex,64,4.0625,4.0,8,3.142457604408264
revision_v1_primary_v2_payload_fidelity_v2__050486f18ff5a7ab0685,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,64,9.296875,10.0,16,3.0263709127902985
revision_v1_primary_v2_payload_fidelity_v2__0506a0a22e6bfb6d790b,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,token_128_bit_hex,30,47.06666666666667,6.5,953,4.023184474309286
revision_v1_primary_v2_payload_fidelity_v2__050ad6702a1c184a8df6,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.152046783625731,4.0,8,2.9632475166990044
revision_v1_primary_v2_payload_fidelity_v2__050adb271d7e1d9ef9d8,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,token_128_bit_hex,29,58.6551724137931,9.0,1312,5.205674253661057
revision_v1_primary_v2_payload_fidelity_v2__050b0da2e9b1d196b65b,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,sha256_hex,36,1819.0833333333333,29.5,55925,5.124531838628981
revision_v1_primary_v2_payload_fidelity_v2__051f75d0a08e60151202,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,aes256_gcm_base64,128,6.453125,6.0,16,3.7350505515933037
revision_v1_primary_v2_payload_fidelity_v2__05247897e28c9d777c93,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,uuid_v4,35,13.542857142857143,8.0,169,4.464367267063686
revision_v1_primary_v2_payload_fidelity_v2__052478adc669b5d56f27,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,128,6.21875,6.0,16,3.1997017711400986
revision_v1_primary_v2_payload_fidelity_v2__05281ea78e74d1333cd0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,86,4.174418604651163,4.0,8,3.0001134816990342
revision_v1_primary_v2_payload_fidelity_v2__0534212a8085ee680846,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,56,23.053571428571427,8.0,429,3.832297154835292
revision_v1_primary_v2_payload_fidelity_v2__053bb67979243501aed0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.736111111111111,5.0,14,4.233615742789374
revision_v1_primary_v2_payload_fidelity_v2__05404b1244c0ed530ca7,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,ed25519_signature_base64,176,6.420454545454546,6.0,16,2.5918816165490584
revision_v1_primary_v2_payload_fidelity_v2__0542977c2db65510cf13,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,171,4.3274853801169595,4.0,8,2.4831345931828372
revision_v1_primary_v2_payload_fidelity_v2__0542bc6f368c2d883de9,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,171,4.146198830409356,4.0,8,3.361481633102685
revision_v1_primary_v2_payload_fidelity_v2__0555cce6551ccc8157e1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,171,3.9590643274853803,4.0,8,3.3400880439936764
revision_v1_primary_v2_payload_fidelity_v2__055f153cd432cf58b221,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,24,9.208333333333334,9.5,16,3.802756667137146
revision_v1_primary_v2_payload_fidelity_v2__05641b7862bc16b0c97e,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,aes256_gcm_base64,171,4.269005847953216,4.0,8,3.315853882951346
revision_v1_primary_v2_payload_fidelity_v2__0568722a17c299c6f6b7,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,aes256_gcm_base64,51,139.72549019607843,37.0,855,6.289669686672735
revision_v1_primary_v2_payload_fidelity_v2__056a98009776c16a7796,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,ed25519_signature_base64,176,6.596590909090909,6.0,16,3.4980806789614936
revision_v1_primary_v2_payload_fidelity_v2__05816e85512886512f88,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,54,25.462962962962962,6.5,378,4.980074493973343
revision_v1_primary_v2_payload_fidelity_v2__05911068c21a36d177d6,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,128,5.1875,4.0,10,3.2039926052093506
revision_v1_primary_v2_payload_fidelity_v2__05918c00ac1e55326071,qwen2_5_7b_instruct_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,32,7.40625,6.5,16,4.5563033521175385
revision_v1_primary_v2_payload_fidelity_v2__0592263b5ba126503941,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,uuid_v4,72,5.375,4.0,14,3.725190261999766
revision_v1_primary_v2_payload_fidelity_v2__059cfd47bf4ee337cc44,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,235,4.353191489361702,4.0,8,3.018381630106175
revision_v1_primary_v2_payload_fidelity_v2__05b0d4f6a020ffa377fd,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,hmac_sha256_hex,128,5.234375,4.0,10,3.206625297665596
