detector_name,regime,metric,evidence_status,higher_is_better,split_count,estimate_median_across_splits,estimate_min_across_splits,estimate_max_across_splits,test_rows_sum_across_splits,payload_groups_sum_across_splits,cross_split_interval
deberta_v3_base_classifier,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.999451331496786,0.9967722681359044,0.9999793388429752,3960,360,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,leave_one_model,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,3,0.9924242424242424,0.9136363636363637,1.0,3960,360,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.991919191919192,0.991919191919192,0.991919191919192,3960,120,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,brier_score,supplementary_exploratory_post_freeze,False,1,0.007894618301122746,0.007894618301122746,0.007894618301122746,3960,120,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,pr_auc,confirmatory_frozen_upstream,True,1,0.999836834155809,0.999836834155809,0.999836834155809,3960,120,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,precision,supplementary_exploratory_post_freeze,True,1,0.9994871794871795,0.9994871794871795,0.9994871794871795,3960,120,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9998339455157635,0.9998339455157635,0.9998339455157635,3960,120,not_computed_heterogeneous_prespecified_splits
deberta_v3_base_classifier,matched,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,1,0.9934343434343434,0.9934343434343434,0.9934343434343434,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,balanced_accuracy,confirmatory_frozen_upstream,True,18,0.7931818181818182,0.5659090909090909,0.9193181818181818,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,brier_score,supplementary_exploratory_post_freeze,False,18,0.17412234049374348,0.06493393743770419,0.41851861173598637,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,pr_auc,confirmatory_frozen_upstream,True,18,0.9557110149651227,0.6693642318239709,0.9828242422893924,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,precision,supplementary_exploratory_post_freeze,True,18,0.7157388373816616,0.5355392156862745,0.8900634249471459,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,roc_auc,confirmatory_frozen_upstream,True,18,0.9547042871900827,0.7204209710743802,0.9817045454545454,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,held_out_template,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,18,0.5670454545454545,0.0,0.8318181818181818,15840,1440,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,balanced_accuracy,confirmatory_frozen_upstream,True,6,0.9312500000000001,0.8958333333333333,0.9805555555555556,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,brier_score,supplementary_exploratory_post_freeze,False,6,0.05615824139931223,0.014862001221980265,0.08012759639150357,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,pr_auc,confirmatory_frozen_upstream,True,6,0.9865106458722596,0.9684195166129892,0.9986885944199588,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,precision,supplementary_exploratory_post_freeze,True,6,0.9585369194940407,0.9257142857142857,0.9805555555555555,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,roc_auc,confirmatory_frozen_upstream,True,6,0.9858757716049382,0.9665316358024691,0.9986342592592592,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_codec,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,6,0.7763888888888888,0.6055555555555555,0.9666666666666667,3960,540,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,balanced_accuracy,confirmatory_frozen_upstream,True,3,0.8977272727272727,0.8507575757575758,0.9037878787878788,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,brier_score,supplementary_exploratory_post_freeze,False,3,0.07818550323170066,0.07533629330611645,0.11849566925598194,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,pr_auc,confirmatory_frozen_upstream,True,3,0.9636484970582366,0.9082971676709074,0.9741573545450514,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,precision,supplementary_exploratory_post_freeze,True,3,0.8748241912798875,0.8389458272327965,0.8995433789954338,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,roc_auc,confirmatory_frozen_upstream,True,3,0.9626193755739212,0.9256232782369146,0.9736501377410468,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,leave_one_model,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,3,0.546969696969697,0.16818181818181818,0.6681818181818182,3960,360,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,balanced_accuracy,confirmatory_frozen_upstream,True,1,0.9510101010101012,0.9510101010101012,0.9510101010101012,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,brier_score,supplementary_exploratory_post_freeze,False,1,0.0393204825324821,0.0393204825324821,0.0393204825324821,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,pr_auc,confirmatory_frozen_upstream,True,1,0.9908610641184562,0.9908610641184562,0.9908610641184562,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,precision,supplementary_exploratory_post_freeze,True,1,0.9546843177189409,0.9546843177189409,0.9546843177189409,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,roc_auc,confirmatory_frozen_upstream,True,1,0.9901902867054382,0.9901902867054382,0.9901902867054382,3960,120,not_computed_heterogeneous_prespecified_splits
published_textcnn_equivalent,matched,tpr_at_fpr_0.01,supplementary_exploratory_post_freeze,True,1,0.8409090909090909,0.8409090909090909,0.8409090909090909,3960,120,not_computed_heterogeneous_prespecified_splits
