outcome,factor,level_first,level_second,analysis_unit,comparison_design,n_payloads_first,n_payloads_second,n_payloads_overlap,n_payloads_paired,mean_first,mean_second,mean_difference,mean_difference_ci_low,mean_difference_ci_high,confidence_level,bootstrap_unit,bootstrap_design,bootstrap_resamples,bootstrap_resamples_valid,primary_inference,inference_role,inferential_p_value_supported,replay_mode_scope,transformation_id_scope,mitigation_id_scope,language_scope,representation_name_scope,codec_id_scope,alphabet_size_B_scope,segmented_scope,token_filter_scope,tail_policy_scope,leadin_tokens_scope,evidence_status_scope,study_phase_scope,protocol_contract_revision_scope,result_schema_revision_scope,protocol_contract_revision,result_schema_revision,recovery_outcome,recovery_outcome_semantics,exact_recovery_compatibility_alias,exact_rank_replay_diagnostic_only,effect_type,risk_difference,risk_ratio,odds_ratio_haldane_anscombe,p_value_raw,test,p_value_holm,p_value_bh,model_id_scope,prompt_category_scope,payload_class_scope,hedges_g,topic_schedule_scope,segment_size_ranks_scope,view_scope,protocol_variant_scope
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,,,,,
exact_recovery,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,-7.138709469758444,-4.042853055044334,-3.0958564147141105,-3.3249741323097983,-2.8897322494941093,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,7.181623151881051e-10,paired_t,3.873049365809451e-06,8.136421325713513e-09,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,-7.699133324880124,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-7.138709469758444,-3.4830532069417686,-3.6556562628166756,-3.9558335846945747,-3.4019068581316807,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,1.5103015977907478e-09,paired_t,8.022722087464452e-06,1.4812477030405444e-08,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,-7.081423904027878,,,,
mean_log_probability,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-4.042853055044334,-3.4830532069417686,-0.559799848102565,-0.6909739497177567,-0.430242630873185,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,2.5948472945081877e-05,paired_t,0.11264232105460042,9.749635895629873e-05,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,-2.2673135348689484,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,8.27577836550481,3.0,5.275778365504809,5.042099132883328,5.534777773391753,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,1.7030498049402895e-11,paired_t,9.659698493621322e-08,4.14181457363204e-10,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,11.705928592856482,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,8.27577836550481,2.245614035087719,6.03016433041709,5.816512571841319,6.294468439681685,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,5.141868261115907e-12,paired_t,2.945776326793303e-08,1.6348929514107243e-10,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,13.37976468393559,,,,
effective_payload_rate,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,3.0,2.245614035087719,0.7543859649122808,0.7543859649122808,0.7543859649122808,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,False,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,,unsupported_paired_t_numerical_degeneracy,,,llama3_8b_instruct_q4_k_m,casual_conversation,chacha20_poly1305_base64,,,,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,,,,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,,,,,
exact_recovery,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,-7.195216612134999,-3.9716901009364944,-3.2235265111985045,-3.3955270831200193,-3.0596282384495304,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,5.610619643469135e-11,paired_t,3.141947000342716e-07,1.052104062614932e-09,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,-10.24579120671191,,,,
mean_log_probability,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-7.195216612134999,-3.370739500866626,-3.824477111268373,-3.9393074078754915,-3.7141037005533013,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,4.056398330242361e-13,paired_t,2.3563617900377875e-09,2.2631641250050306e-11,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,-17.756577458767865,,,,
mean_log_probability,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,-3.9716901009364944,-3.370739500866626,-0.6009506000698686,-0.7392286365163342,-0.4741698045339592,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,1.5335548191025612e-05,paired_t,0.06775245190795115,6.058412291364427e-05,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,-2.421151454485009,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,8.431892438329312,2.909090909090909,5.522801529238403,5.325624809537885,5.705113528556883,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,1.1267973928075207e-12,paired_t,6.520776512177123e-09,5.206156078955998e-11,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,15.846691923512239,,,,
effective_payload_rate,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,8.431892438329312,2.178723404255319,6.253169034073993,6.059799756476,6.437328080388493,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,3.694425752802217e-13,paired_t,2.1475696901039285e-09,2.1241243966257038e-11,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,17.9423509434499,,,,
effective_payload_rate,protocol_variant,nonseg_ascii_b16,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,2.909090909090909,2.178723404255319,0.73036750483559,0.7303675048355899,0.7303675048355899,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,False,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,False,none,none,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,,,,,,,mean_difference,,,,,unsupported_paired_t_numerical_degeneracy,,,llama3_8b_instruct_q4_k_m,casual_conversation,ed25519_signature_base64,5706034608246986.0,,,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b16,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,hmac_sha256_hex,,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_ascii_b8,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,hmac_sha256_hex,,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,,
exact_recovery,protocol_variant,direct_subword_calgacus,nonseg_hex_nibble_b16,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,hmac_sha256_hex,,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,,
exact_recovery,protocol_variant,direct_subword_calgacus,segmented_hex_multi_topic,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,hmac_sha256_hex,,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,,
exact_recovery,protocol_variant,direct_subword_calgacus,segmented_hex_single_topic,payload,paired_payload,10,10,10,10,1.0,1.0,0.0,0.0,0.0,0.95,payload,paired_payload,2000,2000,False,descriptive_exploratory_pairwise,True,saved_token_ids,unmodified,none,en,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,0,confirmatory_primary_v2_payload_fidelity_after_manifest_freeze,primary_v2_confirmatory,payload_fidelity_v2,payload_aware_result_v2,payload_fidelity_v2,payload_aware_result_v2,exact_payload_recovery,original_serialized_payload_bytes_sha256_v1,True,True,risk_difference,0.0,1.0,1.0,1.0,exact_mcnemar_binomial,1.0,1.0,llama3_8b_instruct_q4_k_m,casual_conversation,hmac_sha256_hex,,deterministically_defined_by_protocol_variant,deterministically_defined_by_protocol_variant,,
