plan_id,pairing_unit_id,experiment,model_id,quantization,payload_class,representation_name,source_codec_id,prompt_template_id,payload_index,payload_name,gate_level,threshold_source,label,population,generation_method,trial_status,generation_required,random_seed,reference_same_payload_row_id,reference_same_payload_pair_id,reference_same_payload_trial_id,reference_prompt_template_id,exact_v2_baseline_compatible,unavailable_reuse_reason,source_row_id,source_trial_id,fixed_payload_maximum_length_rule,fixed_token_budget_rule,control_length_rule
entropy_trial__041f2ac4414b1eecda4db227,entropy_pair__6ae2a596b68feb0c1d04abf2,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,nonce_96_bit_hex,hex_nibble,nonseg_hex_nibble_b16,explain_everyday_system,3,revision_v1_nonce_96_bit_hex_003,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,2022205399848687366,detector_pair__1adf6a2460a5f9878147930a__rankcloak,detector_pair__1adf6a2460a5f9878147930a,revision_v1_primary_v2_payload_fidelity_v2__ffb0e4e5b4ee22773cd3,professional_schedule_note,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0464dfed89dd30c959aed3b6,entropy_pair__81e14f12ecfbb9647e563d4b,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,uuid_v4,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_uuid_v4_041,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,2772530397415934556,detector_pair__e31e154224d73c0f783600bf__rankcloak,detector_pair__e31e154224d73c0f783600bf,revision_v1_primary_v2_payload_fidelity_v2__c6a235109d00b433fd39,narrative_learning_moment,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0468eb6add604104da0f0aff,entropy_pair__41a49fe2a69bce50dba9c350,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,uuid_v4,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_uuid_v4_003,strict,model_clean_development_entropy_quantile_0.75,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,1159274103830518546,detector_pair__91c03ecbe2ea5c8d7eb4173a__ordinary_control,detector_pair__91c03ecbe2ea5c8d7eb4173a,revision_v1_primary_v2_payload_fidelity_v2__c59286295772281b0a26,procedure_simple_meal,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__04b207bfa1a1465a5b6ac6ad,entropy_pair__376859b0b7526d2dbefaf299,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,sha256_hex,hex_nibble,nonseg_hex_nibble_b16,professional_project_update,41,revision_v1_sha256_hex_041,strict,model_clean_development_entropy_quantile_0.75,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,7991401228889533890,detector_pair__ade37202d8c7252b797607b1__ordinary_control,detector_pair__ade37202d8c7252b797607b1,revision_v1_primary_v2_payload_fidelity_v2__e3ab391c2849a563e39a,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__05082db03c6907563195889b,entropy_pair__a5b3595f283a64ee1ee9e895,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_chacha20_poly1305_base64_003,strict,model_clean_development_entropy_quantile_0.75,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,704316425886410748,detector_pair__59bf9c8678f15a779eb02fd5__rankcloak,detector_pair__59bf9c8678f15a779eb02fd5,revision_v1_primary_v2_payload_fidelity_v2__8fe45dfea9f899711f01,explain_biological_process,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__054148abf6d2eea58d4ab66f,entropy_pair__5f39b1455b79bb69ba48378d,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,hmac_sha256_hex,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_hmac_sha256_hex_041,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,2754549162426798620,detector_pair__06b0907c7b6fa7ada5115023__rankcloak,detector_pair__06b0907c7b6fa7ada5115023,revision_v1_primary_v2_payload_fidelity_v2__02454ff80323ea40bfc2,forum_practical_answer,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0541630e1f16623d47d699ac,entropy_pair__b53e622019c9456d6b898fb0,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,sha256_hex,hex_nibble,nonseg_hex_nibble_b16,explain_everyday_system,3,revision_v1_sha256_hex_003,ungated,not_applicable,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,6642575327414709860,detector_pair__e6336590c32d5906155ef854__ordinary_control,detector_pair__e6336590c32d5906155ef854,revision_v1_primary_v2_payload_fidelity_v2__4824010e40a51e03ded5,procedure_simple_meal,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__05c767f2f0cf9a31f5b11fe5,entropy_pair__996195a258faa1cbab454151,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,ed25519_signature_base64,ascii_b16,nonseg_ascii_b16,professional_project_update,41,revision_v1_ed25519_signature_base64_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,2438710867612141476,detector_pair__c35154f547c71dc0127d66a3__ordinary_control,detector_pair__c35154f547c71dc0127d66a3,revision_v1_primary_v2_payload_fidelity_v2__38c45b3c0d42c03658f9,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0639b1b357a2a51f279c5d08,entropy_pair__b56230db3d6da31a47a68806,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,hmac_sha256_hex,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_hmac_sha256_hex_041,strict,model_clean_development_entropy_quantile_0.75,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,2826703341895445495,detector_pair__00d49d5da40b69269e8d3dcb__ordinary_control,detector_pair__00d49d5da40b69269e8d3dcb,revision_v1_primary_v2_payload_fidelity_v2__bb3cbedc04a367cd0140,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0669804fc73c53b02f3ca94f,entropy_pair__26806197c822d9f5a55ff536,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,sha256_hex,hex_nibble,nonseg_hex_nibble_b16,explain_everyday_system,3,revision_v1_sha256_hex_003,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,9054092510161530850,detector_pair__4b75baa9f7d4f1f0d4726661__ordinary_control,detector_pair__4b75baa9f7d4f1f0d4726661,revision_v1_primary_v2_payload_fidelity_v2__b3c33552c8a77e46940d,explain_biological_process,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__06d7490924f87c43cf037cb8,entropy_pair__9c19a6fab8d253df24e14213,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,sha256_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_sha256_hex_003,strict,model_clean_development_entropy_quantile_0.75,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,4268983138525810351,detector_pair__c5402658b66e8c0f347bd21a__rankcloak,detector_pair__c5402658b66e8c0f347bd21a,revision_v1_primary_v2_payload_fidelity_v2__e45c8c5773c0a0139f47,explain_biological_process,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__074e8dc2d66e83822177c1d8,entropy_pair__1a78a9ca36db9e44566d643a,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,token_128_bit_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_token_128_bit_hex_003,strict,model_clean_development_entropy_quantile_0.75,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,7493020614351051035,detector_pair__7c993a1436391b66b4178505__rankcloak,detector_pair__7c993a1436391b66b4178505,revision_v1_primary_v2_payload_fidelity_v2__372d2342c78343f30642,casual_weekend_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__082ef86f7fc780659ae35395,entropy_pair__76e784464ea835c48964d402,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,ed25519_signature_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_ed25519_signature_base64_041,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,915707033278262072,detector_pair__35203bb8a1d8aa0bdaa559f2__rankcloak,detector_pair__35203bb8a1d8aa0bdaa559f2,revision_v1_primary_v2_payload_fidelity_v2__984b7948d59ccef7b80c,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0899c7ae817ccff49c2575c4,entropy_pair__0df93738d2f3177a96f1f87c,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_chacha20_poly1305_base64_041,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,616354655751019800,detector_pair__0340aac1df03799746106126__rankcloak,detector_pair__0340aac1df03799746106126,revision_v1_primary_v2_payload_fidelity_v2__488cad2f82a694e35d42,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0899f5bfb97966ba7a883ef6,entropy_pair__d0c75e713e2b07f5e8c917c6,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,sha256_hex,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_sha256_hex_041,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,845736067978171649,detector_pair__d8dd5be953323760fddb0138__rankcloak,detector_pair__d8dd5be953323760fddb0138,revision_v1_primary_v2_payload_fidelity_v2__543aa0381aa7b321195d,explain_weather_pattern,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0961a6ba8d70b07f2d885165,entropy_pair__ca58af342ce404e0283c7c7a,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_chacha20_poly1305_base64_041,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,950592662793584523,detector_pair__0428132c904c1149a623fc85__rankcloak,detector_pair__0428132c904c1149a623fc85,revision_v1_primary_v2_payload_fidelity_v2__7ca6fb7e4e38d16af1de,explain_weather_pattern,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__09d9d975d5584ff9f109133c,entropy_pair__352a753b18a2d3ffd4894106,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,sha256_hex,hex_nibble,nonseg_hex_nibble_b16,professional_project_update,41,revision_v1_sha256_hex_041,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,1205484078111137717,detector_pair__ade37202d8c7252b797607b1__rankcloak,detector_pair__ade37202d8c7252b797607b1,revision_v1_primary_v2_payload_fidelity_v2__e3ab391c2849a563e39a,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__09dc0dbc22debcd35b9c4d53,entropy_pair__5358cdedd4a4c44fb6138591,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,token_128_bit_hex,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_token_128_bit_hex_003,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,3968854832678918578,detector_pair__d16cf1cfa2a9e8912b88e0e8__rankcloak,detector_pair__d16cf1cfa2a9e8912b88e0e8,revision_v1_primary_v2_payload_fidelity_v2__1d3c3b0f5875d780ce9f,forum_learning_answer,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0a789db1779af161fe458edf,entropy_pair__81e14f12ecfbb9647e563d4b,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,uuid_v4,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_uuid_v4_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,8561235316336657041,detector_pair__e31e154224d73c0f783600bf__ordinary_control,detector_pair__e31e154224d73c0f783600bf,revision_v1_primary_v2_payload_fidelity_v2__c6a235109d00b433fd39,narrative_learning_moment,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0ad11d2a16c7040a9007ef9f,entropy_pair__603d2722c6021fce356dea30,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,explain_everyday_system,3,revision_v1_chacha20_poly1305_base64_003,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,4298584934726468624,detector_pair__9ca08bf3b0cfb9442e66098e__rankcloak,detector_pair__9ca08bf3b0cfb9442e66098e,revision_v1_primary_v2_payload_fidelity_v2__aed52391f98d6e41b97e,procedure_simple_meal,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0b69e76cdad32545fa8f4282,entropy_pair__f61b13ce48f9d2dfa5aa865c,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,aes256_gcm_base64,ascii_b16,nonseg_ascii_b16,explain_everyday_system,3,revision_v1_aes256_gcm_base64_003,ungated,not_applicable,1,rankcloak,new_ordinary_rankcloak_gate_disabled,planned_new_generation,True,8824170956571397902,detector_pair__417efb0288f2e0aeb3dcfde3__rankcloak,detector_pair__417efb0288f2e0aeb3dcfde3,revision_v1_primary_v2_payload_fidelity_v2__0f7c316ed789244d569b,narrative_local_walk,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
entropy_trial__0be673c4ef379e91632f24cf,entropy_pair__0c118f90599e018c894231da,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,aes256_gcm_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_aes256_gcm_base64_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,582222806010807170,detector_pair__d0b228318ef9c78b0c5c4ff3__ordinary_control,detector_pair__d0b228318ef9c78b0c5c4ff3,revision_v1_primary_v2_payload_fidelity_v2__7e6bef46d79dbfa8a4ec,narrative_learning_moment,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0c66f80324a27be9d3f7caa5,entropy_pair__0df93738d2f3177a96f1f87c,entropy_gated_rankcloak,qwen2_5_7b_instruct_q4_k_m,Q4_K_M,chacha20_poly1305_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_chacha20_poly1305_base64_041,moderate,model_clean_development_entropy_quantile_0.50,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,7407298056970848650,detector_pair__0340aac1df03799746106126__ordinary_control,detector_pair__0340aac1df03799746106126,revision_v1_primary_v2_payload_fidelity_v2__488cad2f82a694e35d42,casual_hobby_chat,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0ca8b1bef9be73619039e0c3,entropy_pair__6ae2a596b68feb0c1d04abf2,entropy_gated_rankcloak,mistral_7b_instruct_v0_3_q4_k_m,Q4_K_M,nonce_96_bit_hex,hex_nibble,nonseg_hex_nibble_b16,explain_everyday_system,3,revision_v1_nonce_96_bit_hex_003,ungated,not_applicable,0,ordinary_control,new_length_matched_ordinary_control,planned_new_generation,True,8293540228706424440,detector_pair__1adf6a2460a5f9878147930a__ordinary_control,detector_pair__1adf6a2460a5f9878147930a,revision_v1_primary_v2_payload_fidelity_v2__ffb0e4e5b4ee22773cd3,professional_schedule_note,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,match_realized_rankcloak_full_token_count
entropy_trial__0cb05eeecef5522cdf934330,entropy_pair__0c118f90599e018c894231da,entropy_gated_rankcloak,llama3_8b_instruct_q4_k_m,Q4_K_M,aes256_gcm_base64,direct_subword,direct_subword_calgacus,professional_project_update,41,revision_v1_aes256_gcm_base64_041,moderate,model_clean_development_entropy_quantile_0.50,1,rankcloak,entropy_gated_rankcloak,planned_new_generation,True,3158273543357752091,detector_pair__d0b228318ef9c78b0c5c4ff3__rankcloak,detector_pair__d0b228318ef9c78b0c5c4ff3,revision_v1_primary_v2_payload_fidelity_v2__7e6bef46d79dbfa8a4ec,narrative_learning_moment,False,v2_prompt_template_differs_or_gate_is_enabled,,,min_context_allowance_or_6x_ungated_forced_length,paired_ungated_payload_span_token_count,not_applicable_rankcloak
