dedup_cluster_id,partition,row_count,positive_rows,negative_rows,payload_group_count,row_ids_sha256
dedup-cluster-0752d0b0dd5ea7836db78543,train,48,24,24,1,54e75ad88d14369a714e25b14e976ec6509f658779b23448bdf3ace80415e2cf
dedup-cluster-087cbaaa2408a99991319532,validation,18,9,9,1,e5761237255a1ac1209c4c8897e680118930f2f83e38d6261bfa88bbd67867e8
dedup-cluster-089a5c41a6187c40edeb1a0c,test,48,24,24,1,7f3182eabb5341349dac4b78d4000d02dbb915d8277cadbc6c3d927c0c77f111
dedup-cluster-09ed2aa6b13db6df0ab6756d,train,18,9,9,1,60de2c6f07ebe08c60d3ae36c8ec3aaccd69fa7bbfbd34a64c2d06298b78b2fc
dedup-cluster-0a09c663faa5a6e644901d76,test,48,24,24,1,254b1300c7c1c1533bb698d64479cabcc78967ba9328cef92e6b4440f5541a6b
dedup-cluster-0a53df1782d32b924a429e87,test,18,9,9,1,fc8308033fdf556a1b807e8d49ae388b9a303ef915015a7f6aaeb252571b32be
dedup-cluster-0a8b6ea76ea0423642f3bdd9,train,18,9,9,1,2e142f2beed53c3f91505da6cc900cb474f5429b3da50c2190b0050fee34190f
dedup-cluster-0a8f44c5367ba05788bb8a3a,train,18,9,9,1,718a811140631deacbd711bfb962b9e72efb326a9b3de236cac74273fce7ff2d
dedup-cluster-0b53467e512d7aed40a8b7c5,test,48,24,24,1,53b3347db84bf7f7ad6bba508fe7b4830db371fa967c9aa0921f5c529bdae773
dedup-cluster-0b9033a94dff4651877d3659,train,48,24,24,1,6a7dd09e9209d5cf2382c248e5fac3b86ff97d323dea1dca2bad34326c96187e
dedup-cluster-0bb540b13755daa6529f643f,train,18,9,9,1,2324fc36ef2c61c9ca9f93f618835f9c51447d66e394700e2d1f678be8f4ad25
dedup-cluster-0d14bae63cd1e6e73dd0fa7a,test,48,24,24,1,768cec8d8d6c76721d9df5567d2d0ff13eb08cb049ba683167374aad7e9c706a
dedup-cluster-0de80089e8762fad04cb9524,validation,18,9,9,1,87ea7fea901030f02e7abac481416aa98a92acdd52c4955f5fd897a371308307
dedup-cluster-0eb47bf23cdaa7b54a0335a2,validation,48,24,24,1,3fbe5070f166c907c4c799785f1d6aa2627e353607b13ead18496592661f99f8
dedup-cluster-0f86d19fbad1d704affd1c2e,test,18,9,9,1,01135f869b9e13c32b45a6030fcef197eb0955ce669ea39e02b1619a54d2665f
dedup-cluster-0fa6270b95556a3e58f35a88,train,18,9,9,1,b9dc2fd37a36d038665387a105534cbd66c298490ddd0678c0b7f97a8d422ee4
dedup-cluster-10e3c842a989d98c8ff753d6,train,18,9,9,1,856218236e5168f8558f9dbbbf15defa3e99caf5c6972cfb3090e23538c42f8c
dedup-cluster-11f5b39b924fa5ce9c6957c7,train,18,9,9,1,01acc9dc57ee67512acdc2974938d10ef05e3dc2d0b0b0207c74001643122663
dedup-cluster-1309181ed8aa479328b3f0a7,test,18,9,9,1,a57af27d0b8a3efb34eb081186f5d999c0b11decafd3bcee7d3d6725c493acd3
dedup-cluster-133b7f7eae3c4fc7f563ffcd,train,48,24,24,1,d5452d0f057648b58af6eb5f172be75e39b8f166f5108919160e3a780620ec27
dedup-cluster-140196bfa49032b4c4241f50,train,48,24,24,1,e57984618f4e1e4b8104a78eb169736f05ef7478386ebb15cd3163988f931923
dedup-cluster-14033d311aabb429c68455ab,train,18,9,9,1,a917d8e27d4cf2444614ec83ba5d7ea65dd1fd4376bde564be6489b1ff769581
dedup-cluster-142c2029f559e610965db0fc,train,18,9,9,1,0b5d9ab5b01debdeb16530c8c4f975edc663484c3c7a67c67b8f97549cb775cc
dedup-cluster-14c615419b059ddd7c4aa006,train,18,9,9,1,de9bf0a30b9be1790a17c3991b7db7c20320043d2842680fb11876ecf50095c2
dedup-cluster-1506e6709eb11ec4c3c86331,train,66,33,33,2,be30f780cc5bdc295fb9b75a4e03f36c37fd6ef977f13750ac2d103d4e834d68
dedup-cluster-158163f6d98ce5c7077c5cb3,train,48,24,24,1,5295d869fe55d58bee3b2fe3fff0d12bdfe57097c98d8798cb4477a1588a4dee
dedup-cluster-15c72e9e7a44d0d2aa787f2d,train,18,9,9,1,e904a9dbe4d1df6deaa432809a0820ced9f39a2b022408e7ac212c735d6b7141
dedup-cluster-1618adfec5a51e2d2c4f669d,train,18,9,9,1,a19e77c5add6adfc8e37efdb4d253e1d31d1ac2dd9fac32992739a060babbffa
dedup-cluster-163493858dcf66d022a7fe90,train,48,24,24,1,b6e31b6e8dbd8ac8ab9bab7ff94321556c9867e77bb8e86e3639ab4215356c03
dedup-cluster-1658921bbd26cede8f32a38a,validation,18,9,9,1,14a8e3c74baa74e198184f48ead82bc88bd21f6f40a89b13ec45c84da0632065
dedup-cluster-17076ff9269019d74c924b01,train,48,24,24,1,4378d15750fc1acfbe136f6ef992572a1eef8564c207c71455a7248ec8a83ace
dedup-cluster-172137bb97b31f4b7db6b7ae,train,48,24,24,1,c689677f04ffe0f7a291087d5af09644f39f90fb30caa76e7916d529000eb096
dedup-cluster-1781dfd7668b363d8d97f42e,train,18,9,9,1,be9191398e86e551ab8734516e2e11f9f540721e34236e4b6fdea37868142e8d
dedup-cluster-17900f3eff20bb84e24fa1da,validation,48,24,24,1,270349379c3c1fefdf7b686e4c852de9a8cb95c695a65aea6314b3857f120f16
dedup-cluster-17b404c37b394d8d4a9e904d,train,18,9,9,1,20cb4d470d322da7a27dd68052ec5d09856310ae1784665b255c85af6ead16fc
dedup-cluster-19dcf15b574892a0afa24b9b,train,48,24,24,1,c775aab0971b3b6cce61dd13f3d6d1208942b21f28d0b495b62cfc36276fd16d
dedup-cluster-1a58c45e1a5617daccb29f6e,validation,18,9,9,1,b2ebc4bf5312f9a89599421d85b9906cec07898bee23441f194c37e97573cbaa
dedup-cluster-1a88735e2967b1b509e24d6b,test,48,24,24,1,b36e4c0401b680dfbd29eb7b70b1ed8a3e80ab5b4ec2771e2f5ddb4b75cfcbff
dedup-cluster-1aad62135c7a4ea593d27bdb,test,18,9,9,1,8111bdffc6f48571ef4cb9546321001ade48fb9914d260860a586807c2aeae1c
dedup-cluster-1ad3df916a9f0ee2bcfba8d6,test,18,9,9,1,be3676d9f1e138adeb25898e5a2d7b188a92977a47bba2ae71ea920ee8848a14
dedup-cluster-1ae66c809db7c888edc24849,test,48,24,24,1,62e8c454b78d0c425c1bba887f0098e1e55395df685330d3b76614af7598fa3c
dedup-cluster-1b00f31aa1e45ecbdc304bed,train,18,9,9,1,5687bfe671d764c69c8751b23cb3ab98657b46e8126de977c41f3c9dc197347a
dedup-cluster-1bddae7f3b8e5c7a818a92d2,train,258,129,129,6,9f8e03d61a72ff0feb7e1dabbdf5595702f282b394dd9805fc1adce3595bfb55
dedup-cluster-1bfe0b32bac3fbfe62622c65,test,18,9,9,1,8f87c92d9ee4f14ea731d2e3d31c97622907b1eb22aa9824e6bf735adf8eef91
dedup-cluster-1c027e58a52b7519b2a571c6,train,48,24,24,1,46daab4f969f5c87adc00b2b41d38271d718a83eeaffdf17857e94fd71302f0c
dedup-cluster-1c5e48cb2077e92f40c9b731,train,18,9,9,1,69c6e8926b3c013b03f05aa34644dfde5447ef9876ef72e047cdcedd3b7072db
dedup-cluster-1d1bea482f900a9bc2d26310,train,48,24,24,1,b4a7e0169e8c42557d8415264d742337dc567c6a7cf2417b71232662c6891703
dedup-cluster-1d730332b470450b93b8b767,validation,48,24,24,1,e686f46efa997655b36cfa7a1da5a4cf934d96e584dcf3cf2b980d51b44692e8
dedup-cluster-1e608c8c5860067de2774eaa,validation,18,9,9,1,31f45316bf62fb24b22a001f18667c0333188a74d6343e3ba0b57278c73f8fee
dedup-cluster-1e85096517059ca2585e10f1,test,48,24,24,1,5c6495828ded47e707f0a46d2c3db30f7a0355e060eecb35eb80d2ad5b93aa8d
dedup-cluster-1ee4b534cd708fac58a4e520,train,18,9,9,1,0cb4f6ad6ddb2e3c807cbb1c7e8691cab6876f047f8a27e6ca41d6bff6084af0
dedup-cluster-1f1d3eb2576a9b41181f7d48,train,18,9,9,1,a84169720f2d0b050be71367faf05240d4630d884ff2a746d62a9cb1eda7316d
dedup-cluster-1faeac26a4e77e13b8350697,train,18,9,9,1,cf6be9b218bba15a97af63f26db64d5167aba47a415679a897db4e4f4d3a1e29
dedup-cluster-1fbc53be5b90e4fb2159f7ea,test,18,9,9,1,1dabe70da0b3ec065cd2cdde5b8997235ca5daabd28c96da12d1d0c69a1a1544
dedup-cluster-20f1129c0dccafc381ccb8ab,train,48,24,24,1,b7c0a07028f54614bcbb183e9b1965263984b1a4838bdf860a60c056205e26c1
dedup-cluster-21724430ac9765521f1234e5,validation,48,24,24,1,a7b6bc18b4e719ebc5c7a48795291b7442ec62b5c479db323ffa384e717e9d8b
dedup-cluster-21c1f1723b6238ac14216880,train,18,9,9,1,94fd70a4b8a1398c24c593c304ce80bc909d5e1f4c5ad0325bd6f94b62dc3e18
dedup-cluster-21fa4e155104085745014555,train,18,9,9,1,29c2aa7447a3541525fe7ecccf0dfcf42d4a99dddf351e66099d8ec432f79d82
dedup-cluster-23688669a27f472f3b4c7be0,validation,18,9,9,1,444d627efa354a341ad0a69be3621947a16c4697d00575cab000c8e591b0cecd
dedup-cluster-237faafa65b49354f2811074,train,18,9,9,1,47e456ef2b043f8e7c0de24252ba273aadad204c59d97bc218ea0c98662a589d
dedup-cluster-23821a91b342f8bd757bd354,validation,18,9,9,1,ef491bb63c1cf8f43b33382b56d32c90b2892764bd407fff5778366a5acad1a3
dedup-cluster-24417433e41542e23709f998,train,18,9,9,1,0a663baf440fcf7fa1798a7c64ecd352ba11c785a799b03f4ec27a21e8364a55
dedup-cluster-2447f2f757732f18a1468db2,test,18,9,9,1,682e731d356b90350d7a0b7c8406b67b2a37c61bfec715a6ac1b2d9c09878581
dedup-cluster-2474b2a532180733b2583cc4,train,18,9,9,1,9c354ab7101ea4cad5016e28008c8bc3446558f652fd734bfcc6f2ef44c55db8
dedup-cluster-258822e2bc498a71b7653506,train,48,24,24,1,9bd3fb92b20338f8d730e3a7d4ba53f5c6548a31144b307fc68d80d0eeb44bd8
dedup-cluster-25ae348877bb99733ecb8289,train,48,24,24,1,519599f976d2f488763f5ee97f8695cc6e42dc833e37caa9e3f009d80e13ba51
dedup-cluster-25e8125b00cb0a0fe72d530a,train,48,24,24,1,45f26b7b633520c89fbac39551f42325f52397b4a366315fb06d08cf9f7796fd
dedup-cluster-264514c281dbf7eaf3db5a9b,train,48,24,24,1,b4d2e27407fb7f151838f4201d2d52fc7d6406d2755d1930ec2a19f245f5ad8d
dedup-cluster-26a129b97d4ffc80e5e758e5,train,18,9,9,1,60a68013572818637cfae6b53858159adb8701534054950499119be64c5ad6e3
dedup-cluster-26d0e390c431894214a50804,validation,18,9,9,1,6bcb751da01cad0c52abe3df4d2422b5b9d509bf49a8c545e484ab542e2aa606
dedup-cluster-2742a41454b76598cec25032,train,18,9,9,1,aae108dfe69c1e96ec38d510ff0825a5489eeca6a3d0f6576b882d845d06a6d5
dedup-cluster-285942776c1fc81e3d79c586,train,48,24,24,1,8f518981e22af21481db7971c49b83fe25681657e4f7b42a0f8b33b699a9dfc4
dedup-cluster-289cb121ffaed5b7a8eb664e,train,48,24,24,1,3981cc1d5786c877a46ed454f09d924ed5bb45e5f99591ef63736d583bebaa65
dedup-cluster-293af84a525a989c1fd53cf4,train,48,24,24,1,ebb73e42a976769707db3699ad8cbfa14235de172a5307620ba4982f59e1de4e
dedup-cluster-297821525cb8031a3660626d,train,48,24,24,1,a319aa55dab8e8a99f8425072f38d94c58dff9978d31c36969870f8bbb815359
dedup-cluster-298834ce3caac8f77b13ddc3,validation,18,9,9,1,9b891cc953668b06bc9d27ded9d8054dd163914fdc27b260ae766baa9046be8b
dedup-cluster-29c00935d1f39c68be75bfe8,test,48,24,24,1,a3143e946d350c16acbbfc63d6dd0fd26bb2358040d9a3c3219c17662e5ceca4
dedup-cluster-29c142135fcd9e43d47798a3,train,18,9,9,1,c0726240c13f277b00f57e865857ad97490381b0d54081a19c98c01a6b1ce3dc
dedup-cluster-29f0784a87261cd21c8ecb5a,test,18,9,9,1,748735a0014bae2e1913c9360b9031be36a3c3f6c3b51b52a2ccc5c7cf38df6e
dedup-cluster-2aa3aac2fa4cdded60a5c2ab,train,48,24,24,1,4c92065c38530c283fc008d06ce503a6f1ec112174e2d4d3abfadc112bef0942
dedup-cluster-2ace1c64a1335a57eda0b657,train,48,24,24,1,99e07eae09b75cbbe5f94a7898fd72950ffad89727646fc3772c3bcbe85ed0b1
dedup-cluster-2b83d1cb5d632d6722e2a911,test,18,9,9,1,c9d51fe4eadfa939672ace89659793e531f63356be89f0f4461f6c6953b4b55a
dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,48,24,24,1,7650bbc8c68e881e25d1b5c27c469d2271b52701d408bcd10c3dedce13a11e9c
dedup-cluster-2d9d097dd5855bbaaef4a9e2,train,18,9,9,1,7bfb56a4230cf961eefad86329047383d17a6a84fab47056586c6631e0298545
dedup-cluster-2e2ec68963e479ffd3172011,validation,18,9,9,1,e7aaf56c6fc78f8724221b090ff01244b9bd999f37ffeeb94cc88027ac45eead
dedup-cluster-2e7d99fd9725bfe34589eec7,train,18,9,9,1,8b383eba0adffb49447efebe267417c9589efe061ae251c6eec19b7ae46482c9
dedup-cluster-2e7f1969791ae609498a9082,validation,48,24,24,1,3fde31f2062a5a1cac11ef1dcc8b327720689d0cac4e818998ec80d7708b6dea
dedup-cluster-2ecc22c7d6a07954ad922bdc,test,48,24,24,1,eff248d6b8cf0cd6b091844b7f8614ff2cbe6d80676407919107588c59bf6460
dedup-cluster-2ee7d2b2fa2407f56cfb47c8,train,18,9,9,1,ba6cdf038f59c28103b3b743a27cb30a843ee45916f38b28680fcf9a973216a2
dedup-cluster-2f91866a4152689c8a27b0ea,train,48,24,24,1,ae9651d00dc0ff45e5b9f164899aad6b75c060fd827532e23fe4219fef50b6ac
dedup-cluster-2fcac7a638272d463a4d7e6e,train,18,9,9,1,9e7116ccd0a4140f1e044edcd868fa65c70810db023dd75ab883a7efe9f09f1b
dedup-cluster-309b32994a041eadb8229c21,test,18,9,9,1,c39e57d926329112da5283dd6942a8119d3ae054a52b5315cfe1162f812d4edc
dedup-cluster-3153c3799d1bf60fd0f41b4a,train,18,9,9,1,ffc970febeea32830b4063fbb81ac353af8130ca611acedd625ead2eba2f6d30
dedup-cluster-3181d96a4efbe8425655dcfb,train,46,23,23,1,064c82f86f9ad2a8fa1cbd72960e968fd9dac33c673a6c024604b0064419886b
dedup-cluster-3183abcc6e5201e56799ccce,train,18,9,9,1,3d8ffeb9aa6de04c038aed5eb58b3261b390cafb65c0470562895f4b0b9d320b
dedup-cluster-326b9482149ce2821475fa6b,train,18,9,9,1,74fed9bfce569c76a423308ff57cb87d0874809782d0bc2e163438c9dafea07a
dedup-cluster-32ad4bf593b222d70a8ca962,validation,48,24,24,1,e6ed344557bbb6bcb2e7d2093a087fe6fb7bd0c129d39398ba7dd0b4d854db6f
dedup-cluster-3335ecdbe689059d042192cb,train,18,9,9,1,92915e8245fce7aa38261b96014a5288178f179cc2351e63287d67c1b64bb0fb
dedup-cluster-339659e6d45626f95acf4c5b,validation,48,24,24,1,a620083e83d01d1d837ec4b419c744dace5bbf8c76167a9f0331869a86bc7cbf
dedup-cluster-350f56cec0b3e16d3d5fc6a2,train,18,9,9,1,6d9e9e540a920db08242834e3b9cbe9a62388e84498812587772392325bb0a70
dedup-cluster-35392cac93c5f9b5bfbab99c,train,48,24,24,1,d8d2c954e698de88194186f0fe89dabdef0518e1ba7ea49c6943b91959540633
dedup-cluster-3550b9941e44ba053c139eaa,test,48,24,24,1,e80230df36fcb84f244086d67e924e0c1304542f397009b3d03ab04032c6f5f5
dedup-cluster-357353b9c6b8da3922f5c452,validation,18,9,9,1,ff92d40e50e1a99b53fe141ae87202ae75f1d82d0fbb4879bac06dc25473fe75
dedup-cluster-35b6105f6e012664ee7fb95a,train,162,81,81,4,dad9047b688dce35275b5de56fab3a1bb326be8a199db306389c9ee1d7b2c7d8
dedup-cluster-368ee7b8567a10e29dd2e108,train,48,24,24,1,419acf97875d50ab3dde8f46ac8a420d0a3cc769e1509bc2e5fdac033e066dd4
dedup-cluster-37d4a9d7e9509ca2f58035f8,validation,48,24,24,1,94eb800d99b6aede02caa292095f48a0ccc5d169cbeb22f0e72e972a408cd199
dedup-cluster-3835ae9c8d0c8b9133aa0f7c,test,48,24,24,1,4a6cb45306f6ba26f90b56a62795090de3b1e969f21ecb07a79f08514d448b65
dedup-cluster-3a0a1fbb2f1e595586ccdf82,train,48,24,24,1,7d90dd513fd76311cabe0fae79a52014b03173d857eb25cf9fb3c47331324cb7
dedup-cluster-3a9dc163b8daa77eacd7d383,train,18,9,9,1,ff83219e77351315f2932323a1b72121a599af72c650a74a6a5c6643a2a6a902
dedup-cluster-3b447f2610b594483f55ba30,test,18,9,9,1,f0e2fb3874685e10b3db33c9eebe1931969bf4f18d762ac060ef8bfe3fc404b8
dedup-cluster-3c30c7aa7f5971e6cc065e81,train,18,9,9,1,2d786b49c8fb6092cdcd11102af3a755176f6a110d62fb129108ffa74f40f7ad
dedup-cluster-3d7049c126c3e6af15cc5c6b,test,48,24,24,1,381cf16c9d3cfb822b8f9c7a24933b88d0a1ef995f133e8941572a560053ae19
dedup-cluster-3e7ebbcc4ca1c26b2196e44d,train,48,24,24,1,0475ed47e9097fabc564309c922e35eff67fc467a5caf06341b0cb028d4f5fb9
dedup-cluster-3f1509f18c269716bcce76a3,validation,18,9,9,1,1c8f537b5d771eaecc3b184a7badb25baa01dec56cf5012e7adf4c1ed6a4a6d3
dedup-cluster-403c836b92dc86a3f953e63f,train,48,24,24,1,1061e4dfbd42396a0979b5ccf7fd89b4af96d878c929860162566d8df58e1079
dedup-cluster-40d7dc0aae7327885c0b7431,validation,18,9,9,1,fa0ada6959ecd3b5c2dd282b782bc19929d2786328ed371ffdb08a8cd902f665
dedup-cluster-40e5120d4f60e4ede685f18a,train,48,24,24,1,3861b56d642ccda1b039fbbaf469c37a5238d3930fd8882a212a67b2e278d44b
dedup-cluster-40f1050b751f94d4062ce3bb,validation,18,9,9,1,c00f8833bf59f16dafc5674644b80748f53cb5314941c5cc5d515f49d7da0bba
dedup-cluster-413d392f2aa3e500c54bddc4,train,48,24,24,1,e9a16d81a61d2ef87bee26aeabadf636887a33873c1da3c08087bd532dfce985
dedup-cluster-418e1dfdad8a13fa38873592,validation,18,9,9,1,b8c88251391892f4ac726135e9a304985bd5e07594321eda27ab8e81b4213010
dedup-cluster-42ce35dd2bcd53cb8fe0bada,test,48,24,24,1,1cbeb6cba6f57e2f0e61c5fb7c265ae5b2b08d7ca5d59b6f4f41acf329571598
dedup-cluster-436b61eb0048318126940f75,train,48,24,24,1,939a29349f7341ff471cb56f940fed50873f8a106bde55d9a1dd20bd5de30ad9
dedup-cluster-4380dc71001b76d2dbf645fb,train,18,9,9,1,6aa15c4f6ced7321aa92ae39d5326e96bb0476c311f8a5b77dd62b8bc700b5f6
dedup-cluster-43af11f5d2e1ab75fc7f8cd0,test,18,9,9,1,ac83799fb7196c504ef240e3aa8b9209658dea282877f79720043f700b1199c7
dedup-cluster-453a184945dac302c7f55dd6,train,96,48,48,2,ec14f7cb524a5bac9d2b178f225aecc4471784afa8d65bd70d1e09c43099fc1a
dedup-cluster-45b84fe75a137171236cd725,train,18,9,9,1,4a4fe237ff340ca8170605ba05804b5af42579c038dc56bfadfee409d437bf7a
dedup-cluster-47ad0bb4bd74bdd2b73605ec,test,18,9,9,1,0ca5369a72a419135067f242927d3b6d5d97faeea26ecd15aa3b828b29bc17b1
dedup-cluster-480569e564e6de62c0580300,train,48,24,24,1,da53a31698427f1278b83dbba848635adbbe83778802954da9561be1bac4b82d
dedup-cluster-4817ec6f6efc6d01ff08b87a,train,18,9,9,1,d4f460418fbaff5f315daf1aa10a1963e61ef7bcbc03eeea0f3837ac69eb1fd2
dedup-cluster-484bc3854d49e18198bd3802,validation,48,24,24,1,2756f440853fed0de32f6424b63addec347abb289d5ab157426b0cbd4441983a
dedup-cluster-48d7da6cd06bde46d05aad3f,validation,48,24,24,1,e3f17f6dba0dde0fc3c50bd64d50ff5afd2753f7061a8187ff93fbe6de399305
dedup-cluster-4a2ba4b96048298d2a4a680c,test,48,24,24,1,986323faee34f567e59d4bf1e00739300644d7ed1e9065feb9d8017293ebf19c
dedup-cluster-4a6717280abe6dffe389b392,test,18,9,9,1,ef1c5bb1839e960cfdfa3b08d3430e569a515bae45e54eacf93f5ce50e6aa135
dedup-cluster-4c28e47b564bf96204233202,train,96,48,48,2,1025ddf824a8a788906ad808c5f1b57f79550b75bfdd3ba7228835be94a7a03c
dedup-cluster-4c7d81d9bc771045be64324c,validation,48,24,24,1,b67c7e4bcf6aad085010b9a36b1b9509938525183e7231a2851da23fa11d00e6
dedup-cluster-4d40e326d7399fcc1c49ba05,train,48,24,24,1,ac340c975e08026e29441ef9e6b375bdfaf8310b0afa44f3c661ca92cd20dbe6
dedup-cluster-4df1f95590c9f69533ae0634,validation,48,24,24,1,729e5c258c7e074bceee458ea2ba926c60308243fb5872ef2fca2bf4a6763c13
dedup-cluster-4e034b2df94f3bce3978af77,train,18,9,9,1,3e9032a36e944107248f6fc8eb76be01bfe026409713544db6469e9e7b90e3c1
dedup-cluster-4e1923627139bf11a982ad81,test,18,9,9,1,d05b8b4ba539b3ac5e158717731d9dcdeb39972900ca6ccdc2a3a7cfc9842fce
dedup-cluster-4e2e4e0545cae53bd532dcac,train,48,24,24,1,12daf529be16b0dbe70a08d821c4ffb60f9b386f38d7cfca01f3e39ea829f75a
dedup-cluster-4f6ab2ce0956867e1b0b1bad,validation,48,24,24,1,e9435ef12a06edb2b07af8e9687900d181598feafd2059475fc76824a703d2a3
dedup-cluster-4fce714af80d0b4f14ad4961,test,48,24,24,1,a519f853dc9d6312e3fa62367adb520d8cac5de90d51d765daf27229e3e815a4
dedup-cluster-50ab6dea883c4952de95b49b,train,18,9,9,1,9c76bd6e57c84bc07faf81dab3c7072166de45be485b01005a2192b7ce900ad0
dedup-cluster-51612ff886a1985457334a6f,train,48,24,24,1,3dfeb525477cd3f3bca0248da3201921e494dfc5abdddca12b34f3b63a55ecb1
dedup-cluster-518372beb501e1afe511974a,train,18,9,9,1,3379963a1cdf0fce0cae9448bc6c5bfb4fb4aede2c9d53767fc8430d11536a13
dedup-cluster-525f817201e5e26510c04739,validation,18,9,9,1,6619e92b8b5a5f99f6540fbf3cc778aafb99dece0befca1999169b817d527593
dedup-cluster-52963627407681e7c4ece2c5,train,48,24,24,1,893574563fc2d15d46643f3f4ff92fddb2975152ac9d903e8ba8959b536c76d6
dedup-cluster-530f7a325b417a884b1be200,test,48,24,24,1,6f76b842369d1ec55c5491b69f2b149c5215acb849b09dd69d811780ec658ea6
dedup-cluster-533495c4f60d6dccefa19155,train,18,9,9,1,7f1539fead5f33bfcf2e1f6a32cb9adce90f1391d161ec71f6947ae28c2efb43
dedup-cluster-53ddb375f906007b9492f105,validation,48,24,24,1,2e17e38432075968761406dc5f21d10424c0160060127596c66a4ac5db47bdef
dedup-cluster-5420f0d18e8c16b21f01be4f,train,48,24,24,1,33e5cb0239f9a91e24bad6e262c7411a9833c85cb62f22d82688ad1f1927aec1
dedup-cluster-54d0f843ac4646811be4dfd1,validation,48,24,24,1,13235694825991badaae1ac16879668524bb73eb0d0b77d93069de1e21470b48
dedup-cluster-55345c512ba5df1abfba2a80,train,48,24,24,1,a632bb72e32044fa54005fa450590b3ed377e40639fa119a0aa9a90fb9a6f7e3
dedup-cluster-55a3420c3cf18c5d482392ab,train,48,24,24,1,bbede03cede05cda7c8b34627a9636bc124f3320e788ac7c0ed884d16f786af5
dedup-cluster-55acd2f82bdb2dd6b130330f,train,48,24,24,1,7d2dca14bfa70fa5c437f3ddb3a23a2c23060bda87902b1b7688b3a333986301
dedup-cluster-5650c0ad5d795f7721100b4c,validation,18,9,9,1,3a114dcc4263b67e99e35a0d09c24c395c254b89fd000e9e05f2e2a68520ae5d
dedup-cluster-56c311ab24e3b4956d5a8d34,train,18,9,9,1,2a6bdd047f670eed097377c460e3bc4c6692017a4b81180a2f619b11b4c591a2
dedup-cluster-58b9073d1fd85a24e498b5bf,train,48,24,24,1,2f110e18af2ad46800bdbeed4495a0638fc979c41457c919479344d91f1e1e75
dedup-cluster-58ca8ceb2539f670c4e1a986,train,48,24,24,1,950bccff58fb14290c1f455d84a8a78543d7304e890c6eab114ccc38b448cc8b
dedup-cluster-5968e9780c1d0681b9d154f2,train,48,24,24,1,20468bd8ed75f387ef5b0ea283dd477fe783679923b4eacb5d4f6af8bc1b7e54
dedup-cluster-59f7511f5e7a9e62060c4324,validation,18,9,9,1,c3bc79c1450114d3b63750114ab3c88ce0e0ae16a31f33743f31ee8b6a31a707
dedup-cluster-5ace189a35be6720f7c9dc5e,validation,18,9,9,1,d35ec82cb0dc139bd32bb2b85ad3a124f72b9b84f1725db91273f215b51f416a
dedup-cluster-5ae1b95f0332b244ff08dd13,train,48,24,24,1,99115c6c37d7b711cb091b42bb2495adafa4f1dd89c7a157382993269220b50b
dedup-cluster-5b9b2d73a426c098349b9925,train,48,24,24,1,34e3caa46bda68e449787bdb004220c17895e6b09529731df46d4bfc3d556e73
dedup-cluster-5b9dd88bf5e7e73a8e168e80,test,18,9,9,1,6a36d620406f2590b11f7107c2a33f30ca407057cb0fec5b2596092df7817f9a
