near_pair_number,left_position,right_position,left_row_id,right_row_id,left_payload_group_id,right_payload_group_id,same_payload_group,left_label,right_label,cosine_similarity,threshold
18,2833,3419,detector_pair__cf60ade4ada0f167a7789989__ordinary_control,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,revision_v1_nonce_96_bit_hex_057,revision_v1_token_128_bit_hex_033,False,0,0,0.9604529738426208,0.95
19,3112,3116,detector_pair__5a3b2ede1dae88f0292bcceb__rankcloak,detector_pair__edc99e28084d606968a0c72c__rankcloak,revision_v1_token_128_bit_hex_014,revision_v1_token_128_bit_hex_014,True,1,1,0.9718459844589233,0.95
20,3419,3599,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,revision_v1_token_128_bit_hex_033,revision_v1_token_128_bit_hex_044,False,0,0,0.9604529738426208,0.95
21,3419,5093,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_token_128_bit_hex_033,revision_v1_ed25519_signature_base64_028,False,0,0,0.9604529738426208,0.95
22,3419,3608,detector_pair__aa24cf8a1d6cdcbedd6bb63c__ordinary_control,detector_pair__4dd411be27136f30f789a52d__rankcloak,revision_v1_token_128_bit_hex_033,revision_v1_token_128_bit_hex_045,False,0,1,0.9543527960777283,0.95
23,3540,9126,detector_pair__800a21dc937d744396880e4f__rankcloak,detector_pair__e9bf8528b1101eadf9f625b6__rankcloak,revision_v1_token_128_bit_hex_041,revision_v1_uuid_v4_001,False,1,1,0.9644443392753601,0.95
24,3540,8192,detector_pair__800a21dc937d744396880e4f__rankcloak,detector_pair__43597f1760f7bd164229c0f4__rankcloak,revision_v1_token_128_bit_hex_041,revision_v1_token_128_bit_hex_002,False,1,1,0.9628387689590454,0.95
25,3540,9088,detector_pair__800a21dc937d744396880e4f__rankcloak,detector_pair__f9705ae5da3f880ffff05375__rankcloak,revision_v1_token_128_bit_hex_041,revision_v1_token_128_bit_hex_058,False,1,1,0.9564753770828247,0.95
26,3592,3596,detector_pair__55c56c9263865236f6f66a38__rankcloak,detector_pair__c9c3f8b6e8d736fa7e44c4b6__rankcloak,revision_v1_token_128_bit_hex_044,revision_v1_token_128_bit_hex_044,True,1,1,0.9795961976051331,0.95
27,3599,5093,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_token_128_bit_hex_044,revision_v1_ed25519_signature_base64_028,False,0,0,1.0,0.95
28,3599,3608,detector_pair__73d5cdf69eee9fbc6323ad6b__ordinary_control,detector_pair__4dd411be27136f30f789a52d__rankcloak,revision_v1_token_128_bit_hex_044,revision_v1_token_128_bit_hex_045,False,0,1,0.9934456944465637,0.95
29,3608,5093,detector_pair__4dd411be27136f30f789a52d__rankcloak,detector_pair__3cbe3ce25acbd2b468b67be1__ordinary_control,revision_v1_token_128_bit_hex_045,revision_v1_ed25519_signature_base64_028,False,1,0,0.9934456944465637,0.95
30,4569,4741,detector_pair__43b6d23f1dfbc632200775e3__ordinary_control,detector_pair__f62c2a148006bbabd4f01f8a__ordinary_control,revision_v1_chacha20_poly1305_base64_001,revision_v1_chacha20_poly1305_base64_030,False,0,0,0.9885239601135254,0.95
31,5964,8170,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__19c220c733b33ed332dc5baa__rankcloak,revision_v1_sha256_hex_042,revision_v1_token_128_bit_hex_000,False,1,1,0.9907236695289612,0.95
32,5964,7626,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_sha256_hex_042,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9902088046073914,0.95
33,5964,7622,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,revision_v1_sha256_hex_042,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9897357225418091,0.95
34,5964,6776,detector_pair__a9f71380d26eb8d2f49a16e2__rankcloak,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,revision_v1_sha256_hex_042,revision_v1_hmac_sha256_hex_033,False,1,1,0.98275226354599,0.95
35,6776,7622,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,revision_v1_hmac_sha256_hex_033,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9930928945541382,0.95
36,6776,7626,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_hmac_sha256_hex_033,revision_v1_nonce_96_bit_hex_026,False,1,1,0.9917458295822144,0.95
37,6776,8170,detector_pair__e43e89ac1fba6db8a90419da__rankcloak,detector_pair__19c220c733b33ed332dc5baa__rankcloak,revision_v1_hmac_sha256_hex_033,revision_v1_token_128_bit_hex_000,False,1,1,0.9897927641868591,0.95
38,7469,7749,detector_pair__bfe74909c89591c16b2b831b__ordinary_control,detector_pair__10b180cb50c3cba5e89e373b__ordinary_control,revision_v1_nonce_96_bit_hex_016,revision_v1_nonce_96_bit_hex_034,False,0,0,0.9536960124969482,0.95
39,7533,7821,detector_pair__f39cd7adca8539d94f09e09a__ordinary_control,detector_pair__61e2bc3abf585d85b5484d83__ordinary_control,revision_v1_nonce_96_bit_hex_020,revision_v1_nonce_96_bit_hex_038,False,0,0,0.9812363386154175,0.95
40,7533,7817,detector_pair__f39cd7adca8539d94f09e09a__ordinary_control,detector_pair__65f641a48c34b928a59a369e__ordinary_control,revision_v1_nonce_96_bit_hex_020,revision_v1_nonce_96_bit_hex_038,False,0,0,0.9643590450286865,0.95
41,7622,7626,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_nonce_96_bit_hex_026,True,1,1,0.9985831379890442,0.95
42,7622,8170,detector_pair__36b4cf7c4eed5a9557721563__rankcloak,detector_pair__19c220c733b33ed332dc5baa__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_token_128_bit_hex_000,False,1,1,0.9968095421791077,0.95
43,7626,8170,detector_pair__f9db83cc35ecfed7c6e10180__rankcloak,detector_pair__19c220c733b33ed332dc5baa__rankcloak,revision_v1_nonce_96_bit_hex_026,revision_v1_token_128_bit_hex_000,False,1,1,0.9974367022514343,0.95
44,7695,7705,detector_pair__bf08b994ceb18d2853f699ee__ordinary_control,detector_pair__db794072ed4fa8f2cc00c7c8__ordinary_control,revision_v1_nonce_96_bit_hex_031,revision_v1_nonce_96_bit_hex_031,True,0,0,0.9949792623519897,0.95
45,7817,8101,detector_pair__65f641a48c34b928a59a369e__ordinary_control,detector_pair__0d2feb58264e97727b62716d__ordinary_control,revision_v1_nonce_96_bit_hex_038,revision_v1_nonce_96_bit_hex_056,False,0,0,0.981067419052124,0.95
46,7821,8101,detector_pair__61e2bc3abf585d85b5484d83__ordinary_control,detector_pair__0d2feb58264e97727b62716d__ordinary_control,revision_v1_nonce_96_bit_hex_038,revision_v1_nonce_96_bit_hex_056,False,0,0,0.9650779962539673,0.95
47,8192,9088,detector_pair__43597f1760f7bd164229c0f4__rankcloak,detector_pair__f9705ae5da3f880ffff05375__rankcloak,revision_v1_token_128_bit_hex_002,revision_v1_token_128_bit_hex_058,False,1,1,0.9548876285552979,0.95
48,8192,9126,detector_pair__43597f1760f7bd164229c0f4__rankcloak,detector_pair__e9bf8528b1101eadf9f625b6__rankcloak,revision_v1_token_128_bit_hex_002,revision_v1_uuid_v4_001,False,1,1,0.9519928097724915,0.95
49,11006,14428,detector_pair__06c04e4ffb6e50e698a3f876__rankcloak,detector_pair__3254af7504033dc849ca926c__rankcloak,revision_v1_sha256_hex_028,revision_v1_uuid_v4_005,False,1,1,0.9999999403953552,0.95
50,12735,13033,detector_pair__9e760b4e3d1b9389c694919c__ordinary_control,detector_pair__7da00419a47a083916ffbe23__ordinary_control,revision_v1_nonce_96_bit_hex_016,revision_v1_nonce_96_bit_hex_034,False,0,0,0.9872342348098755,0.95
51,12927,13229,detector_pair__d0d2942b7ea9413b20cae06a__ordinary_control,detector_pair__761ad38b5fdde48a5b6a9c8d__ordinary_control,revision_v1_nonce_96_bit_hex_028,revision_v1_nonce_96_bit_hex_046,False,0,0,0.9583501815795898,0.95
52,14069,14699,detector_pair__9b6c0f9e36410e3300d1c44b__ordinary_control,detector_pair__996f64a4b102d775b3ddcdf0__ordinary_control,revision_v1_token_128_bit_hex_039,revision_v1_uuid_v4_050,False,0,0,0.9654339551925659,0.95
