row_id,pair_id,payload_group_id,normalized_text_sha256,dedup_cluster_id,partition,label,model_id,codec_id,payload_class,prompt_template_id
detector_pair__001fe3b7c77bdf4e6d97d27f__ordinary_control,detector_pair__001fe3b7c77bdf4e6d97d27f,revision_v1_token_128_bit_hex_034,de1f781afb04924e0b96bfc33e56a1b9385dbc50a9206f145db1d481711c795c,dedup-cluster-b6d3dd8af22bd58f505e4b2e,train,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,professional_process_email
detector_pair__001fe3b7c77bdf4e6d97d27f__rankcloak,detector_pair__001fe3b7c77bdf4e6d97d27f,revision_v1_token_128_bit_hex_034,25d6c120dba920e0ac0c925d684e6302e13ba2fa5fac0c7752e163e6d578dcf1,dedup-cluster-b6d3dd8af22bd58f505e4b2e,train,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,professional_process_email
detector_pair__00201f4a2673f834e3dd945e__ordinary_control,detector_pair__00201f4a2673f834e3dd945e,revision_v1_token_128_bit_hex_035,57fbb81702b81a20ced8003be1e9a3fd745c4472333ab6c26fd7c608e652da4d,dedup-cluster-c13bf33bc6062b1033844049,train,0,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,forum_learning_answer
detector_pair__00201f4a2673f834e3dd945e__rankcloak,detector_pair__00201f4a2673f834e3dd945e,revision_v1_token_128_bit_hex_035,e3c65621b29ef87b9c658ec2ff91743638b53b088b27e307a711bf95e4e5e357,dedup-cluster-c13bf33bc6062b1033844049,train,1,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,token_128_bit_hex,forum_learning_answer
detector_pair__0021b300dc9ae5e2621e1ace__ordinary_control,detector_pair__0021b300dc9ae5e2621e1ace,revision_v1_ed25519_signature_base64_024,613596b3c7ecf7a86f382db37718cbbd631949846ba9051bc4e7089edef0797f,dedup-cluster-14c615419b059ddd7c4aa006,train,0,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,ed25519_signature_base64,professional_process_email
detector_pair__0021b300dc9ae5e2621e1ace__rankcloak,detector_pair__0021b300dc9ae5e2621e1ace,revision_v1_ed25519_signature_base64_024,d727ba0fa9e6e2bfb8d2438cd1aae2c1e479f257875a3e4271c969de8551ef95,dedup-cluster-14c615419b059ddd7c4aa006,train,1,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,ed25519_signature_base64,professional_process_email
detector_pair__0027f5be50e27a77f759768b__ordinary_control,detector_pair__0027f5be50e27a77f759768b,revision_v1_sha256_hex_056,51e81d20ae696b59861a5a4ad9e2210d709b7fbd77534dbb3c255dec4930ae60,dedup-cluster-48d7da6cd06bde46d05aad3f,validation,0,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,forum_practical_answer
detector_pair__0027f5be50e27a77f759768b__rankcloak,detector_pair__0027f5be50e27a77f759768b,revision_v1_sha256_hex_056,39c08a9e1954bba8d937b8ffbf43e37cd2560650519808e8969924b3779df205,dedup-cluster-48d7da6cd06bde46d05aad3f,validation,1,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,forum_practical_answer
detector_pair__002d46790949220e954c73ff__ordinary_control,detector_pair__002d46790949220e954c73ff,revision_v1_ed25519_signature_base64_011,b2081234e6dab9b55d86dee861f3b852c0422bd92307b4e801dd69b85a63bb67,dedup-cluster-a66afc9b25c5890a041c104a,test,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,forum_purchase_advice
detector_pair__002d46790949220e954c73ff__rankcloak,detector_pair__002d46790949220e954c73ff,revision_v1_ed25519_signature_base64_011,647fff612b8b3641ed5639635088363e26714af91a212762ed218e236dae7a81,dedup-cluster-a66afc9b25c5890a041c104a,test,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,forum_purchase_advice
detector_pair__00305873d0c1929ff856244f__ordinary_control,detector_pair__00305873d0c1929ff856244f,revision_v1_ed25519_signature_base64_011,b514f29ff3dcdbcf02889c559273f35206822b87707293319c374df4f09955d9,dedup-cluster-a66afc9b25c5890a041c104a,test,0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,ed25519_signature_base64,professional_project_update
detector_pair__00305873d0c1929ff856244f__rankcloak,detector_pair__00305873d0c1929ff856244f,revision_v1_ed25519_signature_base64_011,3f14dfbb30c9f8ce2ee1c5c898dc18f197dcc28ddaba6a46f6beef78838b5043,dedup-cluster-a66afc9b25c5890a041c104a,test,1,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,ed25519_signature_base64,professional_project_update
detector_pair__003084e5e45f2712f3065125__ordinary_control,detector_pair__003084e5e45f2712f3065125,revision_v1_nonce_96_bit_hex_048,e1e8ed20f4a5c995581b727aed356e287234522e6a061025cfd00c63f65bb983,dedup-cluster-860f29e67b6cb940e356f2ba,train,0,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,nonce_96_bit_hex,narrative_small_discovery
detector_pair__003084e5e45f2712f3065125__rankcloak,detector_pair__003084e5e45f2712f3065125,revision_v1_nonce_96_bit_hex_048,cd5ab5b00fa8a211acf87bb73f0ce87bbf7614e9a47362e9c22a02e594ccdb68,dedup-cluster-860f29e67b6cb940e356f2ba,train,1,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,nonce_96_bit_hex,narrative_small_discovery
detector_pair__0034fd4d983e33d9d79cdc15__ordinary_control,detector_pair__0034fd4d983e33d9d79cdc15,revision_v1_sha256_hex_023,0aadb9304e343a816575f86b286b80e270d210ce2561478ec3ebf06ed2632837,dedup-cluster-c112725d857a81e4f995108a,train,0,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,explain_weather_pattern
detector_pair__0034fd4d983e33d9d79cdc15__rankcloak,detector_pair__0034fd4d983e33d9d79cdc15,revision_v1_sha256_hex_023,51b71118d5af4950618e3ba03cb9ea9b4ea397382795d764113380678b3e2e51,dedup-cluster-c112725d857a81e4f995108a,train,1,llama3_8b_instruct_q4_k_m,segmented_hex_multi_topic,sha256_hex,explain_weather_pattern
detector_pair__003a88a60bad83ef8c3063aa__ordinary_control,detector_pair__003a88a60bad83ef8c3063aa,revision_v1_sha256_hex_043,3c7d227ab9b7c7affe9010ca3af4146790bc6ca52ca1722939de5290a0a112c9,dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,0,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,professional_schedule_note
detector_pair__003a88a60bad83ef8c3063aa__rankcloak,detector_pair__003a88a60bad83ef8c3063aa,revision_v1_sha256_hex_043,34c86d187bc6894c2c9702bb7b4986ddae873c4935aae9380d145db4cb946aca,dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,1,llama3_8b_instruct_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,professional_schedule_note
detector_pair__003d0aa984022f67a75f5b6e__ordinary_control,detector_pair__003d0aa984022f67a75f5b6e,revision_v1_nonce_96_bit_hex_025,9d3e1a54f9c20cc4ad677b09cd7a77ae4d08acad86ac2f8095adf12f899110bd,dedup-cluster-a9a56840e2c7d4a59a486e62,validation,0,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,procedure_simple_meal
detector_pair__003d0aa984022f67a75f5b6e__rankcloak,detector_pair__003d0aa984022f67a75f5b6e,revision_v1_nonce_96_bit_hex_025,9c8d42b14ab685856e0a49f31a0bd2d1ee7618808ab92d2542984dff292a5a12,dedup-cluster-a9a56840e2c7d4a59a486e62,validation,1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,procedure_simple_meal
detector_pair__00436abf99461506842541b8__ordinary_control,detector_pair__00436abf99461506842541b8,revision_v1_sha256_hex_012,ec8c4b4ee272854906ee86bb572661cdbca26de91ad3e5d5ad68278fabc2c043,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,0,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,sha256_hex,forum_purchase_advice
detector_pair__00436abf99461506842541b8__rankcloak,detector_pair__00436abf99461506842541b8,revision_v1_sha256_hex_012,afa7730ab871a8be131d6094cb8696a61c62999b5eb51bac41dcf54d01d4b939,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,1,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_single_topic,sha256_hex,forum_purchase_advice
detector_pair__004a10dcaaf0a4a161ff83c9__ordinary_control,detector_pair__004a10dcaaf0a4a161ff83c9,revision_v1_sha256_hex_022,fb469729878319e3e173af6206aa843793232776f122921ca31181af20a5d14b,dedup-cluster-cdb9e70828491d0b5a051258,train,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,casual_neighborhood_chat
detector_pair__004a10dcaaf0a4a161ff83c9__rankcloak,detector_pair__004a10dcaaf0a4a161ff83c9,revision_v1_sha256_hex_022,c00372057caac12485bf0e8657673e402c83559c32ec97274b05842cabdb0421,dedup-cluster-cdb9e70828491d0b5a051258,train,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_hex_nibble_b16,sha256_hex,casual_neighborhood_chat
detector_pair__005aba6bf1c23bd504dd23af__ordinary_control,detector_pair__005aba6bf1c23bd504dd23af,revision_v1_sha256_hex_012,22be2ad73da522c3ad25ecc60757543c36f45b273d43beebb868dc672ef15bfe,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,0,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,casual_neighborhood_chat
detector_pair__005aba6bf1c23bd504dd23af__rankcloak,detector_pair__005aba6bf1c23bd504dd23af,revision_v1_sha256_hex_012,a902c350b5821159bf9f648e13986791a5f2251571a7eaf8b08d789afeeb6d53,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,sha256_hex,casual_neighborhood_chat
detector_pair__005f4e81d20dd145a9d00814__ordinary_control,detector_pair__005f4e81d20dd145a9d00814,revision_v1_sha256_hex_011,d15488e5cd079f7422c9a14127eb8759b228925019acc23dd0bc51aaf8989722,dedup-cluster-158163f6d98ce5c7077c5cb3,train,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,explain_everyday_system
detector_pair__005f4e81d20dd145a9d00814__rankcloak,detector_pair__005f4e81d20dd145a9d00814,revision_v1_sha256_hex_011,9d0fb6dc276976a49d12aaebdb78162d94e3174d22ac67e2df513737196cc851,dedup-cluster-158163f6d98ce5c7077c5cb3,train,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,explain_everyday_system
detector_pair__0062425a9666b562ddc1f250__ordinary_control,detector_pair__0062425a9666b562ddc1f250,revision_v1_sha256_hex_043,cf14b96f86c046b5fcb68c8ecd759f71e05e21319db0fe737abe53fda1d94017,dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,forum_learning_answer
detector_pair__0062425a9666b562ddc1f250__rankcloak,detector_pair__0062425a9666b562ddc1f250,revision_v1_sha256_hex_043,100aaf01ea184cee740d0c56c2669a3cf83ced1f23ecdf4b9d593c61a8951c38,dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,1,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,sha256_hex,forum_learning_answer
detector_pair__0068ab7b31c373f14211690d__ordinary_control,detector_pair__0068ab7b31c373f14211690d,revision_v1_chacha20_poly1305_base64_025,1def4c44705c88dcad35bc4770c4d0893953c9ddccbf4811ccd1eda9fd56b849,dedup-cluster-f8f816ecf1e0e78375afe932,test,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,chacha20_poly1305_base64,professional_schedule_note
detector_pair__0068ab7b31c373f14211690d__rankcloak,detector_pair__0068ab7b31c373f14211690d,revision_v1_chacha20_poly1305_base64_025,d0a45860c5782f38f6c8cce117ebc184deee184587552773aff413a356a58b67,dedup-cluster-f8f816ecf1e0e78375afe932,test,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,chacha20_poly1305_base64,professional_schedule_note
detector_pair__006c6a5f3642d011da8aba89__ordinary_control,detector_pair__006c6a5f3642d011da8aba89,revision_v1_nonce_96_bit_hex_024,2140f9d81f2d20110819437cccc038d743548cfb804bb35f08a4578f69668db6,dedup-cluster-af3176c481edd7b5c512f6eb,train,0,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,narrative_learning_moment
detector_pair__006c6a5f3642d011da8aba89__rankcloak,detector_pair__006c6a5f3642d011da8aba89,revision_v1_nonce_96_bit_hex_024,d27bec05d2c96ffa31c3d3469d8b5f8dc76fd7ecd73eff21d738fbfb31a4cf25,dedup-cluster-af3176c481edd7b5c512f6eb,train,1,mistral_7b_instruct_v0_3_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,narrative_learning_moment
detector_pair__0072af54269651962be5fd0b__ordinary_control,detector_pair__0072af54269651962be5fd0b,revision_v1_nonce_96_bit_hex_054,2743bfeb543a731a3361560190c1fe17929216908500fe54da3258929f23b0b5,dedup-cluster-7c650d38321313478e14a048,train,0,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,forum_learning_answer
detector_pair__0072af54269651962be5fd0b__rankcloak,detector_pair__0072af54269651962be5fd0b,revision_v1_nonce_96_bit_hex_054,30122bf2a0d9843f44352f955bfcb1bcaac9914222145fa490ba2a3eb0c9e718,dedup-cluster-7c650d38321313478e14a048,train,1,llama3_8b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,forum_learning_answer
detector_pair__0074b29d759c37458a9117ae__ordinary_control,detector_pair__0074b29d759c37458a9117ae,revision_v1_nonce_96_bit_hex_058,7e01b707dc31b16ffd5fa20ae785484c428c75638a66160f7a06953a88c76948,dedup-cluster-a1f09603de61d42b17c60f90,validation,0,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,professional_project_update
detector_pair__0074b29d759c37458a9117ae__rankcloak,detector_pair__0074b29d759c37458a9117ae,revision_v1_nonce_96_bit_hex_058,a5da500e270d05834a216dd4b5d2ba2b88f5c85b8b79605f31ad0256d4dae019,dedup-cluster-a1f09603de61d42b17c60f90,validation,1,qwen2_5_7b_instruct_q4_k_m,segmented_hex_multi_topic,nonce_96_bit_hex,professional_project_update
detector_pair__007a3c3286005866dd598710__ordinary_control,detector_pair__007a3c3286005866dd598710,revision_v1_hmac_sha256_hex_039,3aa2da667084383af38506c2c6e8f9c0bc07bbe6a2944a0db672012bd61c9340,dedup-cluster-db4aabf02590b0cf6f175c04,train,0,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,explain_biological_process
detector_pair__007a3c3286005866dd598710__rankcloak,detector_pair__007a3c3286005866dd598710,revision_v1_hmac_sha256_hex_039,2405acf145659b8b821e512cd9c20503d7c526318f75d7f2622476fd5784121d,dedup-cluster-db4aabf02590b0cf6f175c04,train,1,qwen2_5_7b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,explain_biological_process
detector_pair__007d5b96fcf8e80c34e56f13__ordinary_control,detector_pair__007d5b96fcf8e80c34e56f13,revision_v1_sha256_hex_014,7f3e64de907a440790e4cac3be33f21c7707fa197979248795fdef1fd383601f,dedup-cluster-3835ae9c8d0c8b9133aa0f7c,test,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,forum_learning_answer
detector_pair__007d5b96fcf8e80c34e56f13__rankcloak,detector_pair__007d5b96fcf8e80c34e56f13,revision_v1_sha256_hex_014,4510994e3f698532e2f6106056a39b9a73e3ecb4fbdfbc48152b0b5c527453dd,dedup-cluster-3835ae9c8d0c8b9133aa0f7c,test,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,forum_learning_answer
detector_pair__008acd613f71361c751f07f9__ordinary_control,detector_pair__008acd613f71361c751f07f9,revision_v1_chacha20_poly1305_base64_025,1f39a072cb8d62da50571de43ebbfa31a0f6f32100deb259fcd5a58b7d236c8f,dedup-cluster-f8f816ecf1e0e78375afe932,test,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,procedure_simple_meal
detector_pair__008acd613f71361c751f07f9__rankcloak,detector_pair__008acd613f71361c751f07f9,revision_v1_chacha20_poly1305_base64_025,92b558ce5d994fafdd4aa3c000e6053592d2a8a8217a431c89b927b7238bd56a,dedup-cluster-f8f816ecf1e0e78375afe932,test,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,chacha20_poly1305_base64,procedure_simple_meal
detector_pair__00974646184418833003500e__ordinary_control,detector_pair__00974646184418833003500e,revision_v1_token_128_bit_hex_050,1b24edc70f252aa8685aa1053a4aa4516a4209ca75e27e4fd4bc34fc46a9e5cc,dedup-cluster-677b931ede46b422796a024f,train,0,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,token_128_bit_hex,professional_schedule_note
detector_pair__00974646184418833003500e__rankcloak,detector_pair__00974646184418833003500e,revision_v1_token_128_bit_hex_050,32348b4ff4da5a0aa2690fe8791512594a149f6bfe74e83430529b722e33b58f,dedup-cluster-677b931ede46b422796a024f,train,1,mistral_7b_instruct_v0_3_q4_k_m,direct_subword_calgacus,token_128_bit_hex,professional_schedule_note
detector_pair__0099ce84ab0fb457f55e2ede__ordinary_control,detector_pair__0099ce84ab0fb457f55e2ede,revision_v1_token_128_bit_hex_055,d088dcca1bb517be213e87dea7886800ea31726bebeafc2a0980c5d8c4d9c4e0,dedup-cluster-0eb47bf23cdaa7b54a0335a2,validation,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,casual_neighborhood_chat
detector_pair__0099ce84ab0fb457f55e2ede__rankcloak,detector_pair__0099ce84ab0fb457f55e2ede,revision_v1_token_128_bit_hex_055,9aa93bb7cae21c313f087bdea54f50f8a5be7c0c17738e5ffdcd989c549e84ea,dedup-cluster-0eb47bf23cdaa7b54a0335a2,validation,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,casual_neighborhood_chat
detector_pair__00a525b9d6415a544b51e1b4__ordinary_control,detector_pair__00a525b9d6415a544b51e1b4,revision_v1_sha256_hex_012,a2060e4eabb4dc18a879110c9cff462d6593cf3438df806cadede91288eb90d2,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,sha256_hex,forum_purchase_advice
detector_pair__00a525b9d6415a544b51e1b4__rankcloak,detector_pair__00a525b9d6415a544b51e1b4,revision_v1_sha256_hex_012,00d62cc45903d3c41a1fbfe44bd3ebd426bb28231831ed138cf0eed9d769941b,dedup-cluster-edb6b099f1dff5a3bddeca8c,validation,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,sha256_hex,forum_purchase_advice
detector_pair__00b67345c2b56f744c2bf733__ordinary_control,detector_pair__00b67345c2b56f744c2bf733,revision_v1_sha256_hex_005,0895ff06210749a2192874ff514c62544f1a72d804d74cca4dc508487d659d97,dedup-cluster-9a0bd04c9a8c93220ac5f651,train,0,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,casual_hobby_chat
detector_pair__00b67345c2b56f744c2bf733__rankcloak,detector_pair__00b67345c2b56f744c2bf733,revision_v1_sha256_hex_005,a368da35f234264123ecb8bd8865cb4f7d5395dc9ba4cbbe49a3339f54aeee9d,dedup-cluster-9a0bd04c9a8c93220ac5f651,train,1,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,sha256_hex,casual_hobby_chat
detector_pair__00c6a9d89a2c3379cfe43c7e__ordinary_control,detector_pair__00c6a9d89a2c3379cfe43c7e,revision_v1_hmac_sha256_hex_046,5dc34fc2161623e82620bea9a76820355bb7a1673b2ed7af5bb64d6a0fddf7c3,dedup-cluster-f4c37670622213f8f7284467,train,0,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,explain_biological_process
detector_pair__00c6a9d89a2c3379cfe43c7e__rankcloak,detector_pair__00c6a9d89a2c3379cfe43c7e,revision_v1_hmac_sha256_hex_046,0eb9108043401fc6f7bee4ea5e07954e1db23e96bbbe3319fb9a83b5747c0d49,dedup-cluster-f4c37670622213f8f7284467,train,1,llama3_8b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,explain_biological_process
detector_pair__00d24255f6d3a9f4c591bc9e__ordinary_control,detector_pair__00d24255f6d3a9f4c591bc9e,revision_v1_hmac_sha256_hex_057,0a6f606f1fe69b1cd2733da2ab493536cf91b940e7052712c198fc4012cc6c15,dedup-cluster-a0ec330801b891c994a313b8,test,0,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,explain_biological_process
detector_pair__00d24255f6d3a9f4c591bc9e__rankcloak,detector_pair__00d24255f6d3a9f4c591bc9e,revision_v1_hmac_sha256_hex_057,f4b33fde8ab147f9db802b552aed481ee5e7cb8ab1c8e789fc2e68aa4880f8b9,dedup-cluster-a0ec330801b891c994a313b8,test,1,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,hmac_sha256_hex,explain_biological_process
detector_pair__00d38b4f24826e2e52977132__ordinary_control,detector_pair__00d38b4f24826e2e52977132,revision_v1_nonce_96_bit_hex_008,a3fe801c250e84ff7317a1ee06a178175ed51bf988a3371986183c0c0747d570,dedup-cluster-264514c281dbf7eaf3db5a9b,train,0,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,explain_everyday_system
detector_pair__00d38b4f24826e2e52977132__rankcloak,detector_pair__00d38b4f24826e2e52977132,revision_v1_nonce_96_bit_hex_008,f5faf2c55690672c7ddad7e9dd362378be72936d8ae01a4dea3bafea9d01d2c0,dedup-cluster-264514c281dbf7eaf3db5a9b,train,1,qwen2_5_7b_instruct_q4_k_m,segmented_hex_single_topic,nonce_96_bit_hex,explain_everyday_system
detector_pair__00d49d5da40b69269e8d3dcb__ordinary_control,detector_pair__00d49d5da40b69269e8d3dcb,revision_v1_hmac_sha256_hex_041,e183386cf69b954eba2fbcd85dbd7bc2c51a163197faf7f65f9e20ebe5aa5c8e,dedup-cluster-c8f97f89526ce497f8474833,train,0,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,casual_hobby_chat
detector_pair__00d49d5da40b69269e8d3dcb__rankcloak,detector_pair__00d49d5da40b69269e8d3dcb,revision_v1_hmac_sha256_hex_041,7062e20a67e6489657fda007976cea821d863b0fdfd33b6b059afa978dd6937b,dedup-cluster-c8f97f89526ce497f8474833,train,1,llama3_8b_instruct_q4_k_m,direct_subword_calgacus,hmac_sha256_hex,casual_hobby_chat
detector_pair__00d4e34130904a4ddf0e1630__ordinary_control,detector_pair__00d4e34130904a4ddf0e1630,revision_v1_nonce_96_bit_hex_054,db3c11dab72e1b630c80564b7707afa6c4615eb6c3e1431b09409b15d6365b7f,dedup-cluster-7c650d38321313478e14a048,train,0,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,narrative_local_walk
detector_pair__00d4e34130904a4ddf0e1630__rankcloak,detector_pair__00d4e34130904a4ddf0e1630,revision_v1_nonce_96_bit_hex_054,4ed910d92629483a4b2f083b2d76ab4eeeefd4daec8d5aa86b29841a7a98a2bc,dedup-cluster-7c650d38321313478e14a048,train,1,mistral_7b_instruct_v0_3_q4_k_m,nonseg_ascii_b16,nonce_96_bit_hex,narrative_local_walk
