stage,dimension,level,row_count
validation,prompt_template_id,narrative_small_discovery,158
validation,prompt_template_id,procedure_garden_task,166
validation,prompt_template_id,procedure_home_task,174
validation,prompt_template_id,procedure_simple_meal,168
validation,prompt_template_id,professional_process_email,162
validation,prompt_template_id,professional_project_update,170
validation,prompt_template_id,professional_schedule_note,160
test,label,0,1491
test,label,1,1491
test,model_id,llama3_8b_instruct_q4_k_m,994
test,model_id,mistral_7b_instruct_v0_3_q4_k_m,994
test,model_id,qwen2_5_7b_instruct_q4_k_m,994
test,codec_id,direct_subword_calgacus,594
test,codec_id,nonseg_ascii_b16,594
test,codec_id,nonseg_ascii_b8,594
test,codec_id,nonseg_hex_nibble_b16,240
test,codec_id,segmented_hex_multi_topic,480
test,codec_id,segmented_hex_single_topic,480
test,payload_class,aes256_gcm_base64,270
test,payload_class,chacha20_poly1305_base64,270
test,payload_class,ed25519_signature_base64,252
test,payload_class,hmac_sha256_hex,432
test,payload_class,nonce_96_bit_hex,480
test,payload_class,sha256_hex,480
test,payload_class,token_128_bit_hex,528
test,payload_class,uuid_v4,270
test,prompt_template_id,casual_hobby_chat,164
test,prompt_template_id,casual_neighborhood_chat,172
test,prompt_template_id,casual_weekend_chat,174
test,prompt_template_id,explain_biological_process,178
test,prompt_template_id,explain_everyday_system,156
test,prompt_template_id,explain_weather_pattern,166
test,prompt_template_id,forum_learning_answer,162
test,prompt_template_id,forum_practical_answer,160
test,prompt_template_id,forum_purchase_advice,172
test,prompt_template_id,narrative_learning_moment,154
test,prompt_template_id,narrative_local_walk,172
test,prompt_template_id,narrative_small_discovery,176
test,prompt_template_id,procedure_garden_task,156
test,prompt_template_id,procedure_home_task,162
test,prompt_template_id,procedure_simple_meal,166
test,prompt_template_id,professional_process_email,172
test,prompt_template_id,professional_project_update,152
test,prompt_template_id,professional_schedule_note,168
