near_pair_number,left_position,right_position,left_row_id,right_row_id,left_payload_group_id,right_payload_group_id,same_payload_group,left_label,right_label,cosine_similarity,threshold
43,12153,12594,entropy_generated__entropy_trial__310b4115e573c493dd537d0f,entropy_generated__entropy_trial__d461cc6f2fcc3b1d3980bf25,revision_v1_nonce_96_bit_hex_041,revision_v1_nonce_96_bit_hex_041,True,0,0,0.9836899638175964,0.95
44,12155,12587,entropy_generated__entropy_trial__32c708b622a399c57dfe4058,entropy_generated__entropy_trial__d29b512241cedce487966d57,revision_v1_ed25519_signature_base64_041,revision_v1_ed25519_signature_base64_041,True,0,0,0.9657838940620422,0.95
45,12163,12344,entropy_generated__entropy_trial__34ac9f64dea1aff2d96c9edd,entropy_generated__entropy_trial__751e21987b5779f7984cbdf9,revision_v1_hmac_sha256_hex_003,revision_v1_hmac_sha256_hex_003,True,0,0,0.9919983744621277,0.95
46,12179,12270,entropy_generated__entropy_trial__38814ac106b0a40b7ede31d7,entropy_generated__entropy_trial__59c4105e2d74fecc1da02952,revision_v1_chacha20_poly1305_base64_041,revision_v1_chacha20_poly1305_base64_041,True,0,0,0.9833045601844788,0.95
47,12217,12609,entropy_generated__entropy_trial__466c9121b8fe9a21f5a7f016,entropy_generated__entropy_trial__dc0dfd63d12eb98153a2f9e4,revision_v1_token_128_bit_hex_041,revision_v1_token_128_bit_hex_041,True,0,0,0.9654449820518494,0.95
48,12266,12510,entropy_generated__entropy_trial__593d3b96c002468e33d282ec,entropy_generated__entropy_trial__ae17786bf8252d37ec455ba2,revision_v1_token_128_bit_hex_041,revision_v1_token_128_bit_hex_041,True,0,0,0.9894535541534424,0.95
49,12272,12597,entropy_generated__entropy_trial__5a893c4f7861081bd25f24da,entropy_generated__entropy_trial__d52369295ef3c42524ad7bdd,revision_v1_hmac_sha256_hex_003,revision_v1_hmac_sha256_hex_003,True,0,0,0.9739071726799011,0.95
50,12290,12669,entropy_generated__entropy_trial__5f920b2aae9a54717e3d2140,entropy_generated__entropy_trial__f172aaee1fe3da8c1702d931,revision_v1_uuid_v4_003,revision_v1_uuid_v4_003,True,0,0,0.9755693078041077,0.95
51,12314,12517,entropy_generated__entropy_trial__68976d595d40230683b8b059,entropy_generated__entropy_trial__b10c3809d92d9d874f8d6350,revision_v1_hmac_sha256_hex_041,revision_v1_hmac_sha256_hex_041,True,0,0,0.9525684118270874,0.95
52,12321,12458,entropy_generated__entropy_trial__6b4546cea4cdff49d348da8b,entropy_generated__entropy_trial__9b8dba507d0d4b0e8be232be,revision_v1_token_128_bit_hex_003,revision_v1_token_128_bit_hex_003,True,0,0,0.9857885837554932,0.95
53,12328,12650,entropy_generated__entropy_trial__6e66bd7f4e0c50e68bd43e83,entropy_generated__entropy_trial__ea7149ee83efcab0b201273e,revision_v1_nonce_96_bit_hex_003,revision_v1_nonce_96_bit_hex_003,True,0,0,0.9935294985771179,0.95
54,12328,12335,entropy_generated__entropy_trial__6e66bd7f4e0c50e68bd43e83,entropy_generated__entropy_trial__7254aa3ef3b6791110633068,revision_v1_nonce_96_bit_hex_003,revision_v1_nonce_96_bit_hex_003,True,0,0,0.9789552688598633,0.95
55,12335,12650,entropy_generated__entropy_trial__7254aa3ef3b6791110633068,entropy_generated__entropy_trial__ea7149ee83efcab0b201273e,revision_v1_nonce_96_bit_hex_003,revision_v1_nonce_96_bit_hex_003,True,0,0,0.972620964050293,0.95
56,12338,12544,entropy_generated__entropy_trial__73dbef5e7189805be2f73706,entropy_generated__entropy_trial__bce58014ef084433fd03252f,revision_v1_sha256_hex_041,revision_v1_sha256_hex_041,True,0,0,0.9823637008666992,0.95
57,12340,12549,entropy_generated__entropy_trial__7440d776f9b7e07d0ef23e02,entropy_generated__entropy_trial__c0316a08411df9be56bce7e1,revision_v1_uuid_v4_041,revision_v1_uuid_v4_041,True,0,0,0.965864896774292,0.95
58,12342,12607,entropy_generated__entropy_trial__746240a3fd44db153ac1de6f,entropy_generated__entropy_trial__dae8a6fcc2f5b482b692b459,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,0.9653037190437317,0.95
59,12342,12574,entropy_generated__entropy_trial__746240a3fd44db153ac1de6f,entropy_generated__entropy_trial__cc005ea82c2fe5219ad969fd,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,0.9651059508323669,0.95
60,12353,12525,entropy_generated__entropy_trial__77fbe824ef00a652c5f8ca95,entropy_generated__entropy_trial__b2fb1f357805bce97402f2c0,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,1.0,0.95
61,12353,12642,entropy_generated__entropy_trial__77fbe824ef00a652c5f8ca95,entropy_generated__entropy_trial__e7f27a3ef12c8774fda79893,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,1.0,0.95
62,12370,12713,entropy_generated__entropy_trial__7c44af31f00149180026b30b,entropy_generated__entropy_trial__ffae2d639a5a431f770431a7,revision_v1_token_128_bit_hex_003,revision_v1_token_128_bit_hex_003,True,0,0,0.9989135265350342,0.95
63,12399,12426,entropy_generated__entropy_trial__8567bc1450fe4546145152c7,entropy_generated__entropy_trial__90477ab3ad82e82c16587384,revision_v1_ed25519_signature_base64_003,revision_v1_ed25519_signature_base64_003,True,0,0,0.992011547088623,0.95
64,12399,12707,entropy_generated__entropy_trial__8567bc1450fe4546145152c7,entropy_generated__entropy_trial__fe20380850a3779d9413c8f1,revision_v1_ed25519_signature_base64_003,revision_v1_ed25519_signature_base64_003,True,0,0,0.9808087944984436,0.95
65,12401,12406,entropy_generated__entropy_trial__86030d372f037ccc3761fd35,entropy_generated__entropy_trial__8a3a9b63031d734f6d4581ff,revision_v1_uuid_v4_041,revision_v1_uuid_v4_041,True,0,0,0.9747148752212524,0.95
66,12416,12491,entropy_generated__entropy_trial__8c28d3601e04c2ac77ac60b2,entropy_generated__entropy_trial__a585d7948b17b462f5fbcafc,revision_v1_uuid_v4_041,revision_v1_uuid_v4_041,True,1,1,0.9540985226631165,0.95
67,12421,12596,entropy_generated__entropy_trial__8e496f92547aa21828a5955d,entropy_generated__entropy_trial__d4c1be3a1523bddafe93ecdf,revision_v1_nonce_96_bit_hex_003,revision_v1_nonce_96_bit_hex_003,True,0,0,0.95088791847229,0.95
68,12426,12707,entropy_generated__entropy_trial__90477ab3ad82e82c16587384,entropy_generated__entropy_trial__fe20380850a3779d9413c8f1,revision_v1_ed25519_signature_base64_003,revision_v1_ed25519_signature_base64_003,True,0,0,0.9735535979270935,0.95
69,12428,12457,entropy_generated__entropy_trial__917d64a0a782326075079db8,entropy_generated__entropy_trial__9b5e26a462550b8560dd8fb2,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.9530415534973145,0.95
70,12437,12450,entropy_generated__entropy_trial__93e274e6389735432695ed02,entropy_generated__entropy_trial__9834e60a0b10085e618d7901,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,0.9989980459213257,0.95
71,12446,12550,entropy_generated__entropy_trial__96f1a8b0c681fd5efb1cbcbf,entropy_generated__entropy_trial__c10367f0c468cdc055660410,revision_v1_nonce_96_bit_hex_041,revision_v1_nonce_96_bit_hex_041,True,0,0,0.9785546064376831,0.95
72,12464,12654,entropy_generated__entropy_trial__9cdba390d3b6b88c8fcf7f66,entropy_generated__entropy_trial__ebb455e1881588a345de0763,revision_v1_uuid_v4_003,revision_v1_uuid_v4_003,True,0,0,0.9802195429801941,0.95
73,12515,12585,entropy_generated__entropy_trial__b0e5645fd6a76209f1b2b5fd,entropy_generated__entropy_trial__d157b0eda2a3837f5140c371,revision_v1_ed25519_signature_base64_003,revision_v1_ed25519_signature_base64_003,True,0,0,0.9999171495437622,0.95
74,12525,12642,entropy_generated__entropy_trial__b2fb1f357805bce97402f2c0,entropy_generated__entropy_trial__e7f27a3ef12c8774fda79893,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,1.0,0.95
75,12530,12666,entropy_generated__entropy_trial__b6792f50b6484ed034fe7353,entropy_generated__entropy_trial__f0c30fa8cddcf1ffc737616b,revision_v1_chacha20_poly1305_base64_003,revision_v1_chacha20_poly1305_base64_003,True,0,0,0.9922509789466858,0.95
76,12574,12607,entropy_generated__entropy_trial__cc005ea82c2fe5219ad969fd,entropy_generated__entropy_trial__dae8a6fcc2f5b482b692b459,revision_v1_aes256_gcm_base64_003,revision_v1_aes256_gcm_base64_003,True,0,0,0.9996297955513,0.95
77,12621,12680,entropy_generated__entropy_trial__df549ee771b279b06525fd16,entropy_generated__entropy_trial__f3d6c43b3f98e34920570b11,revision_v1_hmac_sha256_hex_003,revision_v1_hmac_sha256_hex_003,True,0,0,0.9993724822998047,0.95
