dedup_cluster_id,payload_group_count,row_count,positive_rows,negative_rows,payload_group_ids
dedup-cluster-289cb121ffaed5b7a8eb664e,1,48,24,24,revision_v1_sha256_hex_024
dedup-cluster-293af84a525a989c1fd53cf4,1,48,24,24,revision_v1_nonce_96_bit_hex_000
dedup-cluster-297821525cb8031a3660626d,1,48,24,24,revision_v1_nonce_96_bit_hex_041
dedup-cluster-298834ce3caac8f77b13ddc3,1,18,9,9,revision_v1_aes256_gcm_base64_031
dedup-cluster-29c00935d1f39c68be75bfe8,1,48,24,24,revision_v1_nonce_96_bit_hex_035
dedup-cluster-29c142135fcd9e43d47798a3,1,18,9,9,revision_v1_aes256_gcm_base64_021
dedup-cluster-29f0784a87261cd21c8ecb5a,1,18,9,9,revision_v1_chacha20_poly1305_base64_018
dedup-cluster-2aa3aac2fa4cdded60a5c2ab,1,48,24,24,revision_v1_nonce_96_bit_hex_002
dedup-cluster-2ace1c64a1335a57eda0b657,1,48,24,24,revision_v1_hmac_sha256_hex_019
dedup-cluster-2b83d1cb5d632d6722e2a911,1,18,9,9,revision_v1_ed25519_signature_base64_022
dedup-cluster-2cbabc692dc6ff8a977e3e4f,1,48,24,24,revision_v1_sha256_hex_043
dedup-cluster-2d9d097dd5855bbaaef4a9e2,1,18,9,9,revision_v1_aes256_gcm_base64_055
dedup-cluster-2e2ec68963e479ffd3172011,1,18,9,9,revision_v1_ed25519_signature_base64_005
dedup-cluster-2e7d99fd9725bfe34589eec7,1,18,9,9,revision_v1_aes256_gcm_base64_027
dedup-cluster-2e7f1969791ae609498a9082,1,48,24,24,revision_v1_hmac_sha256_hex_020
dedup-cluster-2ecc22c7d6a07954ad922bdc,1,48,24,24,revision_v1_token_128_bit_hex_014
dedup-cluster-2ee7d2b2fa2407f56cfb47c8,1,18,9,9,revision_v1_uuid_v4_007
dedup-cluster-2f91866a4152689c8a27b0ea,1,48,24,24,revision_v1_nonce_96_bit_hex_040
dedup-cluster-2fcac7a638272d463a4d7e6e,1,18,9,9,revision_v1_uuid_v4_013
dedup-cluster-309b32994a041eadb8229c21,1,18,9,9,revision_v1_chacha20_poly1305_base64_059
dedup-cluster-3153c3799d1bf60fd0f41b4a,1,18,9,9,revision_v1_uuid_v4_046
dedup-cluster-3181d96a4efbe8425655dcfb,1,46,23,23,revision_v1_nonce_96_bit_hex_015
dedup-cluster-3183abcc6e5201e56799ccce,1,18,9,9,revision_v1_ed25519_signature_base64_031
dedup-cluster-326b9482149ce2821475fa6b,1,18,9,9,revision_v1_chacha20_poly1305_base64_052
dedup-cluster-32ad4bf593b222d70a8ca962,1,48,24,24,revision_v1_hmac_sha256_hex_053
dedup-cluster-3335ecdbe689059d042192cb,1,18,9,9,revision_v1_ed25519_signature_base64_009
dedup-cluster-339659e6d45626f95acf4c5b,1,48,24,24,revision_v1_nonce_96_bit_hex_052
dedup-cluster-350f56cec0b3e16d3d5fc6a2,1,18,9,9,revision_v1_ed25519_signature_base64_030
dedup-cluster-35392cac93c5f9b5bfbab99c,1,48,24,24,revision_v1_nonce_96_bit_hex_014
dedup-cluster-3550b9941e44ba053c139eaa,1,48,24,24,revision_v1_sha256_hex_055
dedup-cluster-357353b9c6b8da3922f5c452,1,18,9,9,revision_v1_ed25519_signature_base64_025
dedup-cluster-35b6105f6e012664ee7fb95a,4,162,81,81,revision_v1_token_128_bit_hex_002;revision_v1_token_128_bit_hex_041;revision_v1_token_128_bit_hex_058;revision_v1_uuid_v4_001
dedup-cluster-368ee7b8567a10e29dd2e108,1,48,24,24,revision_v1_hmac_sha256_hex_015
dedup-cluster-37d4a9d7e9509ca2f58035f8,1,48,24,24,revision_v1_hmac_sha256_hex_022
dedup-cluster-3835ae9c8d0c8b9133aa0f7c,1,48,24,24,revision_v1_sha256_hex_014
dedup-cluster-3a0a1fbb2f1e595586ccdf82,1,48,24,24,revision_v1_sha256_hex_010
dedup-cluster-3a9dc163b8daa77eacd7d383,1,18,9,9,revision_v1_ed25519_signature_base64_052
dedup-cluster-3b447f2610b594483f55ba30,1,18,9,9,revision_v1_aes256_gcm_base64_028
dedup-cluster-3c30c7aa7f5971e6cc065e81,1,18,9,9,revision_v1_ed25519_signature_base64_010
dedup-cluster-3d7049c126c3e6af15cc5c6b,1,48,24,24,revision_v1_hmac_sha256_hex_016
dedup-cluster-3e7ebbcc4ca1c26b2196e44d,1,48,24,24,revision_v1_token_128_bit_hex_048
dedup-cluster-3f1509f18c269716bcce76a3,1,18,9,9,revision_v1_aes256_gcm_base64_050
dedup-cluster-403c836b92dc86a3f953e63f,1,48,24,24,revision_v1_token_128_bit_hex_047
dedup-cluster-40d7dc0aae7327885c0b7431,1,18,9,9,revision_v1_aes256_gcm_base64_057
dedup-cluster-40e5120d4f60e4ede685f18a,1,48,24,24,revision_v1_token_128_bit_hex_007
dedup-cluster-40f1050b751f94d4062ce3bb,1,18,9,9,revision_v1_aes256_gcm_base64_032
dedup-cluster-413d392f2aa3e500c54bddc4,1,48,24,24,revision_v1_hmac_sha256_hex_018
dedup-cluster-418e1dfdad8a13fa38873592,1,18,9,9,revision_v1_chacha20_poly1305_base64_003
dedup-cluster-42ce35dd2bcd53cb8fe0bada,1,48,24,24,revision_v1_token_128_bit_hex_027
dedup-cluster-436b61eb0048318126940f75,1,48,24,24,revision_v1_sha256_hex_030
dedup-cluster-4380dc71001b76d2dbf645fb,1,18,9,9,revision_v1_aes256_gcm_base64_052
dedup-cluster-43af11f5d2e1ab75fc7f8cd0,1,18,9,9,revision_v1_uuid_v4_037
dedup-cluster-453a184945dac302c7f55dd6,2,96,48,48,revision_v1_nonce_96_bit_hex_028;revision_v1_nonce_96_bit_hex_046
dedup-cluster-45b84fe75a137171236cd725,1,18,9,9,revision_v1_ed25519_signature_base64_016
dedup-cluster-47ad0bb4bd74bdd2b73605ec,1,18,9,9,revision_v1_ed25519_signature_base64_002
dedup-cluster-480569e564e6de62c0580300,1,48,24,24,revision_v1_nonce_96_bit_hex_039
dedup-cluster-4817ec6f6efc6d01ff08b87a,1,18,9,9,revision_v1_uuid_v4_045
dedup-cluster-484bc3854d49e18198bd3802,1,48,24,24,revision_v1_hmac_sha256_hex_050
dedup-cluster-48d7da6cd06bde46d05aad3f,1,48,24,24,revision_v1_sha256_hex_056
dedup-cluster-4a2ba4b96048298d2a4a680c,1,48,24,24,revision_v1_token_128_bit_hex_008
dedup-cluster-4a6717280abe6dffe389b392,1,18,9,9,revision_v1_aes256_gcm_base64_034
dedup-cluster-4c28e47b564bf96204233202,2,96,48,48,revision_v1_nonce_96_bit_hex_016;revision_v1_nonce_96_bit_hex_034
dedup-cluster-4c7d81d9bc771045be64324c,1,48,24,24,revision_v1_nonce_96_bit_hex_001
dedup-cluster-4d40e326d7399fcc1c49ba05,1,48,24,24,revision_v1_token_128_bit_hex_019
dedup-cluster-4df1f95590c9f69533ae0634,1,48,24,24,revision_v1_nonce_96_bit_hex_027
dedup-cluster-4e034b2df94f3bce3978af77,1,18,9,9,revision_v1_ed25519_signature_base64_013
dedup-cluster-4e1923627139bf11a982ad81,1,18,9,9,revision_v1_aes256_gcm_base64_030
dedup-cluster-4e2e4e0545cae53bd532dcac,1,48,24,24,revision_v1_token_128_bit_hex_017
dedup-cluster-4f6ab2ce0956867e1b0b1bad,1,48,24,24,revision_v1_hmac_sha256_hex_043
dedup-cluster-4fce714af80d0b4f14ad4961,1,48,24,24,revision_v1_sha256_hex_008
dedup-cluster-50ab6dea883c4952de95b49b,1,18,9,9,revision_v1_chacha20_poly1305_base64_015
dedup-cluster-51612ff886a1985457334a6f,1,48,24,24,revision_v1_sha256_hex_045
dedup-cluster-518372beb501e1afe511974a,1,18,9,9,revision_v1_ed25519_signature_base64_044
dedup-cluster-525f817201e5e26510c04739,1,18,9,9,revision_v1_uuid_v4_017
dedup-cluster-52963627407681e7c4ece2c5,1,48,24,24,revision_v1_token_128_bit_hex_025
dedup-cluster-530f7a325b417a884b1be200,1,48,24,24,revision_v1_nonce_96_bit_hex_032
dedup-cluster-533495c4f60d6dccefa19155,1,18,9,9,revision_v1_aes256_gcm_base64_010
dedup-cluster-53ddb375f906007b9492f105,1,48,24,24,revision_v1_sha256_hex_033
dedup-cluster-5420f0d18e8c16b21f01be4f,1,48,24,24,revision_v1_token_128_bit_hex_042
dedup-cluster-54d0f843ac4646811be4dfd1,1,48,24,24,revision_v1_sha256_hex_000
dedup-cluster-55345c512ba5df1abfba2a80,1,48,24,24,revision_v1_hmac_sha256_hex_014
dedup-cluster-55a3420c3cf18c5d482392ab,1,48,24,24,revision_v1_hmac_sha256_hex_017
dedup-cluster-55acd2f82bdb2dd6b130330f,1,48,24,24,revision_v1_token_128_bit_hex_016
dedup-cluster-5650c0ad5d795f7721100b4c,1,18,9,9,revision_v1_uuid_v4_024
dedup-cluster-56c311ab24e3b4956d5a8d34,1,18,9,9,revision_v1_ed25519_signature_base64_045
dedup-cluster-58b9073d1fd85a24e498b5bf,1,48,24,24,revision_v1_sha256_hex_038
dedup-cluster-58ca8ceb2539f670c4e1a986,1,48,24,24,revision_v1_sha256_hex_026
dedup-cluster-5968e9780c1d0681b9d154f2,1,48,24,24,revision_v1_token_128_bit_hex_026
dedup-cluster-59f7511f5e7a9e62060c4324,1,18,9,9,revision_v1_uuid_v4_058
dedup-cluster-5ace189a35be6720f7c9dc5e,1,18,9,9,revision_v1_chacha20_poly1305_base64_057
dedup-cluster-5ae1b95f0332b244ff08dd13,1,48,24,24,revision_v1_hmac_sha256_hex_012
dedup-cluster-5b9b2d73a426c098349b9925,1,48,24,24,revision_v1_token_128_bit_hex_005
dedup-cluster-5b9dd88bf5e7e73a8e168e80,1,18,9,9,revision_v1_ed25519_signature_base64_001
dedup-cluster-5c707906476e8093ab209bdf,1,18,9,9,revision_v1_ed25519_signature_base64_020
dedup-cluster-5e904898cda6c2658fd0bc9d,1,18,9,9,revision_v1_uuid_v4_055
dedup-cluster-5f0cd6b1a9d8235c820e11b5,4,192,96,96,revision_v1_hmac_sha256_hex_033;revision_v1_nonce_96_bit_hex_026;revision_v1_sha256_hex_042;revision_v1_token_128_bit_hex_000
dedup-cluster-6011fbb5ee1115e93ddfe3e1,1,18,9,9,revision_v1_chacha20_poly1305_base64_047
dedup-cluster-607fc29d4914c273292301d6,1,48,24,24,revision_v1_token_128_bit_hex_052
dedup-cluster-60a1e2f88d4e40514869d20f,1,18,9,9,revision_v1_ed25519_signature_base64_051
dedup-cluster-60d0df848b633a552e7a097a,1,18,9,9,revision_v1_ed25519_signature_base64_007
dedup-cluster-6136de4e90d44eb994005d2a,1,18,9,9,revision_v1_uuid_v4_051
dedup-cluster-6207de2bb67165a380b5bd3b,1,18,9,9,revision_v1_aes256_gcm_base64_023
dedup-cluster-631342e4862923cce8d3242b,1,48,24,24,revision_v1_sha256_hex_029
dedup-cluster-649f177e20db0a267e158906,1,48,24,24,revision_v1_nonce_96_bit_hex_050
dedup-cluster-64d1f52c4a9a8a169b1930ca,1,18,9,9,revision_v1_uuid_v4_018
dedup-cluster-64e6b1587450c6fccb5d88c5,1,18,9,9,revision_v1_ed25519_signature_base64_040
dedup-cluster-65013d8ab56fb66bbe2528d5,1,48,24,24,revision_v1_token_128_bit_hex_011
dedup-cluster-65c353c55a1ef0ebfabe11b3,1,18,9,9,revision_v1_uuid_v4_032
dedup-cluster-66b8f96fb6033ede0ca665e8,1,18,9,9,revision_v1_aes256_gcm_base64_020
dedup-cluster-66c4eb99135fbceacbf5708b,1,48,24,24,revision_v1_token_128_bit_hex_059
dedup-cluster-677b931ede46b422796a024f,1,48,24,24,revision_v1_token_128_bit_hex_050
dedup-cluster-68e08a4fc96aff3403abad93,1,48,24,24,revision_v1_nonce_96_bit_hex_031
dedup-cluster-691944dd6d54c8dd88e935be,1,48,24,24,revision_v1_token_128_bit_hex_024
dedup-cluster-691d7161aa6fe32d6406cdeb,1,48,24,24,revision_v1_sha256_hex_006
dedup-cluster-6a3b0df392337f6421c0e2eb,1,18,9,9,revision_v1_uuid_v4_026
dedup-cluster-6ace02c4c66fff411127a281,1,48,24,24,revision_v1_token_128_bit_hex_012
dedup-cluster-6b084f6dbf9a47a93f82df24,1,18,9,9,revision_v1_aes256_gcm_base64_037
dedup-cluster-6b805c474348cfd0b211f1cc,1,18,9,9,revision_v1_ed25519_signature_base64_019
dedup-cluster-6c21ad65fb4bd1a4c214a454,1,48,24,24,revision_v1_sha256_hex_037
dedup-cluster-6ce30f9a3e80626084969f2a,1,18,9,9,revision_v1_ed25519_signature_base64_043
dedup-cluster-6d140bf45feadd3404291e51,1,18,9,9,revision_v1_uuid_v4_049
dedup-cluster-6df69e2fbbbb2d88163d8a00,1,18,9,9,revision_v1_chacha20_poly1305_base64_050
dedup-cluster-6e0b8436371511e39a591dd3,1,48,24,24,revision_v1_nonce_96_bit_hex_033
dedup-cluster-6fa6c069ce75963f9386e415,1,18,9,9,revision_v1_aes256_gcm_base64_016
dedup-cluster-6ff827405e3ec8e1790ca5eb,1,48,24,24,revision_v1_sha256_hex_051
dedup-cluster-7013f31d35e44236cba4d7ef,1,18,9,9,revision_v1_chacha20_poly1305_base64_009
dedup-cluster-70802306a6dea487ae41327f,1,48,24,24,revision_v1_token_128_bit_hex_003
dedup-cluster-71bc4fc09af90c21eeb15adb,1,48,24,24,revision_v1_hmac_sha256_hex_025
dedup-cluster-725b5797405341915f74ba63,1,48,24,24,revision_v1_token_128_bit_hex_006
dedup-cluster-729f0f62c71d15bb8d8f7eff,1,48,24,24,revision_v1_token_128_bit_hex_004
dedup-cluster-72a697706958756a5d98abe5,1,18,9,9,revision_v1_aes256_gcm_base64_042
dedup-cluster-72d6aaa27e96ad1608b1c89d,1,18,9,9,revision_v1_chacha20_poly1305_base64_039
dedup-cluster-735807dfd4ebac001f31dd39,1,48,24,24,revision_v1_hmac_sha256_hex_052
dedup-cluster-74a6b9f9e3047bf7067f2ba2,1,18,9,9,revision_v1_aes256_gcm_base64_047
dedup-cluster-754643818e5a492752b2f68b,1,18,9,9,revision_v1_uuid_v4_021
dedup-cluster-77e64a1fb148be2642a948e8,1,48,24,24,revision_v1_token_128_bit_hex_013
dedup-cluster-78148862add6c3b623760083,1,18,9,9,revision_v1_chacha20_poly1305_base64_021
dedup-cluster-78226dcecb7d7df1214b9e71,1,48,24,24,revision_v1_sha256_hex_058
dedup-cluster-796ee459977f55ca3b94eaa1,1,48,24,24,revision_v1_token_128_bit_hex_032
dedup-cluster-7a739c5c75c908debc1b077f,1,48,24,24,revision_v1_hmac_sha256_hex_003
dedup-cluster-7aae3a6d1c11ecb6700a986d,1,48,24,24,revision_v1_sha256_hex_036
dedup-cluster-7ace65ec425e390c50b53396,1,18,9,9,revision_v1_ed25519_signature_base64_055
dedup-cluster-7b246cd70d98090e5c3adbcc,1,48,24,24,revision_v1_sha256_hex_047
dedup-cluster-7b810f2afbcabc7ee462bff7,1,48,24,24,revision_v1_nonce_96_bit_hex_023
dedup-cluster-7c650d38321313478e14a048,1,48,24,24,revision_v1_nonce_96_bit_hex_054
dedup-cluster-7c84aa0ced3be32342082f66,1,18,9,9,revision_v1_uuid_v4_002
dedup-cluster-7dd65f82d64ca3f657bccc38,1,48,24,24,revision_v1_hmac_sha256_hex_021
dedup-cluster-7e1000ec149766aba547a02b,1,18,9,9,revision_v1_aes256_gcm_base64_040
dedup-cluster-7eecb5c2a0c12ed30123e2b3,1,18,9,9,revision_v1_uuid_v4_043
dedup-cluster-7f7ec4fb795474b733abd459,1,48,24,24,revision_v1_hmac_sha256_hex_026
dedup-cluster-804389a06ddc24189a12fcd5,1,18,9,9,revision_v1_chacha20_poly1305_base64_041
dedup-cluster-806ae3004566363e09bd2ec0,1,48,24,24,revision_v1_sha256_hex_019
dedup-cluster-809b97287e736b1184c31853,1,18,9,9,revision_v1_uuid_v4_000
dedup-cluster-80b481e94169d611d3504384,1,18,9,9,revision_v1_ed25519_signature_base64_034
dedup-cluster-80d681973cacd2decbba4986,1,48,24,24,revision_v1_sha256_hex_052
dedup-cluster-8150a67016c09420f58d3140,1,48,24,24,revision_v1_sha256_hex_053
dedup-cluster-819aab271d3e41bdbd6acc2f,1,18,9,9,revision_v1_chacha20_poly1305_base64_002
dedup-cluster-82fec35853ec8d44cf04cce4,1,48,24,24,revision_v1_hmac_sha256_hex_044
dedup-cluster-8372a615906d4a4146d45c75,1,18,9,9,revision_v1_aes256_gcm_base64_005
dedup-cluster-83b5ef276b5071a7412eb272,1,48,24,24,revision_v1_token_128_bit_hex_001
dedup-cluster-83f537037e2fb1c34fefbee5,1,48,24,24,revision_v1_hmac_sha256_hex_024
dedup-cluster-847d23bf1ef334bb559efd28,1,18,9,9,revision_v1_aes256_gcm_base64_000
dedup-cluster-85408c5a1c55422d408f6f47,1,48,24,24,revision_v1_hmac_sha256_hex_054
dedup-cluster-860f29e67b6cb940e356f2ba,1,48,24,24,revision_v1_nonce_96_bit_hex_048
dedup-cluster-867a65d0f008b4b77622e544,1,48,24,24,revision_v1_nonce_96_bit_hex_021
dedup-cluster-867b2f4c828e3e0523487402,1,48,24,24,revision_v1_hmac_sha256_hex_048
dedup-cluster-86d638dbb2173052f0f13f3d,1,18,9,9,revision_v1_chacha20_poly1305_base64_027
dedup-cluster-86d70a013a18a7f0dc80b7f5,1,48,24,24,revision_v1_hmac_sha256_hex_001
dedup-cluster-8749f407554a40ca952f5b64,1,18,9,9,revision_v1_chacha20_poly1305_base64_022
dedup-cluster-87be1653d2065bc655a96c84,1,48,24,24,revision_v1_token_128_bit_hex_020
dedup-cluster-895f397b7b83bd34e4862c58,1,18,9,9,revision_v1_chacha20_poly1305_base64_033
dedup-cluster-897bd4c0922eb43a17664a25,1,18,9,9,revision_v1_aes256_gcm_base64_025
dedup-cluster-897f9dc11f3bf925b4177e79,2,66,33,33,revision_v1_sha256_hex_028;revision_v1_uuid_v4_005
dedup-cluster-8ad9f56d5faadf75901921eb,3,144,72,72,revision_v1_nonce_96_bit_hex_020;revision_v1_nonce_96_bit_hex_038;revision_v1_nonce_96_bit_hex_056
dedup-cluster-8b36378c961acd2644813ff5,1,48,24,24,revision_v1_hmac_sha256_hex_011
dedup-cluster-8bfe7043c327d3a82a41f9ad,1,18,9,9,revision_v1_ed25519_signature_base64_050
dedup-cluster-8cd2e77d4fa5e7d635c78e1d,1,48,24,24,revision_v1_nonce_96_bit_hex_053
dedup-cluster-8e2517efc5b5e889502e61a2,1,48,24,24,revision_v1_hmac_sha256_hex_058
dedup-cluster-8ef4c9a3ea33be45b4f5666a,1,18,9,9,revision_v1_aes256_gcm_base64_012
dedup-cluster-8fab3afe7244436f9bd1fad6,1,18,9,9,revision_v1_uuid_v4_009
dedup-cluster-912ff88210394ef10071ff54,1,18,9,9,revision_v1_ed25519_signature_base64_039
