row_id,pair_id,payload_group_id,label,partition,model_id,codec_id,payload_class,prompt_template_id,representation_name,generation_study,evaluation_id,study_source,gate_level,quantization,plan_id,pairing_unit_id,normalized_text_sha256,dedup_cluster_id
quantization_generated__quantization_trial__01bdb6d50b541c8c0624fa76,detector_pair__998171c6489c1658e4494ab7,revision_v1_chacha20_poly1305_base64_014,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,chacha20_poly1305_base64,procedure_simple_meal,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__01bdb6d50b541c8c0624fa76,quantization_pair__213491fd50ef7bb3adf69451,3ecdd6c38619be221cff7caf0618861b5a60ee52f3295ed534849a2d0057eae4,locked-dedup-cluster-e5adbb815271b2d2e574163c
quantization_generated__quantization_trial__0231eb080172a7f0d090e27e,detector_pair__0907f6bdd2ca1f398e7fb243,revision_v1_aes256_gcm_base64_015,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,aes256_gcm_base64,procedure_garden_task,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0231eb080172a7f0d090e27e,quantization_pair__b61ce13170e4b85ec38e41e9,479e90317b6194fdf1facff2a20971ff739b1f3fba56df1de99f3792d50900d9,locked-dedup-cluster-b9b02d80ad375626bf263b39
quantization_generated__quantization_trial__02492e943e8ba51d42d83475,detector_pair__52497674fd4deac99a351602,revision_v1_uuid_v4_009,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,uuid_v4,forum_practical_answer,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__02492e943e8ba51d42d83475,quantization_pair__321cfe0b661fc1abf8035d4e,7c1a6ada6997efd041c1a53e6588394efa2fcef047844bd16f24fa07214995b0,locked-dedup-cluster-8fab3afe7244436f9bd1fad6
quantization_generated__quantization_trial__02562e06d5df1d8d6e170170,detector_pair__12e70f95d02dac23489ade23,revision_v1_sha256_hex_034,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,sha256_hex,explain_weather_pattern,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__02562e06d5df1d8d6e170170,quantization_pair__e13a46656f99704e4435acf9,ca7edef907ba338e25216be13a0b6ce38e9ff53eebbff54a55ae59076c1a77e9,locked-dedup-cluster-a1abcb49aa12280f617295a6
quantization_generated__quantization_trial__0295c7fb4593614a7fcf21b8,detector_pair__5356865cb4105a53ddf8a1ee,revision_v1_nonce_96_bit_hex_027,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,nonce_96_bit_hex,casual_hobby_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0295c7fb4593614a7fcf21b8,quantization_pair__0166ee1870f36e77f72fa4a4,9bedd834d6240780f53e6cbcfa0b4fea7551e851954c28cdd45bd92d724a649b,locked-dedup-cluster-4df1f95590c9f69533ae0634
quantization_generated__quantization_trial__02c9be4f87a974769ca94a4f,detector_pair__04813f5c16a3ce609c8daf4b,revision_v1_ed25519_signature_base64_059,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,ed25519_signature_base64,professional_process_email,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__02c9be4f87a974769ca94a4f,quantization_pair__ad43d5b09ce4a180fb796532,b94a86e364d385a90252389a681e3e36e14a921b2243a4bf9cf7cb75d8f5886d,locked-dedup-cluster-ff3c000e9d1174a8de74bd6f
quantization_generated__quantization_trial__02dd1a36e9493a76c3c11c1d,detector_pair__54dcbbc0994e954a8e99eae1,revision_v1_token_128_bit_hex_022,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,token_128_bit_hex,forum_purchase_advice,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__02dd1a36e9493a76c3c11c1d,quantization_pair__2a6dff6cf85bd9825887bd34,5861b69970143454575c8dc0d4da271093e297356af58f3b46ebe6000527550c,locked-dedup-cluster-b588499ee699b84cf02c0a82
quantization_generated__quantization_trial__02e2d79a8b5fe3b42355992e,detector_pair__d7c8bc2ccbb29f52c522d3eb,revision_v1_uuid_v4_019,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,uuid_v4,casual_neighborhood_chat,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__02e2d79a8b5fe3b42355992e,quantization_pair__b7a5b520161ca6c20611da12,2bc96af961bc46e52a4a7d333289d960b4d382cc747fdf28fe17455efbc99886,locked-dedup-cluster-1618adfec5a51e2d2c4f669d
quantization_generated__quantization_trial__0300c1097e7a474c0567cbc5,detector_pair__fd2b76a22dba2a20fc8b339c,revision_v1_uuid_v4_013,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,uuid_v4,casual_hobby_chat,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0300c1097e7a474c0567cbc5,quantization_pair__8c2fccbf5b584a8e152cab43,d2cd0452e9cd27ef5931fa68bd9b2bba033c124684e51ec80f45475834a44f0c,locked-dedup-cluster-2fcac7a638272d463a4d7e6e
quantization_generated__quantization_trial__031ac1e14d0089d0ba96e689,detector_pair__7d7620c84f303c03399591d2,revision_v1_aes256_gcm_base64_008,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,aes256_gcm_base64,forum_purchase_advice,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__031ac1e14d0089d0ba96e689,quantization_pair__fe3cdcd75868d3ea3365f86b,9dc5c10cf70e5a69653377b151437841a97b5daadc23fb3cc7367e00feb13431,locked-dedup-cluster-b1f76c2a4fa103b4ef6ab9c0
quantization_generated__quantization_trial__034667fb5e218286cf5c4c07,detector_pair__75857c7a70cdec55f5154ef3,revision_v1_sha256_hex_006,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,sha256_hex,professional_process_email,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__034667fb5e218286cf5c4c07,quantization_pair__58acde4c4ab0efa8bbb9693c,0f6a9579804cf9882d24c7fa16c5fee8d485012fa635ed9ff3febe6a9ac4a0ad,locked-dedup-cluster-691d7161aa6fe32d6406cdeb
quantization_generated__quantization_trial__0352d16b3818a1edb76893c8,detector_pair__2ba558e7e0f183c5fc2d5214,revision_v1_hmac_sha256_hex_037,1,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,hmac_sha256_hex,procedure_garden_task,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0352d16b3818a1edb76893c8,quantization_pair__49b4dd07e658e97315416062,15f82afccd3e284ed4234a941cbc2c33059e3ae0f3e0ae111981a97171bbf432,locked-dedup-cluster-edcd1c430a452932fe4672fd
quantization_generated__quantization_trial__036dbdb9f59c8b45b8556978,detector_pair__fdaf58ddc5e03e479c33ca0e,revision_v1_token_128_bit_hex_056,1,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,token_128_bit_hex,casual_hobby_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__036dbdb9f59c8b45b8556978,quantization_pair__ddb36d1b766b4843c06c1b58,d523323c648dfc2c970c0dd00c74929f9f20ef38737ce217fe104cfaee3a9afa,locked-dedup-cluster-21724430ac9765521f1234e5
quantization_generated__quantization_trial__037848bfd3f41e8aaf5eec20,detector_pair__1dcde639f20f433938c3798b,revision_v1_uuid_v4_034,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,uuid_v4,procedure_home_task,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__037848bfd3f41e8aaf5eec20,quantization_pair__5e5ef97f27234ecc5ed358f0,f65485d3592d8ce8a35cfda604582d4d76c1868c2a456a19254446cd46b65c09,locked-dedup-cluster-c85ea4286eb44389809ba8c7
quantization_generated__quantization_trial__037ab46a59ab4f4f41e947bd,detector_pair__930b4dc6f018f6d0785becc5,revision_v1_chacha20_poly1305_base64_003,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,chacha20_poly1305_base64,narrative_local_walk,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__037ab46a59ab4f4f41e947bd,quantization_pair__7047ccd52fd45d26e313c3d4,68d5f7293960a532bcb5c20031b661a89bb7bcd47b2f162d1647ca8ba528baa5,locked-dedup-cluster-418e1dfdad8a13fa38873592
quantization_generated__quantization_trial__0381447c2f1aa25f00562eb3,detector_pair__d63b9edefb65bbd7c20eea9a,revision_v1_chacha20_poly1305_base64_035,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,chacha20_poly1305_base64,casual_weekend_chat,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0381447c2f1aa25f00562eb3,quantization_pair__d5642c3c226acadf35c1d7a1,1e142cb90af25e801e27f6ef5c0560292fa498375b1178da00d4b924c3a67114,locked-dedup-cluster-14033d311aabb429c68455ab
quantization_generated__quantization_trial__03901e3ead389bc2a742adeb,detector_pair__10a47cb9dcfeec86f5958608,revision_v1_sha256_hex_024,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,sha256_hex,professional_process_email,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__03901e3ead389bc2a742adeb,quantization_pair__83c8a4a187ae0b41a4058c31,6d82bde50c075ee813dd9b7f773f21e2c67aee23e13e959a6db0615920a75e63,locked-dedup-cluster-289cb121ffaed5b7a8eb664e
quantization_generated__quantization_trial__0395097a0120e95122e97f59,detector_pair__46fc68ef02f1a8d0c298149c,revision_v1_ed25519_signature_base64_022,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,ed25519_signature_base64,casual_neighborhood_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0395097a0120e95122e97f59,quantization_pair__52dcbb8b1d00319a917626d9,33472594aed1797be6021a0e49d0fa505ccf8b9763744f20c8979fd26e3c8505,locked-dedup-cluster-2b83d1cb5d632d6722e2a911
quantization_generated__quantization_trial__03ab33da658e31f27989bc8d,detector_pair__9aa7c791aef9be5e4d7861b3,revision_v1_sha256_hex_021,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,sha256_hex,narrative_local_walk,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__03ab33da658e31f27989bc8d,quantization_pair__17b15d1981b8b4b8881c6191,0280b7eb0f648b21e3e7bd7e71564ba02931278411f193a57a22d55804ef92df,locked-dedup-cluster-aee884c364b55f08a3981ff0
quantization_generated__quantization_trial__03b241a45a3a4260f81a7380,detector_pair__17ee7d235f9e73f3558860d1,revision_v1_token_128_bit_hex_049,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,token_128_bit_hex,explain_weather_pattern,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__03b241a45a3a4260f81a7380,quantization_pair__12e0ad866feae6c7f78f795f,0f21757e306ec798a9a14ce4d590474659b8bad698ed74eafa53fb25202c20db,locked-dedup-cluster-25e8125b00cb0a0fe72d530a
quantization_generated__quantization_trial__03cb88140dd18c6c8c25c317,detector_pair__5f5458c2c62c38a22aed720e,revision_v1_token_128_bit_hex_026,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,token_128_bit_hex,casual_neighborhood_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__03cb88140dd18c6c8c25c317,quantization_pair__12ffc584801107f708e503e6,6bac6510a75aea5f23924b16c7f109055331f72bba188d05c3f18cebfccc2637,locked-dedup-cluster-5968e9780c1d0681b9d154f2
quantization_generated__quantization_trial__03e4a6a98940e8ee99e629f4,detector_pair__d316ef4f8f6694d68bd36264,revision_v1_aes256_gcm_base64_032,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,aes256_gcm_base64,forum_learning_answer,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__03e4a6a98940e8ee99e629f4,quantization_pair__d237b479bf455d4d283ed0e0,c379f856c6cff6f09c51e1e684fd157f76c9df3da297ac10f6650e5695a82d95,locked-dedup-cluster-40f1050b751f94d4062ce3bb
quantization_generated__quantization_trial__03f25d26affb041138cc0135,detector_pair__b62a7d8fd300b97ff2979a28,revision_v1_aes256_gcm_base64_028,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,aes256_gcm_base64,narrative_local_walk,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__03f25d26affb041138cc0135,quantization_pair__66910bff5c9260777df90044,87a2a472268d5150d7e2299dae26923b294ce9e547f06f2e1804fe305eac81a8,locked-dedup-cluster-3b447f2610b594483f55ba30
quantization_generated__quantization_trial__043ba5942e42784eb8af8203,detector_pair__14dc5a01dce50172b7fb71d1,revision_v1_nonce_96_bit_hex_003,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,nonce_96_bit_hex,casual_weekend_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__043ba5942e42784eb8af8203,quantization_pair__3fa32696ce088f812e2a8203,e3f6a9e067ce3aab1fd36e007f2c261cae4bef84bf914877b1b5f8ba20215475,locked-dedup-cluster-9795d6040c277941676a455e
quantization_generated__quantization_trial__045c335e725ad37e527c9c5e,detector_pair__1956cb96fcca268d792b7889,revision_v1_hmac_sha256_hex_039,1,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,hmac_sha256_hex,explain_biological_process,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__045c335e725ad37e527c9c5e,quantization_pair__e080c7f68d3e926758a6ef05,4450b40eaf071b71a4ae436bd877eac7e92239dcfc15c5700c2916676ff9a61e,locked-dedup-cluster-db4aabf02590b0cf6f175c04
quantization_generated__quantization_trial__045f871f3818a23cd2f2e6e1,detector_pair__25aaeb23bd9a5fec6a99fbf4,revision_v1_sha256_hex_047,1,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,sha256_hex,casual_neighborhood_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__045f871f3818a23cd2f2e6e1,quantization_pair__0d1f048fe4a520579b0c431b,474f4a227d09a431db8d6b9c83a60d768c0bb1894923ae9201ed5967a3d57c22,locked-dedup-cluster-7b246cd70d98090e5c3adbcc
quantization_generated__quantization_trial__0496f96e8b56529d59f76151,detector_pair__4da55c9a83764d9718540571,revision_v1_hmac_sha256_hex_057,1,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,hmac_sha256_hex,explain_biological_process,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__0496f96e8b56529d59f76151,quantization_pair__55ab0641d203b2d00d9514fe,77bbad635ad27cf168937f682f630d133c413a623c76169632e1d45df9734955,locked-dedup-cluster-a0ec330801b891c994a313b8
quantization_generated__quantization_trial__04ebcf4e79aa25f5e525a30a,detector_pair__ea58f81ba41636457e29fdc3,revision_v1_aes256_gcm_base64_030,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,aes256_gcm_base64,casual_neighborhood_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__04ebcf4e79aa25f5e525a30a,quantization_pair__487b3fda4b53f87fec188af9,6f07840461b751bf3ab66f0e59d78f1f0ccf7a188c7a4a58c0586696f9db9260,locked-dedup-cluster-4e1923627139bf11a982ad81
quantization_generated__quantization_trial__04f3cb02977707dc0c27b2c0,detector_pair__ac02b12ac76b51a629711b7d,revision_v1_chacha20_poly1305_base64_000,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,chacha20_poly1305_base64,professional_schedule_note,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__04f3cb02977707dc0c27b2c0,quantization_pair__9c005fc440c0d92caf7c1819,dd838a3c41d8884fb25704911da464ed2572fd79f9b85a82634a4cd33e0b7fb9,locked-dedup-cluster-a331d504eed2f1bff244b461
quantization_generated__quantization_trial__0514de525e804db3b6def98e,detector_pair__7131ccee56c06e359638f955,revision_v1_nonce_96_bit_hex_022,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,nonce_96_bit_hex,professional_project_update,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0514de525e804db3b6def98e,quantization_pair__ce517e3c85df88845c23c1cf,fe1750109d596493abc0649967c1f7ff8b67fa59fadff8b6d410f0c329617470,locked-dedup-cluster-0d14bae63cd1e6e73dd0fa7a
quantization_generated__quantization_trial__052bd08f68aa418a6cb08858,detector_pair__9ad1c030d2f0c0708ad08e8d,revision_v1_aes256_gcm_base64_026,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,aes256_gcm_base64,forum_purchase_advice,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__052bd08f68aa418a6cb08858,quantization_pair__cf7198733a89eeab23cc5292,1fe318339d366580f4e990b98dcb8dd2afca053f08729fbd5fbe85576344755b,locked-dedup-cluster-a519d2b02dc9e7bccd7392ff
quantization_generated__quantization_trial__0552dbcadfe7a9da74236c92,detector_pair__49c8b481e89f940b835eb2c5,revision_v1_sha256_hex_039,1,validation,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,sha256_hex,narrative_local_walk,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__0552dbcadfe7a9da74236c92,quantization_pair__2446d10dc72f47a28fc29b83,46a83c5332839af99c71576a167f60c3d3729a365215f0ea6d92ce227d326f0c,locked-dedup-cluster-f5e65f43009f3df06299368a
quantization_generated__quantization_trial__055b81cb0f02eecdc0ec7b13,detector_pair__aa6d4f4d43b307d5c09ad966,revision_v1_uuid_v4_057,0,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b16,uuid_v4,forum_learning_answer,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__055b81cb0f02eecdc0ec7b13,quantization_pair__6e9b6b36339c1f1b9c1f6986,5efe0601c7f3e0568dd11377978a3cbb8d759a53afda9c30a2a0654bd6d94032,locked-dedup-cluster-a3bf6a27ed0073b013821121
quantization_generated__quantization_trial__056b353e39b168fa7c72ee5d,detector_pair__5d18a6d0357c53ffd9ee33b8,revision_v1_aes256_gcm_base64_006,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,aes256_gcm_base64,casual_hobby_chat,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__056b353e39b168fa7c72ee5d,quantization_pair__609cea49ddba9bbe84ba853e,673a3cab94bfb0477f40e02c682b2b39c133e3da1f2db9c3d4cbefb0ee007a22,locked-dedup-cluster-0bb540b13755daa6529f643f
quantization_generated__quantization_trial__05791670beccbc1b07200070,detector_pair__4259c29504268faa3cdfbb51,revision_v1_uuid_v4_030,1,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,uuid_v4,explain_everyday_system,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__05791670beccbc1b07200070,quantization_pair__34c5b11a547c2ae9fa3a9e64,6ac68a85522aeb4d3e035208491026716615811d881b2e64d7ce6f6f0acb77da,locked-dedup-cluster-97be7d710b952352309b8ed9
quantization_generated__quantization_trial__058a4ff497fa86e4f1e1e056,detector_pair__610fbc931df360c016839111,revision_v1_hmac_sha256_hex_023,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b8,hmac_sha256_hex,professional_process_email,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__058a4ff497fa86e4f1e1e056,quantization_pair__743c3ab2bccb029ef259e213,fd9081c747107c53bf7bc36f963ec79e445848cd0bb72ff54c46e2aa5270f38c,locked-dedup-cluster-c791365cbb6a3ed856420c65
quantization_generated__quantization_trial__05ca754a4e4db1fc660c2ae7,detector_pair__4880901c28f28b1526b3d10f,revision_v1_chacha20_poly1305_base64_021,0,train,qwen2_5_7b_instruct_q8_0,nonseg_ascii_b16,chacha20_poly1305_base64,narrative_local_walk,ascii_b16,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q8_0,quantization_trial__05ca754a4e4db1fc660c2ae7,quantization_pair__193f191c01e549c872b1e825,66794e6de74f6e4de424bc597011f13939b617c38e7f878022d8ed98c4ba26c6,locked-dedup-cluster-78148862add6c3b623760083
quantization_generated__quantization_trial__060d5c4eb7d5b0c7d7e78a05,detector_pair__15fd31d8ca6057c3f62d1e2e,revision_v1_uuid_v4_055,1,test,qwen2_5_7b_instruct_q4_k_m,nonseg_ascii_b8,uuid_v4,casual_neighborhood_chat,ascii_b8,quantization,q8_to_q4,model_backed_quantization,not_applicable,Q4_K_M,quantization_trial__060d5c4eb7d5b0c7d7e78a05,quantization_pair__cca0e7fbd4277595ae0f905f,fec743f95c4386ca5a00a6e79db79f57d12329f02bce7cfff6a885b41b495e40,locked-dedup-cluster-5e904898cda6c2658fd0bc9d
