dedup_cluster_id,partition,payload_group_count,row_count,positive_rows,negative_rows,payload_group_ids
locked-dedup-cluster-1781dfd7668b363d8d97f42e,train,1,18,9,9,revision_v1_uuid_v4_014
locked-dedup-cluster-17900f3eff20bb84e24fa1da,validation,1,48,24,24,revision_v1_token_128_bit_hex_021
locked-dedup-cluster-17b404c37b394d8d4a9e904d,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_026
locked-dedup-cluster-19dcf15b574892a0afa24b9b,train,1,48,24,24,revision_v1_token_128_bit_hex_010
locked-dedup-cluster-1a58c45e1a5617daccb29f6e,validation,1,18,9,9,revision_v1_aes256_gcm_base64_035
locked-dedup-cluster-1b00f31aa1e45ecbdc304bed,train,1,18,9,9,revision_v1_uuid_v4_039
locked-dedup-cluster-1c027e58a52b7519b2a571c6,train,1,48,24,24,revision_v1_token_128_bit_hex_031
locked-dedup-cluster-1c5e48cb2077e92f40c9b731,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_020
locked-dedup-cluster-1d1bea482f900a9bc2d26310,train,1,48,24,24,revision_v1_nonce_96_bit_hex_037
locked-dedup-cluster-1d730332b470450b93b8b767,validation,1,48,24,24,revision_v1_hmac_sha256_hex_006
locked-dedup-cluster-1e608c8c5860067de2774eaa,validation,1,18,9,9,revision_v1_uuid_v4_008
locked-dedup-cluster-1ee4b534cd708fac58a4e520,train,1,18,9,9,revision_v1_ed25519_signature_base64_036
locked-dedup-cluster-1f1d3eb2576a9b41181f7d48,train,1,18,9,9,revision_v1_ed25519_signature_base64_006
locked-dedup-cluster-1faeac26a4e77e13b8350697,train,1,18,9,9,revision_v1_aes256_gcm_base64_024
locked-dedup-cluster-20f1129c0dccafc381ccb8ab,train,1,48,24,24,revision_v1_hmac_sha256_hex_005
locked-dedup-cluster-21724430ac9765521f1234e5,validation,1,48,24,24,revision_v1_token_128_bit_hex_056
locked-dedup-cluster-21c1f1723b6238ac14216880,train,1,18,9,9,revision_v1_uuid_v4_042
locked-dedup-cluster-21fa4e155104085745014555,train,1,18,9,9,revision_v1_uuid_v4_012
locked-dedup-cluster-23688669a27f472f3b4c7be0,validation,1,18,9,9,revision_v1_uuid_v4_038
locked-dedup-cluster-237faafa65b49354f2811074,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_042
locked-dedup-cluster-23821a91b342f8bd757bd354,validation,1,18,9,9,revision_v1_aes256_gcm_base64_009
locked-dedup-cluster-24417433e41542e23709f998,train,1,18,9,9,revision_v1_aes256_gcm_base64_054
locked-dedup-cluster-2474b2a532180733b2583cc4,train,1,18,9,9,revision_v1_uuid_v4_059
locked-dedup-cluster-258822e2bc498a71b7653506,train,1,48,24,24,revision_v1_nonce_96_bit_hex_045
locked-dedup-cluster-25ae348877bb99733ecb8289,train,1,48,24,24,revision_v1_token_128_bit_hex_028
locked-dedup-cluster-25e8125b00cb0a0fe72d530a,train,1,48,24,24,revision_v1_token_128_bit_hex_049
locked-dedup-cluster-264514c281dbf7eaf3db5a9b,train,1,48,24,24,revision_v1_nonce_96_bit_hex_008
locked-dedup-cluster-26a129b97d4ffc80e5e758e5,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_006
locked-dedup-cluster-26d0e390c431894214a50804,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_004
locked-dedup-cluster-2742a41454b76598cec25032,train,1,18,9,9,revision_v1_aes256_gcm_base64_039
locked-dedup-cluster-285942776c1fc81e3d79c586,train,1,48,24,24,revision_v1_token_128_bit_hex_029
locked-dedup-cluster-289cb121ffaed5b7a8eb664e,train,1,48,24,24,revision_v1_sha256_hex_024
locked-dedup-cluster-293af84a525a989c1fd53cf4,train,1,48,24,24,revision_v1_nonce_96_bit_hex_000
locked-dedup-cluster-297821525cb8031a3660626d,test,1,50,25,25,revision_v1_nonce_96_bit_hex_041
locked-dedup-cluster-298834ce3caac8f77b13ddc3,validation,1,18,9,9,revision_v1_aes256_gcm_base64_031
locked-dedup-cluster-29c142135fcd9e43d47798a3,train,1,18,9,9,revision_v1_aes256_gcm_base64_021
locked-dedup-cluster-2aa3aac2fa4cdded60a5c2ab,train,1,48,24,24,revision_v1_nonce_96_bit_hex_002
locked-dedup-cluster-2ace1c64a1335a57eda0b657,train,1,48,24,24,revision_v1_hmac_sha256_hex_019
locked-dedup-cluster-2cbabc692dc6ff8a977e3e4f,train,1,48,24,24,revision_v1_sha256_hex_043
locked-dedup-cluster-2d9d097dd5855bbaaef4a9e2,train,1,18,9,9,revision_v1_aes256_gcm_base64_055
locked-dedup-cluster-2e2ec68963e479ffd3172011,validation,1,18,9,9,revision_v1_ed25519_signature_base64_005
locked-dedup-cluster-2e7d99fd9725bfe34589eec7,train,1,18,9,9,revision_v1_aes256_gcm_base64_027
locked-dedup-cluster-2e7f1969791ae609498a9082,validation,1,48,24,24,revision_v1_hmac_sha256_hex_020
locked-dedup-cluster-2ee7d2b2fa2407f56cfb47c8,train,1,18,9,9,revision_v1_uuid_v4_007
locked-dedup-cluster-2f91866a4152689c8a27b0ea,train,1,48,24,24,revision_v1_nonce_96_bit_hex_040
locked-dedup-cluster-2fcac7a638272d463a4d7e6e,train,1,18,9,9,revision_v1_uuid_v4_013
locked-dedup-cluster-3153c3799d1bf60fd0f41b4a,train,1,18,9,9,revision_v1_uuid_v4_046
locked-dedup-cluster-3181d96a4efbe8425655dcfb,train,1,46,23,23,revision_v1_nonce_96_bit_hex_015
locked-dedup-cluster-3183abcc6e5201e56799ccce,train,1,18,9,9,revision_v1_ed25519_signature_base64_031
locked-dedup-cluster-326b9482149ce2821475fa6b,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_052
locked-dedup-cluster-32ad4bf593b222d70a8ca962,validation,1,48,24,24,revision_v1_hmac_sha256_hex_053
locked-dedup-cluster-3335ecdbe689059d042192cb,train,1,18,9,9,revision_v1_ed25519_signature_base64_009
locked-dedup-cluster-339659e6d45626f95acf4c5b,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_052
locked-dedup-cluster-350f56cec0b3e16d3d5fc6a2,train,1,18,9,9,revision_v1_ed25519_signature_base64_030
locked-dedup-cluster-35392cac93c5f9b5bfbab99c,train,1,48,24,24,revision_v1_nonce_96_bit_hex_014
locked-dedup-cluster-357353b9c6b8da3922f5c452,validation,1,18,9,9,revision_v1_ed25519_signature_base64_025
locked-dedup-cluster-368ee7b8567a10e29dd2e108,train,1,48,24,24,revision_v1_hmac_sha256_hex_015
locked-dedup-cluster-37d4a9d7e9509ca2f58035f8,validation,1,48,24,24,revision_v1_hmac_sha256_hex_022
locked-dedup-cluster-3a0a1fbb2f1e595586ccdf82,train,1,48,24,24,revision_v1_sha256_hex_010
locked-dedup-cluster-3a9dc163b8daa77eacd7d383,train,1,18,9,9,revision_v1_ed25519_signature_base64_052
locked-dedup-cluster-3c30c7aa7f5971e6cc065e81,train,1,18,9,9,revision_v1_ed25519_signature_base64_010
locked-dedup-cluster-3e7ebbcc4ca1c26b2196e44d,train,1,48,24,24,revision_v1_token_128_bit_hex_048
locked-dedup-cluster-3f1509f18c269716bcce76a3,validation,1,18,9,9,revision_v1_aes256_gcm_base64_050
locked-dedup-cluster-403c836b92dc86a3f953e63f,train,1,48,24,24,revision_v1_token_128_bit_hex_047
locked-dedup-cluster-40d7dc0aae7327885c0b7431,validation,1,18,9,9,revision_v1_aes256_gcm_base64_057
locked-dedup-cluster-40e5120d4f60e4ede685f18a,train,1,48,24,24,revision_v1_token_128_bit_hex_007
locked-dedup-cluster-40f1050b751f94d4062ce3bb,validation,1,18,9,9,revision_v1_aes256_gcm_base64_032
locked-dedup-cluster-413d392f2aa3e500c54bddc4,train,1,48,24,24,revision_v1_hmac_sha256_hex_018
locked-dedup-cluster-418e1dfdad8a13fa38873592,test,1,34,17,17,revision_v1_chacha20_poly1305_base64_003
locked-dedup-cluster-436b61eb0048318126940f75,train,1,48,24,24,revision_v1_sha256_hex_030
locked-dedup-cluster-4380dc71001b76d2dbf645fb,train,1,18,9,9,revision_v1_aes256_gcm_base64_052
locked-dedup-cluster-453a184945dac302c7f55dd6,train,2,96,48,48,revision_v1_nonce_96_bit_hex_028;revision_v1_nonce_96_bit_hex_046
locked-dedup-cluster-45b84fe75a137171236cd725,train,1,18,9,9,revision_v1_ed25519_signature_base64_016
locked-dedup-cluster-480569e564e6de62c0580300,train,1,48,24,24,revision_v1_nonce_96_bit_hex_039
locked-dedup-cluster-4817ec6f6efc6d01ff08b87a,train,1,18,9,9,revision_v1_uuid_v4_045
locked-dedup-cluster-484bc3854d49e18198bd3802,validation,1,48,24,24,revision_v1_hmac_sha256_hex_050
locked-dedup-cluster-48d7da6cd06bde46d05aad3f,validation,1,48,24,24,revision_v1_sha256_hex_056
locked-dedup-cluster-4c28e47b564bf96204233202,train,2,96,48,48,revision_v1_nonce_96_bit_hex_016;revision_v1_nonce_96_bit_hex_034
locked-dedup-cluster-4c7d81d9bc771045be64324c,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_001
locked-dedup-cluster-4d40e326d7399fcc1c49ba05,train,1,48,24,24,revision_v1_token_128_bit_hex_019
locked-dedup-cluster-4df1f95590c9f69533ae0634,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_027
locked-dedup-cluster-4e034b2df94f3bce3978af77,train,1,18,9,9,revision_v1_ed25519_signature_base64_013
locked-dedup-cluster-4e2e4e0545cae53bd532dcac,train,1,48,24,24,revision_v1_token_128_bit_hex_017
locked-dedup-cluster-4f6ab2ce0956867e1b0b1bad,validation,1,48,24,24,revision_v1_hmac_sha256_hex_043
locked-dedup-cluster-50ab6dea883c4952de95b49b,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_015
locked-dedup-cluster-51612ff886a1985457334a6f,train,1,48,24,24,revision_v1_sha256_hex_045
locked-dedup-cluster-518372beb501e1afe511974a,train,1,18,9,9,revision_v1_ed25519_signature_base64_044
locked-dedup-cluster-525f817201e5e26510c04739,validation,1,18,9,9,revision_v1_uuid_v4_017
locked-dedup-cluster-52963627407681e7c4ece2c5,train,1,48,24,24,revision_v1_token_128_bit_hex_025
locked-dedup-cluster-533495c4f60d6dccefa19155,train,1,18,9,9,revision_v1_aes256_gcm_base64_010
locked-dedup-cluster-53ddb375f906007b9492f105,validation,1,48,24,24,revision_v1_sha256_hex_033
locked-dedup-cluster-5420f0d18e8c16b21f01be4f,train,1,48,24,24,revision_v1_token_128_bit_hex_042
locked-dedup-cluster-54d0f843ac4646811be4dfd1,validation,1,48,24,24,revision_v1_sha256_hex_000
locked-dedup-cluster-55345c512ba5df1abfba2a80,train,1,48,24,24,revision_v1_hmac_sha256_hex_014
locked-dedup-cluster-55a3420c3cf18c5d482392ab,train,1,48,24,24,revision_v1_hmac_sha256_hex_017
locked-dedup-cluster-55acd2f82bdb2dd6b130330f,train,1,48,24,24,revision_v1_token_128_bit_hex_016
locked-dedup-cluster-5650c0ad5d795f7721100b4c,validation,1,18,9,9,revision_v1_uuid_v4_024
locked-dedup-cluster-56c311ab24e3b4956d5a8d34,train,1,18,9,9,revision_v1_ed25519_signature_base64_045
locked-dedup-cluster-58b9073d1fd85a24e498b5bf,train,1,48,24,24,revision_v1_sha256_hex_038
locked-dedup-cluster-58ca8ceb2539f670c4e1a986,train,1,48,24,24,revision_v1_sha256_hex_026
locked-dedup-cluster-5968e9780c1d0681b9d154f2,train,1,48,24,24,revision_v1_token_128_bit_hex_026
locked-dedup-cluster-59f7511f5e7a9e62060c4324,validation,1,18,9,9,revision_v1_uuid_v4_058
locked-dedup-cluster-5ace189a35be6720f7c9dc5e,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_057
locked-dedup-cluster-5ae1b95f0332b244ff08dd13,train,1,48,24,24,revision_v1_hmac_sha256_hex_012
locked-dedup-cluster-5b9b2d73a426c098349b9925,train,1,48,24,24,revision_v1_token_128_bit_hex_005
locked-dedup-cluster-5c707906476e8093ab209bdf,validation,1,18,9,9,revision_v1_ed25519_signature_base64_020
locked-dedup-cluster-5e904898cda6c2658fd0bc9d,train,1,18,9,9,revision_v1_uuid_v4_055
locked-dedup-cluster-5f0cd6b1a9d8235c820e11b5,train,4,192,96,96,revision_v1_hmac_sha256_hex_033;revision_v1_nonce_96_bit_hex_026;revision_v1_sha256_hex_042;revision_v1_token_128_bit_hex_000
locked-dedup-cluster-6011fbb5ee1115e93ddfe3e1,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_047
locked-dedup-cluster-60a1e2f88d4e40514869d20f,validation,1,18,9,9,revision_v1_ed25519_signature_base64_051
locked-dedup-cluster-6136de4e90d44eb994005d2a,validation,1,18,9,9,revision_v1_uuid_v4_051
locked-dedup-cluster-6207de2bb67165a380b5bd3b,train,1,18,9,9,revision_v1_aes256_gcm_base64_023
locked-dedup-cluster-631342e4862923cce8d3242b,validation,1,48,24,24,revision_v1_sha256_hex_029
locked-dedup-cluster-649f177e20db0a267e158906,train,1,48,24,24,revision_v1_nonce_96_bit_hex_050
locked-dedup-cluster-64e6b1587450c6fccb5d88c5,train,1,18,9,9,revision_v1_ed25519_signature_base64_040
locked-dedup-cluster-65013d8ab56fb66bbe2528d5,train,1,48,24,24,revision_v1_token_128_bit_hex_011
locked-dedup-cluster-66c4eb99135fbceacbf5708b,train,1,48,24,24,revision_v1_token_128_bit_hex_059
locked-dedup-cluster-677b931ede46b422796a024f,train,1,48,24,24,revision_v1_token_128_bit_hex_050
locked-dedup-cluster-68e08a4fc96aff3403abad93,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_031
locked-dedup-cluster-691944dd6d54c8dd88e935be,train,1,48,24,24,revision_v1_token_128_bit_hex_024
locked-dedup-cluster-691d7161aa6fe32d6406cdeb,train,1,48,24,24,revision_v1_sha256_hex_006
locked-dedup-cluster-6ace02c4c66fff411127a281,validation,1,48,24,24,revision_v1_token_128_bit_hex_012
locked-dedup-cluster-6b805c474348cfd0b211f1cc,train,1,18,9,9,revision_v1_ed25519_signature_base64_019
locked-dedup-cluster-6c21ad65fb4bd1a4c214a454,train,1,48,24,24,revision_v1_sha256_hex_037
locked-dedup-cluster-6ce30f9a3e80626084969f2a,validation,1,18,9,9,revision_v1_ed25519_signature_base64_043
locked-dedup-cluster-6d140bf45feadd3404291e51,validation,1,18,9,9,revision_v1_uuid_v4_049
locked-dedup-cluster-6df69e2fbbbb2d88163d8a00,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_050
locked-dedup-cluster-6e0b8436371511e39a591dd3,train,1,48,24,24,revision_v1_nonce_96_bit_hex_033
locked-dedup-cluster-7013f31d35e44236cba4d7ef,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_009
locked-dedup-cluster-70802306a6dea487ae41327f,test,1,52,26,26,revision_v1_token_128_bit_hex_003
locked-dedup-cluster-71bc4fc09af90c21eeb15adb,train,1,48,24,24,revision_v1_hmac_sha256_hex_025
locked-dedup-cluster-725b5797405341915f74ba63,validation,1,48,24,24,revision_v1_token_128_bit_hex_006
locked-dedup-cluster-729f0f62c71d15bb8d8f7eff,validation,1,48,24,24,revision_v1_token_128_bit_hex_004
locked-dedup-cluster-72a697706958756a5d98abe5,validation,1,18,9,9,revision_v1_aes256_gcm_base64_042
locked-dedup-cluster-72d6aaa27e96ad1608b1c89d,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_039
locked-dedup-cluster-735807dfd4ebac001f31dd39,train,1,48,24,24,revision_v1_hmac_sha256_hex_052
locked-dedup-cluster-74a6b9f9e3047bf7067f2ba2,validation,1,18,9,9,revision_v1_aes256_gcm_base64_047
locked-dedup-cluster-754643818e5a492752b2f68b,train,1,18,9,9,revision_v1_uuid_v4_021
locked-dedup-cluster-77e64a1fb148be2642a948e8,train,1,48,24,24,revision_v1_token_128_bit_hex_013
locked-dedup-cluster-78148862add6c3b623760083,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_021
locked-dedup-cluster-78226dcecb7d7df1214b9e71,train,1,48,24,24,revision_v1_sha256_hex_058
locked-dedup-cluster-796ee459977f55ca3b94eaa1,train,1,48,24,24,revision_v1_token_128_bit_hex_032
locked-dedup-cluster-7a739c5c75c908debc1b077f,test,1,52,26,26,revision_v1_hmac_sha256_hex_003
locked-dedup-cluster-7aae3a6d1c11ecb6700a986d,train,1,48,24,24,revision_v1_sha256_hex_036
locked-dedup-cluster-7ace65ec425e390c50b53396,train,1,18,9,9,revision_v1_ed25519_signature_base64_055
locked-dedup-cluster-7b246cd70d98090e5c3adbcc,train,1,48,24,24,revision_v1_sha256_hex_047
locked-dedup-cluster-7b810f2afbcabc7ee462bff7,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_023
locked-dedup-cluster-7bbf6d003292b99a731441ed,test,1,52,26,26,revision_v1_token_128_bit_hex_041
locked-dedup-cluster-7c650d38321313478e14a048,train,1,48,24,24,revision_v1_nonce_96_bit_hex_054
locked-dedup-cluster-7c84aa0ced3be32342082f66,validation,1,18,9,9,revision_v1_uuid_v4_002
locked-dedup-cluster-7dd65f82d64ca3f657bccc38,train,1,48,24,24,revision_v1_hmac_sha256_hex_021
locked-dedup-cluster-7f7ec4fb795474b733abd459,train,1,48,24,24,revision_v1_hmac_sha256_hex_026
locked-dedup-cluster-804389a06ddc24189a12fcd5,test,1,32,16,16,revision_v1_chacha20_poly1305_base64_041
locked-dedup-cluster-806ae3004566363e09bd2ec0,train,1,48,24,24,revision_v1_sha256_hex_019
locked-dedup-cluster-809b97287e736b1184c31853,train,1,18,9,9,revision_v1_uuid_v4_000
locked-dedup-cluster-80d681973cacd2decbba4986,train,1,48,24,24,revision_v1_sha256_hex_052
locked-dedup-cluster-8150a67016c09420f58d3140,validation,1,48,24,24,revision_v1_sha256_hex_053
locked-dedup-cluster-819aab271d3e41bdbd6acc2f,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_002
locked-dedup-cluster-82fec35853ec8d44cf04cce4,train,1,48,24,24,revision_v1_hmac_sha256_hex_044
locked-dedup-cluster-8372a615906d4a4146d45c75,validation,1,18,9,9,revision_v1_aes256_gcm_base64_005
locked-dedup-cluster-83f537037e2fb1c34fefbee5,train,1,48,24,24,revision_v1_hmac_sha256_hex_024
locked-dedup-cluster-847d23bf1ef334bb559efd28,validation,1,18,9,9,revision_v1_aes256_gcm_base64_000
locked-dedup-cluster-85408c5a1c55422d408f6f47,train,1,48,24,24,revision_v1_hmac_sha256_hex_054
locked-dedup-cluster-860f29e67b6cb940e356f2ba,train,1,48,24,24,revision_v1_nonce_96_bit_hex_048
locked-dedup-cluster-867a65d0f008b4b77622e544,train,1,48,24,24,revision_v1_nonce_96_bit_hex_021
locked-dedup-cluster-867b2f4c828e3e0523487402,train,1,48,24,24,revision_v1_hmac_sha256_hex_048
locked-dedup-cluster-8749f407554a40ca952f5b64,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_022
locked-dedup-cluster-895f397b7b83bd34e4862c58,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_033
locked-dedup-cluster-897bd4c0922eb43a17664a25,validation,1,18,9,9,revision_v1_aes256_gcm_base64_025
locked-dedup-cluster-897f9dc11f3bf925b4177e79,train,2,66,33,33,revision_v1_sha256_hex_028;revision_v1_uuid_v4_005
locked-dedup-cluster-8ad9f56d5faadf75901921eb,train,3,144,72,72,revision_v1_nonce_96_bit_hex_020;revision_v1_nonce_96_bit_hex_038;revision_v1_nonce_96_bit_hex_056
locked-dedup-cluster-8b36378c961acd2644813ff5,train,1,48,24,24,revision_v1_hmac_sha256_hex_011
locked-dedup-cluster-8bfe7043c327d3a82a41f9ad,validation,1,18,9,9,revision_v1_ed25519_signature_base64_050
locked-dedup-cluster-8e2517efc5b5e889502e61a2,train,1,48,24,24,revision_v1_hmac_sha256_hex_058
locked-dedup-cluster-8ef4c9a3ea33be45b4f5666a,train,1,18,9,9,revision_v1_aes256_gcm_base64_012
locked-dedup-cluster-8fab3afe7244436f9bd1fad6,train,1,18,9,9,revision_v1_uuid_v4_009
locked-dedup-cluster-912ff88210394ef10071ff54,train,1,18,9,9,revision_v1_ed25519_signature_base64_039
locked-dedup-cluster-9218fa6b0d126bc131caef49,train,1,18,9,9,revision_v1_uuid_v4_033
locked-dedup-cluster-921ce973e5ad81a19c867c59,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_055
locked-dedup-cluster-92db4da9195620c7435535fe,validation,1,18,9,9,revision_v1_ed25519_signature_base64_008
locked-dedup-cluster-9309c13a3cd92781ed630582,train,1,48,24,24,revision_v1_token_128_bit_hex_040
locked-dedup-cluster-96928faedd40703b8bea346c,train,1,18,9,9,revision_v1_ed25519_signature_base64_053
locked-dedup-cluster-96979a86e18205acbaf6670b,train,1,48,24,24,revision_v1_sha256_hex_050
locked-dedup-cluster-96f03366a1bc639d45b09062,train,1,48,24,24,revision_v1_sha256_hex_044
locked-dedup-cluster-9795d6040c277941676a455e,test,1,54,27,27,revision_v1_nonce_96_bit_hex_003
locked-dedup-cluster-97be7d710b952352309b8ed9,train,1,18,9,9,revision_v1_uuid_v4_030
locked-dedup-cluster-982d753609ba3daf81c7d866,validation,1,48,24,24,revision_v1_sha256_hex_046
locked-dedup-cluster-9984a5aa196e508c10aeda3a,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_043
locked-dedup-cluster-9a0bd04c9a8c93220ac5f651,train,1,48,24,24,revision_v1_sha256_hex_005
locked-dedup-cluster-9b8e2659fd534e6fb2b81afc,validation,1,18,9,9,revision_v1_ed25519_signature_base64_027
locked-dedup-cluster-9d3eb2fbe5513f370ee0d0ea,train,1,48,24,24,revision_v1_nonce_96_bit_hex_051
locked-dedup-cluster-9e865129af4def1fc2a2442c,validation,1,18,9,9,revision_v1_ed25519_signature_base64_017
locked-dedup-cluster-9f2700a571f51133cc69754b,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_019
locked-dedup-cluster-9fb55cb9331ccdfa323bdbd1,train,1,48,24,24,revision_v1_hmac_sha256_hex_059
locked-dedup-cluster-a1abcb49aa12280f617295a6,validation,1,48,24,24,revision_v1_sha256_hex_034
locked-dedup-cluster-a1f09603de61d42b17c60f90,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_058
locked-dedup-cluster-a2b2305f32aed49b82a74ffb,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_051
locked-dedup-cluster-a30012a117157378dab7a070,train,1,18,9,9,revision_v1_ed25519_signature_base64_057
locked-dedup-cluster-a34a1c3f812dbedb8252c73c,validation,1,18,9,9,revision_v1_ed25519_signature_base64_015
locked-dedup-cluster-a3bf6a27ed0073b013821121,train,1,18,9,9,revision_v1_uuid_v4_057
locked-dedup-cluster-a48427d79245576d2f3745ad,train,1,18,9,9,revision_v1_chacha20_poly1305_base64_054
locked-dedup-cluster-a48caa544001e5d183a57eea,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_049
locked-dedup-cluster-a518c0db7bd9dc8b2ff3b50a,validation,1,18,9,9,revision_v1_uuid_v4_010
locked-dedup-cluster-a573a5d868303e7f802ba83e,validation,1,18,9,9,revision_v1_chacha20_poly1305_base64_008
locked-dedup-cluster-a61644eef89a030fc84fbe0c,train,1,48,24,24,revision_v1_sha256_hex_013
locked-dedup-cluster-a6b7f1d80abc7d894355fefa,train,1,48,24,24,revision_v1_nonce_96_bit_hex_009
locked-dedup-cluster-a70c2199fe9757fc3a965e41,test,1,52,26,26,revision_v1_sha256_hex_041
locked-dedup-cluster-a725abc1dbcf22130164dbb4,train,1,18,9,9,revision_v1_aes256_gcm_base64_001
locked-dedup-cluster-a877ac9e15d9982c5f795957,validation,1,48,24,24,revision_v1_sha256_hex_048
locked-dedup-cluster-a9a56840e2c7d4a59a486e62,validation,1,48,24,24,revision_v1_nonce_96_bit_hex_025
locked-dedup-cluster-aa773fd160a6f70eb55e432d,train,1,48,24,24,revision_v1_sha256_hex_002
locked-dedup-cluster-ab6fe4fd3367e9ed520f002c,train,1,18,9,9,revision_v1_ed25519_signature_base64_032
