plan_id,start,stop,length
entropy_trial__65fa991a5caba02457a5ff2a,74,75,1
entropy_trial__65fa991a5caba02457a5ff2a,104,105,1
entropy_trial__65fa991a5caba02457a5ff2a,107,109,2
entropy_trial__65fa991a5caba02457a5ff2a,119,120,1
entropy_trial__65fa991a5caba02457a5ff2a,125,126,1
entropy_trial__65fa991a5caba02457a5ff2a,127,129,2
entropy_trial__65fa991a5caba02457a5ff2a,134,135,1
entropy_trial__65fa991a5caba02457a5ff2a,140,141,1
entropy_trial__65fa991a5caba02457a5ff2a,143,144,1
entropy_trial__65fa991a5caba02457a5ff2a,145,146,1
entropy_trial__65fa991a5caba02457a5ff2a,147,149,2
entropy_trial__65fa991a5caba02457a5ff2a,151,152,1
entropy_trial__65fa991a5caba02457a5ff2a,157,158,1
entropy_trial__7a501c8e9eb327d50bad30d9,1,2,1
entropy_trial__7a501c8e9eb327d50bad30d9,3,5,2
entropy_trial__7a501c8e9eb327d50bad30d9,9,10,1
entropy_trial__7a501c8e9eb327d50bad30d9,11,12,1
entropy_trial__7a501c8e9eb327d50bad30d9,15,17,2
entropy_trial__7a501c8e9eb327d50bad30d9,29,30,1
entropy_trial__7a501c8e9eb327d50bad30d9,37,38,1
entropy_trial__7a501c8e9eb327d50bad30d9,39,40,1
entropy_trial__7a501c8e9eb327d50bad30d9,44,45,1
entropy_trial__7a501c8e9eb327d50bad30d9,46,47,1
entropy_trial__7a501c8e9eb327d50bad30d9,50,53,3
entropy_trial__7a501c8e9eb327d50bad30d9,59,61,2
entropy_trial__7a501c8e9eb327d50bad30d9,63,65,2
entropy_trial__7a501c8e9eb327d50bad30d9,71,72,1
entropy_trial__7a501c8e9eb327d50bad30d9,78,80,2
entropy_trial__7a501c8e9eb327d50bad30d9,83,85,2
entropy_trial__7a501c8e9eb327d50bad30d9,92,93,1
entropy_trial__7a501c8e9eb327d50bad30d9,97,98,1
entropy_trial__7a501c8e9eb327d50bad30d9,100,101,1
entropy_trial__7a501c8e9eb327d50bad30d9,113,114,1
entropy_trial__7a501c8e9eb327d50bad30d9,116,117,1
entropy_trial__7a501c8e9eb327d50bad30d9,120,121,1
entropy_trial__7a501c8e9eb327d50bad30d9,131,132,1
entropy_trial__7a501c8e9eb327d50bad30d9,139,140,1
entropy_trial__7a501c8e9eb327d50bad30d9,145,146,1
entropy_trial__7a501c8e9eb327d50bad30d9,151,152,1
entropy_trial__7a501c8e9eb327d50bad30d9,153,155,2
entropy_trial__7a501c8e9eb327d50bad30d9,158,159,1
entropy_trial__7a501c8e9eb327d50bad30d9,163,164,1
entropy_trial__93aee317cd29dda082df9e36,2,4,2
entropy_trial__93aee317cd29dda082df9e36,5,6,1
entropy_trial__93aee317cd29dda082df9e36,7,9,2
entropy_trial__93aee317cd29dda082df9e36,10,12,2
entropy_trial__93aee317cd29dda082df9e36,13,16,3
entropy_trial__93aee317cd29dda082df9e36,17,35,18
entropy_trial__93aee317cd29dda082df9e36,36,52,16
entropy_trial__93aee317cd29dda082df9e36,53,55,2
entropy_trial__93aee317cd29dda082df9e36,56,58,2
entropy_trial__93aee317cd29dda082df9e36,59,70,11
entropy_trial__93aee317cd29dda082df9e36,71,77,6
entropy_trial__93aee317cd29dda082df9e36,78,98,20
entropy_trial__93aee317cd29dda082df9e36,99,104,5
entropy_trial__93aee317cd29dda082df9e36,105,107,2
entropy_trial__93aee317cd29dda082df9e36,108,109,1
entropy_trial__93aee317cd29dda082df9e36,110,114,4
entropy_trial__93aee317cd29dda082df9e36,115,120,5
entropy_trial__93aee317cd29dda082df9e36,121,122,1
entropy_trial__93aee317cd29dda082df9e36,123,128,5
entropy_trial__93aee317cd29dda082df9e36,129,130,1
entropy_trial__93aee317cd29dda082df9e36,131,134,3
entropy_trial__93aee317cd29dda082df9e36,135,138,3
entropy_trial__93aee317cd29dda082df9e36,139,140,1
entropy_trial__93aee317cd29dda082df9e36,141,149,8
entropy_trial__93aee317cd29dda082df9e36,150,157,7
entropy_trial__93aee317cd29dda082df9e36,158,162,4
entropy_trial__93aee317cd29dda082df9e36,163,173,10
entropy_trial__93aee317cd29dda082df9e36,174,209,35
entropy_trial__93aee317cd29dda082df9e36,210,211,1
entropy_trial__93aee317cd29dda082df9e36,213,216,3
entropy_trial__93aee317cd29dda082df9e36,217,230,13
entropy_trial__93aee317cd29dda082df9e36,231,239,8
entropy_trial__93aee317cd29dda082df9e36,240,244,4
entropy_trial__93aee317cd29dda082df9e36,245,246,1
entropy_trial__93aee317cd29dda082df9e36,247,255,8
entropy_trial__93aee317cd29dda082df9e36,258,259,1
entropy_trial__93aee317cd29dda082df9e36,265,269,4
entropy_trial__93aee317cd29dda082df9e36,272,274,2
entropy_trial__93aee317cd29dda082df9e36,275,276,1
entropy_trial__93aee317cd29dda082df9e36,278,280,2
entropy_trial__93aee317cd29dda082df9e36,284,286,2
entropy_trial__93aee317cd29dda082df9e36,287,289,2
entropy_trial__93aee317cd29dda082df9e36,290,291,1
entropy_trial__93aee317cd29dda082df9e36,292,294,2
entropy_trial__93aee317cd29dda082df9e36,295,302,7
entropy_trial__93aee317cd29dda082df9e36,303,317,14
entropy_trial__93aee317cd29dda082df9e36,318,321,3
entropy_trial__93aee317cd29dda082df9e36,322,325,3
entropy_trial__93aee317cd29dda082df9e36,326,328,2
entropy_trial__93aee317cd29dda082df9e36,329,333,4
entropy_trial__93aee317cd29dda082df9e36,334,339,5
entropy_trial__93aee317cd29dda082df9e36,340,341,1
entropy_trial__93aee317cd29dda082df9e36,342,344,2
entropy_trial__93aee317cd29dda082df9e36,345,346,1
entropy_trial__93aee317cd29dda082df9e36,348,349,1
entropy_trial__941eed91360afbdc8a26bf09,4,5,1
entropy_trial__941eed91360afbdc8a26bf09,8,10,2
entropy_trial__941eed91360afbdc8a26bf09,11,12,1
entropy_trial__941eed91360afbdc8a26bf09,13,14,1
entropy_trial__941eed91360afbdc8a26bf09,15,18,3
entropy_trial__941eed91360afbdc8a26bf09,20,25,5
entropy_trial__941eed91360afbdc8a26bf09,26,29,3
entropy_trial__941eed91360afbdc8a26bf09,30,32,2
entropy_trial__941eed91360afbdc8a26bf09,33,34,1
entropy_trial__941eed91360afbdc8a26bf09,35,63,28
entropy_trial__941eed91360afbdc8a26bf09,64,71,7
entropy_trial__941eed91360afbdc8a26bf09,72,75,3
entropy_trial__941eed91360afbdc8a26bf09,76,80,4
entropy_trial__941eed91360afbdc8a26bf09,81,84,3
entropy_trial__941eed91360afbdc8a26bf09,85,92,7
entropy_trial__941eed91360afbdc8a26bf09,93,94,1
entropy_trial__941eed91360afbdc8a26bf09,95,99,4
entropy_trial__941eed91360afbdc8a26bf09,100,102,2
entropy_trial__941eed91360afbdc8a26bf09,104,109,5
entropy_trial__941eed91360afbdc8a26bf09,116,117,1
entropy_trial__941eed91360afbdc8a26bf09,122,127,5
entropy_trial__941eed91360afbdc8a26bf09,128,130,2
entropy_trial__941eed91360afbdc8a26bf09,131,132,1
entropy_trial__941eed91360afbdc8a26bf09,135,137,2
entropy_trial__941eed91360afbdc8a26bf09,139,140,1
entropy_trial__941eed91360afbdc8a26bf09,141,149,8
entropy_trial__941eed91360afbdc8a26bf09,151,154,3
entropy_trial__941eed91360afbdc8a26bf09,155,159,4
entropy_trial__941eed91360afbdc8a26bf09,162,179,17
entropy_trial__941eed91360afbdc8a26bf09,180,185,5
entropy_trial__941eed91360afbdc8a26bf09,189,191,2
entropy_trial__941eed91360afbdc8a26bf09,192,193,1
entropy_trial__941eed91360afbdc8a26bf09,194,196,2
entropy_trial__941eed91360afbdc8a26bf09,197,199,2
entropy_trial__941eed91360afbdc8a26bf09,201,204,3
entropy_trial__941eed91360afbdc8a26bf09,205,206,1
entropy_trial__941eed91360afbdc8a26bf09,207,209,2
entropy_trial__941eed91360afbdc8a26bf09,211,215,4
entropy_trial__941eed91360afbdc8a26bf09,217,221,4
entropy_trial__941eed91360afbdc8a26bf09,222,234,12
entropy_trial__941eed91360afbdc8a26bf09,235,237,2
entropy_trial__941eed91360afbdc8a26bf09,240,244,4
entropy_trial__941eed91360afbdc8a26bf09,247,249,2
entropy_trial__941eed91360afbdc8a26bf09,251,254,3
entropy_trial__941eed91360afbdc8a26bf09,255,257,2
entropy_trial__941eed91360afbdc8a26bf09,258,272,14
entropy_trial__941eed91360afbdc8a26bf09,273,300,27
entropy_trial__941eed91360afbdc8a26bf09,301,309,8
entropy_trial__941eed91360afbdc8a26bf09,310,316,6
entropy_trial__941eed91360afbdc8a26bf09,317,328,11
entropy_trial__941eed91360afbdc8a26bf09,330,335,5
entropy_trial__941eed91360afbdc8a26bf09,336,344,8
entropy_trial__941eed91360afbdc8a26bf09,345,351,6
entropy_trial__941eed91360afbdc8a26bf09,352,371,19
entropy_trial__941eed91360afbdc8a26bf09,374,383,9
entropy_trial__941eed91360afbdc8a26bf09,384,385,1
entropy_trial__941eed91360afbdc8a26bf09,386,387,1
entropy_trial__941eed91360afbdc8a26bf09,388,390,2
entropy_trial__941eed91360afbdc8a26bf09,391,401,10
entropy_trial__941eed91360afbdc8a26bf09,403,404,1
entropy_trial__941eed91360afbdc8a26bf09,405,411,6
entropy_trial__941eed91360afbdc8a26bf09,412,413,1
entropy_trial__941eed91360afbdc8a26bf09,414,415,1
entropy_trial__941eed91360afbdc8a26bf09,416,418,2
entropy_trial__941eed91360afbdc8a26bf09,419,582,163
entropy_trial__941eed91360afbdc8a26bf09,583,584,1
entropy_trial__941eed91360afbdc8a26bf09,585,586,1
entropy_trial__941eed91360afbdc8a26bf09,587,610,23
entropy_trial__941eed91360afbdc8a26bf09,611,632,21
entropy_trial__941eed91360afbdc8a26bf09,633,642,9
entropy_trial__941eed91360afbdc8a26bf09,643,645,2
entropy_trial__941eed91360afbdc8a26bf09,647,655,8
entropy_trial__941eed91360afbdc8a26bf09,656,663,7
entropy_trial__941eed91360afbdc8a26bf09,664,669,5
entropy_trial__941eed91360afbdc8a26bf09,670,682,12
entropy_trial__941eed91360afbdc8a26bf09,683,743,60
entropy_trial__941eed91360afbdc8a26bf09,744,768,24
entropy_trial__9ae150681b7e7347c8241d5a,2,4,2
entropy_trial__9ae150681b7e7347c8241d5a,5,7,2
entropy_trial__9ae150681b7e7347c8241d5a,10,11,1
entropy_trial__9ae150681b7e7347c8241d5a,13,17,4
entropy_trial__9ae150681b7e7347c8241d5a,18,19,1
entropy_trial__9ae150681b7e7347c8241d5a,20,22,2
entropy_trial__9ae150681b7e7347c8241d5a,23,31,8
entropy_trial__9ae150681b7e7347c8241d5a,32,35,3
entropy_trial__9ae150681b7e7347c8241d5a,36,75,39
entropy_trial__9ae150681b7e7347c8241d5a,76,77,1
entropy_trial__9ae150681b7e7347c8241d5a,78,79,1
entropy_trial__9ae150681b7e7347c8241d5a,80,81,1
entropy_trial__9ae150681b7e7347c8241d5a,82,84,2
entropy_trial__9ae150681b7e7347c8241d5a,85,87,2
entropy_trial__9ae150681b7e7347c8241d5a,88,97,9
entropy_trial__9ae150681b7e7347c8241d5a,98,135,37
entropy_trial__9ae150681b7e7347c8241d5a,136,149,13
entropy_trial__9ae150681b7e7347c8241d5a,150,153,3
entropy_trial__9ae150681b7e7347c8241d5a,154,156,2
entropy_trial__9ae150681b7e7347c8241d5a,158,163,5
entropy_trial__9ae150681b7e7347c8241d5a,164,172,8
entropy_trial__9ae150681b7e7347c8241d5a,173,201,28
entropy_trial__9ae150681b7e7347c8241d5a,203,210,7
entropy_trial__9ae150681b7e7347c8241d5a,211,227,16
entropy_trial__9ae150681b7e7347c8241d5a,228,232,4
entropy_trial__9ae150681b7e7347c8241d5a,233,269,36
entropy_trial__9ae150681b7e7347c8241d5a,270,272,2
entropy_trial__9ae150681b7e7347c8241d5a,273,287,14
entropy_trial__9ae150681b7e7347c8241d5a,289,290,1
entropy_trial__9ae150681b7e7347c8241d5a,292,296,4
entropy_trial__9ae150681b7e7347c8241d5a,297,305,8
entropy_trial__9ae150681b7e7347c8241d5a,306,308,2
entropy_trial__9ae150681b7e7347c8241d5a,309,311,2
entropy_trial__9ae150681b7e7347c8241d5a,313,319,6
entropy_trial__9ae150681b7e7347c8241d5a,320,321,1
entropy_trial__9ae150681b7e7347c8241d5a,322,325,3
entropy_trial__9ae150681b7e7347c8241d5a,326,332,6
entropy_trial__9ae150681b7e7347c8241d5a,333,341,8
entropy_trial__9ae150681b7e7347c8241d5a,342,345,3
entropy_trial__9ae150681b7e7347c8241d5a,346,351,5
entropy_trial__9ae150681b7e7347c8241d5a,353,356,3
entropy_trial__9ae150681b7e7347c8241d5a,357,364,7
entropy_trial__9ae150681b7e7347c8241d5a,365,368,3
entropy_trial__9ae150681b7e7347c8241d5a,369,384,15
entropy_trial__a2981193f295f0c404dba3c5,3,4,1
entropy_trial__a2981193f295f0c404dba3c5,5,7,2
entropy_trial__a2981193f295f0c404dba3c5,8,9,1
entropy_trial__a2981193f295f0c404dba3c5,13,15,2
entropy_trial__a2981193f295f0c404dba3c5,17,19,2
entropy_trial__a2981193f295f0c404dba3c5,22,23,1
entropy_trial__a2981193f295f0c404dba3c5,24,27,3
entropy_trial__a2981193f295f0c404dba3c5,28,32,4
entropy_trial__a2981193f295f0c404dba3c5,34,35,1
entropy_trial__a2981193f295f0c404dba3c5,36,39,3
entropy_trial__a2981193f295f0c404dba3c5,40,41,1
entropy_trial__a2981193f295f0c404dba3c5,42,46,4
entropy_trial__a2981193f295f0c404dba3c5,51,55,4
entropy_trial__a2981193f295f0c404dba3c5,62,64,2
entropy_trial__a2981193f295f0c404dba3c5,65,66,1
entropy_trial__a2981193f295f0c404dba3c5,68,74,6
entropy_trial__a2981193f295f0c404dba3c5,76,77,1
entropy_trial__a2981193f295f0c404dba3c5,78,80,2
entropy_trial__a2981193f295f0c404dba3c5,81,82,1
entropy_trial__a2981193f295f0c404dba3c5,83,84,1
entropy_trial__a2981193f295f0c404dba3c5,85,86,1
entropy_trial__a2981193f295f0c404dba3c5,87,89,2
entropy_trial__a2981193f295f0c404dba3c5,91,92,1
entropy_trial__a2981193f295f0c404dba3c5,93,95,2
entropy_trial__a2981193f295f0c404dba3c5,96,97,1
entropy_trial__a2981193f295f0c404dba3c5,98,100,2
entropy_trial__a2981193f295f0c404dba3c5,101,102,1
entropy_trial__a2981193f295f0c404dba3c5,103,105,2
entropy_trial__a2981193f295f0c404dba3c5,106,108,2
entropy_trial__a2981193f295f0c404dba3c5,110,112,2
entropy_trial__a2981193f295f0c404dba3c5,113,115,2
entropy_trial__a2981193f295f0c404dba3c5,116,119,3
entropy_trial__a2981193f295f0c404dba3c5,122,123,1
