report_status,source_artifact,source_sha256,Delta_B_nats_per_forced_token,H_bits,Q_B_nats_per_forced_token,Q_greedy_nats_per_forced_token,Q_rank_B_nats_per_forced_token,R_B_bits_per_forced_token,R_effective_bits_per_forced_plus_tail_token,alphabet_size_B,code_space_slack_bits,forced_context_count,literal_padding_bits,model_id,observed_n_forced,observed_n_tail,observed_rate_bits_per_forced_token,payload_name,protocol_variant,quality_status,rate_upper_bound_bits_per_forced_token,representation_name,theoretical_n_B,trial_id
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,4.0,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,32,0,4.0,revision_v1_token_128_bit_hex_005,nonseg_hex_nibble_b16,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__1f886446d8333cadc432
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.5765765765765766,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,64,380,4.0,revision_v1_sha256_hex_003,segmented_hex_single_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__1dee5a1637d5813833c5
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.3849624060150376,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,64,601,4.0,revision_v1_hmac_sha256_hex_015,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__b8a33ca0fa20e53059df
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.6666666666666666,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,24,120,4.0,revision_v1_nonce_96_bit_hex_009,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__7c77c89ca0168b631a29
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.3076923076923077,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,24,288,4.0,revision_v1_nonce_96_bit_hex_010,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__23039c8009c1f627ed30
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,1.2427184466019416,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,32,71,4.0,revision_v1_token_128_bit_hex_004,segmented_hex_multi_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__f1a7d6c165c3a6f5b00c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,4.0,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,64,0,4.0,revision_v1_sha256_hex_002,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__ad19c1de5cd61015bce9
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.8888888888888888,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,24,84,4.0,revision_v1_nonce_96_bit_hex_007,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__51f1b6b76c3168535706
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.32432432432432434,16,0.0,,0,qwen2_5_7b_instruct_q4_k_m,24,272,4.0,revision_v1_nonce_96_bit_hex_008,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__28a02a2d5be9b0b0ec4c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,288.0,,,,3.0,3.0,8,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,96,0,3.0,revision_v1_uuid_v4_013,nonseg_ascii_b8,,3.0,ascii_b8,96,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,512.0,,,,4.0,4.0,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,128,0,4.0,revision_v1_aes256_gcm_base64_007,nonseg_ascii_b16,,4.0,ascii_b16,128,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,4.0,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,24,0,4.0,revision_v1_nonce_96_bit_hex_011,nonseg_hex_nibble_b16,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,0.8707482993197279,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,32,115,4.0,revision_v1_token_128_bit_hex_005,segmented_hex_single_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.9552238805970149,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,64,204,4.0,revision_v1_sha256_hex_003,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.6666666666666666,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,24,120,4.0,revision_v1_nonce_96_bit_hex_008,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,256.0,,,,4.0,0.38095238095238093,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,64,608,4.0,revision_v1_sha256_hex_000,segmented_hex_multi_topic,,4.0,hex_nibble,64,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,4.0,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,32,0,4.0,revision_v1_token_128_bit_hex_004,segmented_hex_multi_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,96.0,,,,4.0,0.6857142857142857,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,24,116,4.0,revision_v1_nonce_96_bit_hex_006,segmented_hex_multi_topic,,4.0,hex_nibble,24,revision_v1_smoke_v3_payload_fidelity_v2__f0bb2c8cbca05d915e48
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,,128.0,,,,4.0,1.5421686746987953,16,0.0,,0,mistral_7b_instruct_v0_3_q4_k_m,32,51,4.0,revision_v1_token_128_bit_hex_000,segmented_hex_multi_topic,,4.0,hex_nibble,32,revision_v1_smoke_v3_payload_fidelity_v2__5c0057f4938b97a1a9ee
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.641496209303538,,7.417742680973514,1.776246471669976,,,,,,60,,llama3_8b_instruct_q4_k_m,,,,revision_v1_ed25519_signature_base64_017,direct_subword_calgacus,partially_evaluable,,direct_subword,,revision_v1_smoke_v3_payload_fidelity_v2__561e8276b841184fbf17
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,2.6147930125395455,,3.4775246579349113,0.8627316453953657,5.2546948193411085,,,8,,96,,llama3_8b_instruct_q4_k_m,,,,revision_v1_uuid_v4_015,nonseg_ascii_b8,validated,,ascii_b8,,revision_v1_smoke_v3_payload_fidelity_v2__e72534365baa8895bae0
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,2.7697250694036484,,3.9873135176982872,1.2175884482946362,5.59304505712652,,,16,,128,,llama3_8b_instruct_q4_k_m,,,,revision_v1_aes256_gcm_base64_009,nonseg_ascii_b16,validated,,ascii_b16,,revision_v1_smoke_v3_payload_fidelity_v2__707a25bae4837ced0fac
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.3256682455539703,,4.408034335083491,1.0823660895295217,5.592590610689648,,,16,,64,,llama3_8b_instruct_q4_k_m,,,,revision_v1_sha256_hex_003,nonseg_hex_nibble_b16,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__d27018e769db5eeecd4b
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.6341812163591385,,4.640531875542393,1.0063506591832538,6.498721488169422,,,16,,64,,llama3_8b_instruct_q4_k_m,,,,revision_v1_hmac_sha256_hex_015,segmented_hex_single_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__4be2b9486882e2972e7d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.004813273747762,,5.272749145349973,1.267935871602212,6.296597798189635,,,16,,24,,llama3_8b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_009,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__e9eccb6fef0e27a39e65
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.7668881565332413,,4.892450590743379,1.1255624342101365,6.376665701283769,,,16,,64,,llama3_8b_instruct_q4_k_m,,,,revision_v1_sha256_hex_000,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__6b3d576ef3dd8b206c3c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.461332321166992,,5.328216427781194,0.8668841066142012,6.892417981443811,,,16,,24,,llama3_8b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_011,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__5ae7fc0932404d21420d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.67851456006368,,6.637829738668866,0.9593151786051856,8.023447948507732,,,16,,24,,llama3_8b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_006,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__a2b08335891aefb13c6d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.163758933544159,,4.422176228755328,1.2584172952111699,5.775760667317722,,,16,,32,,llama3_8b_instruct_q4_k_m,,,,revision_v1_token_128_bit_hex_000,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__056b300c7d6bf037631f
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.8014817237854004,,4.911269899682134,1.1097881758967323,6.372899856642812,,,16,,64,,llama3_8b_instruct_q4_k_m,,,,revision_v1_sha256_hex_004,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__f76b627129a01c577058
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,6.203491538763046,,6.656860724213452,0.4533691854504053,9.447977110865445,,,16,,32,,llama3_8b_instruct_q4_k_m,,,,revision_v1_token_128_bit_hex_002,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__b2da5f662c97e99a5c9d
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.592241937463934,,6.920611851177172,1.3283699137132385,,,,,,66,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_ed25519_signature_base64_016,direct_subword_calgacus,partially_evaluable,,direct_subword,,revision_v1_smoke_v3_payload_fidelity_v2__2e155d72ebd15a0edabb
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,2.7455182671546936,,3.5489373117361374,0.8034190445814421,5.117220531868328,,,8,,96,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_uuid_v4_014,nonseg_ascii_b8,validated,,ascii_b8,,revision_v1_smoke_v3_payload_fidelity_v2__41f763b279e02bc317de
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.4618203192949295,,4.264520432753696,0.8027001134587648,6.525356579525601,,,16,,128,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_chacha20_poly1305_base64_001,nonseg_ascii_b16,validated,,ascii_b16,,revision_v1_smoke_v3_payload_fidelity_v2__964138cb19ebfaf3ee33
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.721336930990219,,5.3346084361608845,0.6132715051706656,7.775677860313259,,,16,,32,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_token_128_bit_hex_005,nonseg_hex_nibble_b16,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__1f886446d8333cadc432
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.835307255387306,,5.543460512091174,0.7081532567038695,7.3049182980551866,,,16,,64,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_sha256_hex_003,segmented_hex_single_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__1dee5a1637d5813833c5
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.443350754678249,,5.26495095597746,0.8216002012992106,7.091318185200711,,,16,,64,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_hmac_sha256_hex_015,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__b8a33ca0fa20e53059df
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,6.374453186988831,,7.055633450873313,0.6811802638844826,8.814709052768963,,,16,,24,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_009,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__7c77c89ca0168b631a29
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.011938174565633,,4.856329880578553,0.8443917060129191,8.06678486111088,,,16,,24,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_010,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__23039c8009c1f627ed30
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.203736901283264,,5.788504283105756,0.5847673818224914,8.411176423704054,,,16,,32,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_token_128_bit_hex_004,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__f1a7d6c165c3a6f5b00c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.367298468947411,,6.07604259445054,0.7087441255031296,7.933064030545777,,,16,,64,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_sha256_hex_002,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__ad19c1de5cd61015bce9
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.522943456967671,,6.138920443634876,0.6159769866672025,7.795937714358854,,,16,,24,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_007,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__51f1b6b76c3168535706
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.576897978782654,,6.106879055846123,0.5299810770634682,8.515612384029613,,,16,,24,,qwen2_5_7b_instruct_q4_k_m,,,,revision_v1_nonce_96_bit_hex_008,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__28a02a2d5be9b0b0ec4c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.096714829745358,,6.115616872355105,2.018902042609748,,,,,,73,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_ed25519_signature_base64_015,direct_subword_calgacus,partially_evaluable,,direct_subword,,revision_v1_smoke_v3_payload_fidelity_v2__79313d567cab6c769ae2
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.144134432077408,,3.8263864490349087,0.6822520169575017,5.705873441990118,,,8,,96,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_uuid_v4_013,nonseg_ascii_b8,validated,,ascii_b8,,revision_v1_smoke_v3_payload_fidelity_v2__e1ea92a57efe11f94c71
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.5481311045587063,,4.502629656289923,0.9544985517312164,5.9175860732246495,,,16,,128,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_aes256_gcm_base64_007,nonseg_ascii_b16,validated,,ascii_b16,,revision_v1_smoke_v3_payload_fidelity_v2__eaf22b34a8639521463b
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.6326901117960615,,5.347011722915165,0.7143216111191041,7.112301506392947,,,16,,24,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_nonce_96_bit_hex_011,nonseg_hex_nibble_b16,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__8a88b27e611eba7a3043
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.3208664655685425,,4.912280988133593,0.5914145225650502,7.009645637310189,,,16,,32,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_token_128_bit_hex_005,segmented_hex_single_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__8033ca4a553d719e4dc1
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.488658793270588,,5.3021266826656355,0.8134678893950498,6.584249287214567,,,16,,64,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_sha256_hex_003,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__a6978e1928837feca88c
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.8088206847508745,,5.371469251515553,0.5626485667646774,7.149797709983672,,,16,,24,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_nonce_96_bit_hex_008,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__223c8cb8ccd99b539e82
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,5.9415637999773026,,6.5779819351210485,0.6364181351437466,8.268843599833477,,,16,,64,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_sha256_hex_000,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__cc404a3cf444ae761fcf
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,3.8206660002470016,,4.598775760408845,0.7781097601618433,6.474669695970023,,,16,,32,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_token_128_bit_hex_004,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__7ae6fbb5b82766f317eb
available,theory.capacity/quality,f928ead190886d63cea92f9f0c0fbdd8d9b447f5b13adaadb4dfbb2ef95ba37e,4.299285173416138,,5.069214422561668,0.7699292491455298,6.229795097368899,,,16,,24,,mistral_7b_instruct_v0_3_q4_k_m,,,,revision_v1_nonce_96_bit_hex_006,segmented_hex_multi_topic,validated,,hex_nibble,,revision_v1_smoke_v3_payload_fidelity_v2__f0bb2c8cbca05d915e48
