ordinal,detector_name,detector_kind,split_id,regime,held_out_column,held_out_value,seed,train_row_count,test_row_count,elapsed_seconds,model_state_sha256,model_artifact_set_sha256,checkpoint_manifest_path,checkpoint_manifest_sha256,metric_path,metric_sha256,predictions_path,predictions_sha256
11,deberta_v3_base_classifier,pretrained_transformer,held_out_template:explain_everyday_system,held_out_template,prompt_template_id,explain_everyday_system,3476860659,13200,880,1607.7661226759992,1898ce6728bf345029be9ebf7f6a5a2155ba2a143af277b27c9c2b45a7d2dd9e,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0011/manifest.json,304d3c70354da2598ccfa273087ca4daca4610c7fb49bd4d7cecbc8cdb615c1e,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0011/metric.json,da8658138bc018749a8f30f0ef8be398959cc98d368ca94860f843797f3e45c7,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0011/predictions.json,5aac23cf8a865ea94d2418afe19ba2691f817ace53928f8d87a8948be4d376c4
12,published_textcnn_equivalent,text_cnn,held_out_template:explain_weather_pattern,held_out_template,prompt_template_id,explain_weather_pattern,3306278109,13200,880,14.798650332999387,d48cd9e9ff3b6f5e749bb673d1370d4ddae7ccd6d5cb9fc87288360335894c04,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0012/manifest.json,7522ab643de1dded7bd79101cec7c6533503c650e44cea3aff23188c83382561,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0012/metric.json,e46154e09956fee9d27b5f88ae75b88b0eff1b67056083d66d21eb3a84967053,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0012/predictions.json,ff9561b2a33932acac8390844e6f85c008d871970264d6c6607009e93bd2e7d5
13,deberta_v3_base_classifier,pretrained_transformer,held_out_template:explain_weather_pattern,held_out_template,prompt_template_id,explain_weather_pattern,2962888595,13200,880,1606.6538574419974,69e3c4162d84029af81bc1d82cd01d92925aea5ad131fbabb8e1551102841e35,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0013/manifest.json,a313ba43c1607cbd7bc5279442e9eb775fe63d404def293c56e50b0cf6955323,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0013/metric.json,802710e9f371aef320f6ff2b436be85e2681716b7ff5c32d494ace72cb8911ed,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0013/predictions.json,4326bf6c47b74891407d1aa0bd07bce0f48d749c836f62036155ca19e860bda6
14,published_textcnn_equivalent,text_cnn,held_out_template:forum_learning_answer,held_out_template,prompt_template_id,forum_learning_answer,2620540310,13200,880,14.747028888003115,3d8475be8a4f8497067c449037362c50fc4af416a0127399d7ae5ecc7c439e8e,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0014/manifest.json,5a6634ec188613f5f2a0b3931b407e53d03bf7fe2e0a490589596b65e3518d98,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0014/metric.json,7473b3a0c13b4b9159005518abdb98aeed19df047f8eee85c2b6b6f966fb69a6,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0014/predictions.json,66d19983f8e763fbc1d72fe71b5a7f4a31e92e77e41e724fff345f92f43da1a1
15,deberta_v3_base_classifier,pretrained_transformer,held_out_template:forum_learning_answer,held_out_template,prompt_template_id,forum_learning_answer,2674897488,13200,880,1606.7317670869998,274bb3d38222394bfadff3252b3c0cf65a6dea5e517577e425696a8407666a37,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0015/manifest.json,11008a90fd7ad9ba6bbfc6c8bb22acbfa5dad700c82f67832c0b1cb6c83bfea0,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0015/metric.json,c7ab9f4e9117f9ee0b92666c0645591c741652cca31c2853ab405d82c0337921,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0015/predictions.json,64e34593d95230e2333e030929b22143ddd4e68588da1f8e711c7d96edf4c05c
16,published_textcnn_equivalent,text_cnn,held_out_template:forum_practical_answer,held_out_template,prompt_template_id,forum_practical_answer,1521347607,13200,880,15.12740563099942,fdbb6253818ac9e7cacb62df3b1cbf48f07b5bff4e1de2f81753a6f6ac4b85db,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0016/manifest.json,806bbd0e8fa9e6db64d5493a93d9507aa6c62939b9a8b1f4b5d94f5c2d3ba353,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0016/metric.json,ea5f36d65608072e102f5ff6d9b6bd93f7e3a093ce723327d62a2307573a2763,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0016/predictions.json,f14da5a8722f725bea5b62e3b9c74b44f8aa3f3970ecdd349b6ec51d9c993a59
17,deberta_v3_base_classifier,pretrained_transformer,held_out_template:forum_practical_answer,held_out_template,prompt_template_id,forum_practical_answer,1729382304,13200,880,1610.3722843200012,a15f0db752bfe9185d6550ca0f818ad280ce5c0b75b0ab1f78fd9aa91f78f24d,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0017/manifest.json,90b6d4fc1a7abd36cb6c9a726caa7961c872520b6f7644a1c4eec385d5845f6b,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0017/metric.json,0d4a5603f055f3718a85c9bd51fcd20967236fad3c5af75dbd8d520b0f482bee,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0017/predictions.json,fcff69668cc4bfe7c69a92514b3b5ed2456533535b722c87c88f11e00a5a936f
18,published_textcnn_equivalent,text_cnn,held_out_template:forum_purchase_advice,held_out_template,prompt_template_id,forum_purchase_advice,3208305796,13200,880,14.941729078000208,5d0ace0144cd46d7a2d2e1c8eff4dfd041ec1d1f6ecd61ae177450dcf0dfcd6a,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0018/manifest.json,670af59863b1ce0a5bb9b725e14ce7baaf07725546f66c1c234b2b427a8a7bc0,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0018/metric.json,6d9abd11e081ce735c7e7250a764b35f05772d5be6b103fb74f6d0960edac2cc,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0018/predictions.json,5090c4fc1995fa1bafb8833ad402f5fa0e046fb2da3d117b67b52ef6cf140f19
19,deberta_v3_base_classifier,pretrained_transformer,held_out_template:forum_purchase_advice,held_out_template,prompt_template_id,forum_purchase_advice,1577952545,13200,880,1604.2239646630005,2d129692df617f1204bd3a380d0ae77cb8789692b9f11af6f12bc7228f9e2a79,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0019/manifest.json,414dc1acb13c25b7ce7e94c2d6cbee87631778e465fde4b52e96db6f9d122a87,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0019/metric.json,e3f53cb5e58688661868ef0836163cdc0163748d25027f286b3c95cdc6f41708,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0019/predictions.json,e1ccd27b004a3c1da56ff9a69547ffb266d4eae809c34823e7677b63ffe2c8d5
20,published_textcnn_equivalent,text_cnn,held_out_template:narrative_learning_moment,held_out_template,prompt_template_id,narrative_learning_moment,788644170,13200,880,14.800062734997482,9c57734c370d290de9a02fc126b746091a0b084868f0442eaef4251b0ee4bbcf,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0020/manifest.json,6b91cd118b5354c2cdcd1f5e8b15717c4809a396633a39a3925f12a8c2f70501,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0020/metric.json,05ce2bfbea40edfbc1361e057c319b957a2a76cf4c4c1c44bf71d279c8446317,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0020/predictions.json,bcb37845596a562f805f459fbf4f8e0e1a8068977f1f0b65dfd2e7667e78e5ff
21,deberta_v3_base_classifier,pretrained_transformer,held_out_template:narrative_learning_moment,held_out_template,prompt_template_id,narrative_learning_moment,2904763072,13200,880,1611.9147061069998,58078f4441903c4f25c2e995b63e24b3b09ac4107643522e9cc08449dc8a1fbf,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0021/manifest.json,993c592247625c65236f180e86b9cb2336e5800343f76776e2177bbcce5502e9,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0021/metric.json,414c96caa318a14242819d344a32c51aff8396e930946ac5ad436b3fb393ffa6,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0021/predictions.json,e8fdb6d439eb2b5da9c63d97cf0d67c9820b76e74f1331f67bb3795a01d505cf
22,published_textcnn_equivalent,text_cnn,held_out_template:narrative_local_walk,held_out_template,prompt_template_id,narrative_local_walk,3190119402,13200,880,14.664131162000558,070b0c89cc1fed56fd648b3c2a7553b71e9f2e37a7e689bc2ea97819bf9416da,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0022/manifest.json,7335c6450727a3095e97ebf60d6ac172e2e5cc83a66aafe1bd8385dbe8bee5fa,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0022/metric.json,752e22a328af83c90563352a822b5e55b0bf3560fe4b2fdf236a40dd4a8d7047,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0022/predictions.json,65053f4ea5f5e840d6e0a452d1a5c62312bf6ab8b408ad22ccb1da5c0e33a614
23,deberta_v3_base_classifier,pretrained_transformer,held_out_template:narrative_local_walk,held_out_template,prompt_template_id,narrative_local_walk,4016101544,13200,880,1631.6508159419973,cc253e49707fd7528e38e87b66b02ab3ec4fe9e2bbf3f7299bd39a9d63cc6958,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0023/manifest.json,f54cbcec5210b7990ee118769c38ac9240924990d878552c6a097e97b3882da1,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0023/metric.json,b52472bffa811608740857a65c4e11b1cdfa76c682ad0cd37c5a2d77f8c14eba,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0023/predictions.json,7312e1b7cd44fd2930f5c2e553b444b772545456856ea8cb9f359e4d6422626a
24,published_textcnn_equivalent,text_cnn,held_out_template:narrative_small_discovery,held_out_template,prompt_template_id,narrative_small_discovery,1865719533,13200,880,16.35632339899894,cea068b367e23b26ca08d8424d15a148797f79bbbeb230b78745d8b9781ecfd5,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0024/manifest.json,0c7f2a6165df9e3a63a237d21182c6cf6cc037709d5d2cd76136f7be413303e6,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0024/metric.json,9eb6031423dcf5fe4649dd6daa1472981eec3dec2c1c2fea6a3b0c97de40a37d,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0024/predictions.json,43e1ceb4d2a0d2959a88b3e4e05b3d0bee53e9297473d14549ff5b0a7007cdcc
25,deberta_v3_base_classifier,pretrained_transformer,held_out_template:narrative_small_discovery,held_out_template,prompt_template_id,narrative_small_discovery,2037237861,13200,880,1638.0730114900034,e5d2385a30e0398ffdbbcdbd09368ef03e4f042f0ed7eb258137a6697ab59759,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0025/manifest.json,c198c2826307652bc37d3d1277d0f55f1c1acc0a0e31a4df2f794832a680ffbe,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0025/metric.json,e082874f30d3385e652b928af7e74567d04556bffb05376d21a15f941a019ba3,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0025/predictions.json,139a65ac26a9c2123f9368faf6a25c03cf7a4d11c22a5d576f84c3b4a734b0bb
26,published_textcnn_equivalent,text_cnn,held_out_template:procedure_garden_task,held_out_template,prompt_template_id,procedure_garden_task,367534290,13200,880,16.39886678599578,9377a46800e74b886cb6d92e6162a17f4068966165dac18a2bd404f9dc1e42b5,,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0026/manifest.json,2fac1f0f488e80f7bfbe2f05b3333ce3eaf3d734f7562e147e188193c8f047b4,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0026/metric.json,08d6c6b4062aac8b637e096789e08c86e0a74613ed20791e8b29daa2e11daad0,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0026/predictions.json,31de90e7110afd3680ba0a829d39aaa023f05555a8fedf73b5f6795c395d7372
27,deberta_v3_base_classifier,pretrained_transformer,held_out_template:procedure_garden_task,held_out_template,prompt_template_id,procedure_garden_task,2331072973,13200,880,1635.683344752004,5006d45573d79ec2b20e9cac0955c3ba189def91005da524bf39e81a5dc8a0fd,dbb0a6e580e832b6e84a4f2815cdc867c879fb2789048a563791b42c1068a613,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0027/manifest.json,08840c5857be916b4c54df0c23b7e08ee99d26d48646ee1428774658ae47fe10,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0027/metric.json,004c491df248cbcef012aa1fcf1752b1152af8258827cda01cf900e3e899a3b5,/home/meow/Documents/repos/llm-rankcloak/results/revision_v1/detector_cuda_reproducibility_v2/production_run_v2.checkpoints/fits/0027/predictions.json,e98d1e1c595578f721a01ba04ee5b89ea2922229731a26e52a0c1bfa0d15c043
